year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.61856                 0.57361                         0.59483                         0.60818                         0.61856                         0.61247                         0.59422                         0.56623                         0.53849                         0.52235                         0.49904                         0.49224                         0.61036                                 0.27138             
1980    0.76226                 0.71258                         0.73896                         0.75417                         0.76226                         0.74491                         0.71941                         0.68950                         0.64649                         0.59343                         0.53773                         0.57808                         0.76226                                 0.27163             
1981    0.67553                 0.60106                         0.63224                         0.65465                         0.67553                         0.66805                         0.64492                         0.61450                         0.57216                         0.51926                         0.45642                         0.50047                         0.67553                                 0.27693             
1982    0.68897                 0.64475                         0.66972                         0.68521                         0.68897                         0.66461                         0.63410                         0.61166                         0.58953                         0.56578                         0.53534                         0.54919                         0.67319                                 0.27216             
1983    0.64778                 0.61390                         0.63390                         0.64523                         0.64778                         0.62971                         0.60708                         0.59028                         0.57514                         0.55311                         0.52019                         0.52403                         0.63448                                 0.26592             
1984    0.63678                 0.58172                         0.60849                         0.62566                         0.63678                         0.62483                         0.60386                         0.58367                         0.56312                         0.53183                         0.49406                         0.49767                         0.63678                                 0.24431             
1985    0.69150                 0.65935                         0.68074                         0.69150                         0.68933                         0.66581                         0.63390                         0.60268                         0.57577                         0.54035                         0.49634                         0.52895                         0.68933                                 0.27351             
1986    0.64900                 0.61750                         0.63704                         0.64900                         0.64735                         0.61954                         0.58480                         0.56092                         0.54292                         0.51870                         0.49006                         0.51448                         0.62398                                 0.24573             
1987    0.64063                 0.52307                         0.54958                         0.56932                         0.59635                         0.61432                         0.63049                         0.64063                         0.63746                         0.61503                         0.57508                         0.50490                         0.59497                                 0.25226             
1988    0.64245                 0.57476                         0.60175                         0.62158                         0.64245                         0.64128                         0.63031                         0.61455                         0.59652                         0.56831                         0.53334                         0.52593                         0.63529                                 0.28014             
1989    0.73607                 0.65241                         0.68555                         0.70985                         0.73569                         0.73607                         0.72197                         0.70275                         0.67546                         0.63133                         0.57253                         0.57273                         0.73569                                 0.29014             
1990    0.67616                 0.59825                         0.63106                         0.65404                         0.67524                         0.67616                         0.66319                         0.64723                         0.62425                         0.58259                         0.52913                         0.52401                         0.67524                                 0.27148             
1991    0.67621                 0.61609                         0.64640                         0.66595                         0.67621                         0.65611                         0.62660                         0.60428                         0.58070                         0.55090                         0.51305                         0.52130                         0.63402                                 0.25825             
1992    0.68784                 0.64021                         0.66628                         0.68182                         0.68784                         0.67032                         0.63753                         0.60015                         0.56073                         0.51876                         0.46844                         0.50602                         0.68774                                 0.26478             
1993    0.59808                 0.55171                         0.57647                         0.59194                         0.59808                         0.57827                         0.55142                         0.52361                         0.48459                         0.44840                         0.40836                         0.44629                         0.59808                                 0.24131             
1994    0.68031                 0.63532                         0.66209                         0.67766                         0.68031                         0.65559                         0.62433                         0.60259                         0.57629                         0.53920                         0.48899                         0.51725                         0.68031                                 0.27866             
1995    0.61057                 0.49991                         0.51614                         0.52349                         0.51663                         0.49189                         0.46479                         0.43952                         0.42346                         0.41402                         0.40217                         0.41504                         0.51663                                 0.22004             
1996    0.57478                 0.54881                         0.56611                         0.57478                         0.57165                         0.55018                         0.52426                         0.48684                         0.43769                         0.40412                         0.38213                         0.43256                         0.57165                                 0.22826             
1997    0.57508                 0.56815                         0.57508                         0.57458                         0.56226                         0.54077                         0.51766                         0.48902                         0.46346                         0.45123                         0.43108                         0.45068                         0.55950                                 0.23090             
1998    0.62229                 0.46860                         0.48728                         0.49918                         0.51631                         0.52876                         0.54380                         0.55496                         0.54274                         0.50164                         0.44174                         0.42784                         0.51181                                 0.21454             
1999    0.59843                 0.51430                         0.54551                         0.56933                         0.59565                         0.59843                         0.58667                         0.56743                         0.53837                         0.50262                         0.46476                         0.46276                         0.59416                                 0.22393             
2000    0.67019                 0.57267                         0.60490                         0.62689                         0.64273                         0.62825                         0.59923                         0.56747                         0.53446                         0.49899                         0.46308                         0.48767                         0.64122                                 0.23719             
2001    0.71278                 0.60136                         0.64368                         0.67631                         0.71278                         0.70819                         0.67695                         0.63580                         0.58548                         0.53381                         0.48487                         0.51288                         0.70403                                 0.25969             
2002    0.70212                 0.63027                         0.66494                         0.68814                         0.70212                         0.68059                         0.63975                         0.59204                         0.55090                         0.51238                         0.47054                         0.50478                         0.70212                                 0.25936             
2003    0.62466                 0.56028                         0.59192                         0.61237                         0.62466                         0.60641                         0.57495                         0.54114                         0.50482                         0.45701                         0.40428                         0.44728                         0.62099                                 0.24009             
2004    0.65922                 0.60239                         0.62989                         0.64731                         0.65922                         0.64802                         0.62416                         0.60382                         0.57693                         0.53559                         0.48075                         0.50014                         0.65728                                 0.28292             
2005    0.92034                 0.81336                         0.85446                         0.88332                         0.91628                         0.92034                         0.90936                         0.88884                         0.85091                         0.79104                         0.71704                         0.71373                         0.91628                                 0.36582             
2006    0.68410                 0.63240                         0.65952                         0.67601                         0.68410                         0.67221                         0.65731                         0.64109                         0.61689                         0.58687                         0.55667                         0.54789                         0.67793                                 0.27355             
