year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -0.52738                -0.52738                        -0.52269                        -0.51416                        -0.49119                        -0.46600                        -0.45008                        -0.44548                        -0.44584                        -0.44950                        -0.44550                        -0.43374                        -0.41361                                -0.23830            
1980    -0.44830                -0.34141                        -0.34486                        -0.35295                        -0.37599                        -0.40023                        -0.41933                        -0.43141                        -0.43930                        -0.44784                        -0.44830                        -0.38159                        -0.40330                                -0.22277            
1981    -0.59723                -0.48373                        -0.49603                        -0.50863                        -0.53485                        -0.55856                        -0.57743                        -0.59075                        -0.59723                        -0.59657                        -0.58309                        -0.50216                        -0.58563                                -0.28285            
1982    -0.57750                -0.46101                        -0.47000                        -0.48452                        -0.51360                        -0.54319                        -0.56529                        -0.57665                        -0.57750                        -0.57011                        -0.56060                        -0.49244                        -0.56540                                -0.27196            
1983    -0.63639                -0.49872                        -0.49617                        -0.49429                        -0.49485                        -0.51007                        -0.54593                        -0.57925                        -0.60772                        -0.63124                        -0.63639                        -0.53684                        -0.57358                                -0.28992            
1984    -0.44128                -0.30036                        -0.29507                        -0.29322                        -0.30039                        -0.31736                        -0.33888                        -0.36137                        -0.38673                        -0.41158                        -0.42830                        -0.34261                        -0.37270                                -0.19962            
1985    -0.47271                -0.44209                        -0.45127                        -0.45765                        -0.46653                        -0.46865                        -0.47003                        -0.47271                        -0.47196                        -0.46919                        -0.45934                        -0.42310                        -0.45172                                -0.22102            
1986    -0.60462                -0.49077                        -0.49993                        -0.50703                        -0.52745                        -0.55198                        -0.57725                        -0.59706                        -0.60462                        -0.59847                        -0.57553                        -0.49830                        -0.58972                                -0.25383            
1987    -0.63745                -0.35124                        -0.35459                        -0.36328                        -0.38570                        -0.40767                        -0.42317                        -0.43600                        -0.44974                        -0.45831                        -0.45276                        -0.39099                        -0.39537                                -0.18769            
1988    -0.69115                -0.57524                        -0.58912                        -0.60719                        -0.64902                        -0.67917                        -0.69115                        -0.69112                        -0.68062                        -0.66021                        -0.62861                        -0.58098                        -0.58499                                -0.26673            
1989    -0.57905                -0.45759                        -0.46443                        -0.46698                        -0.46157                        -0.44849                        -0.43443                        -0.42046                        -0.40515                        -0.39521                        -0.38389                        -0.39467                        -0.40499                                -0.19620            
1990    -0.64165                -0.55316                        -0.56229                        -0.57193                        -0.59415                        -0.61498                        -0.62699                        -0.62860                        -0.62390                        -0.61756                        -0.59888                        -0.54057                        -0.58492                                -0.26564            
1991    -0.54682                -0.54167                        -0.54611                        -0.54682                        -0.54013                        -0.53640                        -0.54123                        -0.54054                        -0.53109                        -0.51968                        -0.50533                        -0.48599                        -0.51921                                -0.24117            
1992    -0.51890                -0.51890                        -0.51790                        -0.51472                        -0.51262                        -0.51196                        -0.51531                        -0.51163                        -0.50167                        -0.49154                        -0.48036                        -0.45868                        -0.49002                                -0.25257            
1993    -0.45963                -0.43996                        -0.44160                        -0.44298                        -0.44530                        -0.45012                        -0.45624                        -0.45963                        -0.45632                        -0.45119                        -0.44438                        -0.41557                        -0.42263                                -0.19854            
