year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -0.77036                -0.67221                        -0.69347                        -0.70971                        -0.73232                        -0.74447                        -0.75160                        -0.75874                        -0.76436                        -0.77036                        -0.76305                        -0.70148                        -0.72939                                -0.35488            
1980    -0.73350                -0.67570                        -0.68002                        -0.68649                        -0.69985                        -0.70675                        -0.71760                        -0.72977                        -0.73350                        -0.72289                        -0.69255                        -0.65413                        -0.72835                                -0.33437            
1981    -0.71046                -0.70164                        -0.68917                        -0.68106                        -0.67814                        -0.67992                        -0.68327                        -0.68873                        -0.69107                        -0.68856                        -0.67513                        -0.64913                        -0.68873                                -0.31024            
1982    -0.89876                -0.76629                        -0.77145                        -0.77783                        -0.79837                        -0.82445                        -0.85300                        -0.88130                        -0.89876                        -0.89387                        -0.86192                        -0.79140                        -0.85574                                -0.40052            
1983    -0.68033                -0.57146                        -0.57952                        -0.59059                        -0.61679                        -0.63814                        -0.65431                        -0.66922                        -0.67849                        -0.68033                        -0.67532                        -0.60403                        -0.66455                                -0.28278            
1984    -0.75869                -0.72262                        -0.73107                        -0.73868                        -0.75160                        -0.75773                        -0.75833                        -0.75869                        -0.75612                        -0.74942                        -0.73978                        -0.70180                        -0.74501                                -0.34915            
1985    -0.73201                -0.69113                        -0.69942                        -0.70551                        -0.71166                        -0.71378                        -0.71983                        -0.72867                        -0.73201                        -0.72046                        -0.69610                        -0.64974                        -0.72838                                -0.29657            
1986    -0.97707                -0.85390                        -0.88386                        -0.91099                        -0.95115                        -0.97218                        -0.97707                        -0.96749                        -0.93850                        -0.89090                        -0.83522                        -0.83189                        -0.94884                                -0.41193            
1987    -0.99212                -0.88578                        -0.90932                        -0.92598                        -0.95022                        -0.96788                        -0.98198                        -0.99212                        -0.98732                        -0.95769                        -0.89929                        -0.85315                        -0.98500                                -0.40214            
1988    -0.92851                -0.87173                        -0.88688                        -0.90475                        -0.92815                        -0.92851                        -0.91447                        -0.89489                        -0.87003                        -0.84311                        -0.80786                        -0.79556                        -0.87273                                -0.41391            
1989    -0.67219                -0.65365                        -0.65773                        -0.65908                        -0.66425                        -0.66741                        -0.67033                        -0.67219                        -0.66817                        -0.65720                        -0.64551                        -0.63604                        -0.64806                                -0.29958            
1990    -1.01397                -0.87660                        -0.90194                        -0.92152                        -0.95499                        -0.98272                        -1.00361                        -1.01397                        -1.00641                        -0.97603                        -0.91945                        -0.87911                        -1.01076                                -0.45299            
1991    -0.87316                -0.85051                        -0.86319                        -0.86930                        -0.87316                        -0.86977                        -0.86701                        -0.85983                        -0.84413                        -0.81976                        -0.77865                        -0.76516                        -0.85954                                -0.37308            
