year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -2.12913                -1.77468                        -1.87892                        -1.96893                        -2.08235                        -2.12312                        -2.12913                        -2.12633                        -2.11000                        -2.06964                        -2.00908                        -1.81122                        -2.12312                                -0.83397            
1980    -2.11314                -1.96918                        -2.01991                        -2.04753                        -2.10175                        -2.11314                        -2.09184                        -2.05788                        -2.02375                        -1.98843                        -1.92782                        -1.83685                        -2.10574                                -0.84420            
1981    -2.20579                -1.95788                        -2.04775                        -2.11387                        -2.18525                        -2.20579                        -2.19075                        -2.15181                        -2.08975                        -2.01343                        -1.92080                        -1.83852                        -2.15631                                -0.86052            
1982    -2.01695                -1.78581                        -1.87595                        -1.94475                        -2.01695                        -2.01466                        -1.98882                        -1.97796                        -1.97110                        -1.95085                        -1.91195                        -1.76869                        -2.00414                                -0.78890            
1983    -2.24646                -2.00487                        -2.08223                        -2.13664                        -2.20712                        -2.24646                        -2.24604                        -2.21556                        -2.16440                        -2.10020                        -2.01955                        -1.89450                        -2.24253                                -0.89098            
1984    -1.71292                -1.48663                        -1.51630                        -1.52623                        -1.57781                        -1.63076                        -1.67154                        -1.70124                        -1.71292                        -1.69825                        -1.63946                        -1.46312                        -1.61069                                -0.69745            
1985    -2.02627                -1.76862                        -1.81581                        -1.89899                        -1.99727                        -2.02627                        -2.02465                        -2.00917                        -1.98168                        -1.94600                        -1.88565                        -1.73998                        -2.02613                                -0.78549            
1986    -2.20108                -1.86534                        -1.97398                        -2.05686                        -2.15863                        -2.19320                        -2.20059                        -2.20108                        -2.18457                        -2.14124                        -2.06301                        -1.86592                        -2.19320                                -0.82619            
1987    -2.17874                -1.84466                        -1.95091                        -2.03607                        -2.14327                        -2.17874                        -2.17108                        -2.14066                        -2.09233                        -2.03373                        -1.95174                        -1.81783                        -2.17874                                -0.83962            
1988    -2.22030                -2.00262                        -2.04964                        -2.07839                        -2.17342                        -2.21364                        -2.22030                        -2.21076                        -2.19433                        -2.17269                        -2.11829                        -1.91774                        -2.20872                                -0.90007            
1989    -2.10331                -1.86628                        -1.93865                        -1.98923                        -2.05062                        -2.08957                        -2.10016                        -2.10331                        -2.09503                        -2.06789                        -2.01690                        -1.83544                        -2.08318                                -0.83704            
1990    -2.22360                -1.95722                        -2.03556                        -2.10381                        -2.20368                        -2.22360                        -2.20542                        -2.16635                        -2.10575                        -2.02918                        -1.94899                        -1.85553                        -2.22360                                -0.83452            
1991    -2.20740                -1.97196                        -2.04270                        -2.10975                        -2.19849                        -2.20740                        -2.17804                        -2.12915                        -2.04842                        -1.94859                        -1.85189                        -1.82721                        -2.17862                                -0.80533            
1992    -1.85200                -1.68547                        -1.74179                        -1.78174                        -1.82864                        -1.84538                        -1.85200                        -1.84480                        -1.80374                        -1.74556                        -1.69576                        -1.58194                        -1.82217                                -0.75124            
1993    -2.00611                -1.73343                        -1.81856                        -1.88748                        -1.96647                        -2.00263                        -2.00611                        -1.98231                        -1.93104                        -1.87726                        -1.84786                        -1.69145                        -2.00119                                -0.74094            
1994    -2.23940                -1.92604                        -2.01345                        -2.10512                        -2.21609                        -2.23940                        -2.20894                        -2.15302                        -2.07440                        -1.97858                        -1.89648                        -1.85118                        -2.23407                                -0.81689            
1995    -2.14342                -1.85607                        -1.91610                        -2.00143                        -2.10819                        -2.14342                        -2.14313                        -2.12621                        -2.08901                        -2.03584                        -1.97794                        -1.83557                        -2.14342                                -0.83286            
1996    -1.85448                -1.79211                        -1.81698                        -1.82071                        -1.82641                        -1.85259                        -1.85448                        -1.83935                        -1.80559                        -1.77434                        -1.76687                        -1.66211                        -1.83907                                -0.76991            
1997    -2.16784                -1.96796                        -2.05274                        -2.11379                        -2.16784                        -2.14451                        -2.09044                        -2.04697                        -2.01134                        -1.98181                        -1.96079                        -1.86340                        -2.11991                                -0.80200            
1998    -1.92059                -1.76441                        -1.80680                        -1.85359                        -1.90014                        -1.92059                        -1.91851                        -1.90910                        -1.88590                        -1.85101                        -1.82664                        -1.69680                        -1.91710                                -0.81064            
1999    -1.93267                -1.69192                        -1.75565                        -1.83617                        -1.92386                        -1.93267                        -1.90924                        -1.87958                        -1.83128                        -1.76105                        -1.68108                        -1.59954                        -1.93267                                -0.73214            
2000    -2.20769                -1.83214                        -1.94370                        -2.03155                        -2.14960                        -2.20302                        -2.20769                        -2.17706                        -2.10797                        -2.01561                        -1.92255                        -1.79145                        -2.20302                                -0.81325            
2001    -1.90535                -1.65523                        -1.73855                        -1.80810                        -1.89538                        -1.90535                        -1.86906                        -1.82588                        -1.76764                        -1.70953                        -1.67539                        -1.56782                        -1.89273                                -0.69274            
2002    -2.08065                -1.80702                        -1.91061                        -1.99354                        -2.08065                        -2.07080                        -2.01172                        -1.95267                        -1.88990                        -1.83538                        -1.80012                        -1.69964                        -2.07080                                -0.77231            
2003    -2.21919                -1.90942                        -2.01361                        -2.10127                        -2.20640                        -2.21919                        -2.18232                        -2.13763                        -2.08407                        -2.03421                        -1.99110                        -1.84436                        -2.21919                                -0.79423            
2004    -2.13077                -1.85128                        -1.94089                        -2.01718                        -2.11305                        -2.13077                        -2.09958                        -2.04092                        -1.95319                        -1.86474                        -1.82021                        -1.74187                        -2.12382                                -0.76629            
2005    -2.10406                -1.97002                        -2.02878                        -2.06478                        -2.10406                        -2.07697                        -1.99272                        -1.91124                        -1.83619                        -1.77130                        -1.76531                        -1.74100                        -2.07179                                -0.80127            
2006    -2.30767                -2.00066                        -2.09856                        -2.18858                        -2.29618                        -2.30767                        -2.24283                        -2.13169                        -2.00156                        -1.90281                        -1.87240                        -1.86289                        -2.27942                                -0.85694            
2007    -2.20055                -1.93490                        -2.00001                        -2.07775                        -2.18125                        -2.20055                        -2.17783                        -2.13880                        -2.07163                        -2.01255                        -2.01724                        -1.88335                        -2.20055                                -0.85651            
2008    -2.11068                -1.74727                        -1.81367                        -1.86925                        -2.01374                        -2.10321                        -2.11068                        -2.04800                        -1.95612                        -1.88402                        -1.88320                        -1.76991                        -2.09297                                -0.81777            
2009    -2.15233                -1.88603                        -1.94399                        -2.02194                        -2.13626                        -2.15233                        -2.10239                        -2.02489                        -1.94171                        -1.86317                        -1.82040                        -1.78141                        -2.15233                                -0.81151            
2010    -2.31847                -2.07813                        -2.17731                        -2.24902                        -2.31847                        -2.29473                        -2.21746                        -2.11743                        -2.01366                        -1.96735                        -2.00050                        -1.91866                        -2.13826                                -0.88502            
2011    -2.62425                -2.17980                        -2.32157                        -2.44046                        -2.59135                        -2.62425                        -2.58094                        -2.49690                        -2.38489                        -2.28519                        -2.25909                        -2.14395                        -2.62382                                -0.94569            
2012    -2.24659                -1.86684                        -1.94297                        -2.03139                        -2.18402                        -2.24659                        -2.23540                        -2.17440                        -2.07936                        -1.98449                        -1.92892                        -1.83804                        -2.24290                                -0.83858            
2013    -2.20871                -1.97048                        -2.05262                        -2.11640                        -2.20228                        -2.20871                        -2.14438                        -2.05061                        -1.98344                        -1.93739                        -1.91551                        -1.86324                        -2.16934                                -0.84722            
2014    -2.45408                -2.15262                        -2.26816                        -2.35499                        -2.45408                        -2.44337                        -2.35623                        -2.25442                        -2.15982                        -2.09358                        -2.08903                        -2.00083                        -2.40133                                -0.87323            
2015    -2.64437                -2.26093                        -2.38440                        -2.48788                        -2.61982                        -2.64437                        -2.57819                        -2.44807                        -2.28420                        -2.16370                        -2.16409                        -2.16682                        -2.54650                                -0.92268            
