year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    1.17761                 1.08495                         1.10682                         1.11560                         1.11643                         1.09932                         1.10935                         1.14047                         1.15939                         1.16328                         1.16972                         1.05132                         1.15598                                 0.44965             
1980    1.18258                 0.99052                         1.01436                         1.02837                         1.03824                         1.02982                         1.03428                         1.06471                         1.08447                         1.10544                         1.13256                         1.00778                         1.13084                                 0.43798             
1981    1.06697                 1.01581                         1.04034                         1.05539                         1.06697                         1.05296                         1.03439                         1.01297                         0.98775                         0.98079                         0.99382                         0.95416                         0.99205                                 0.42860             
1982    1.02498                 0.86980                         0.88127                         0.88526                         0.87762                         0.85549                         0.84813                         0.85191                         0.86378                         0.89342                         0.92492                         0.85612                         0.95348                                 0.33961             
1983    1.32864                 1.09585                         1.10754                         1.10685                         1.13403                         1.18585                         1.21845                         1.24368                         1.25305                         1.23297                         1.21600                         1.13454                         1.17823                                 0.48302             
1984    1.20624                 1.00981                         1.04302                         1.06260                         1.08132                         1.08169                         1.11013                         1.15927                         1.19049                         1.19786                         1.19881                         1.04354                         1.20624                                 0.43027             
1985    1.06116                 1.06076                         1.06116                         1.04847                         0.99898                         0.93148                         0.86881                         0.82953                         0.81531                         0.82634                         0.85041                         0.88291                         0.85768                                 0.39236             
1986    1.09029                 1.04112                         1.05914                         1.06212                         1.05638                         1.04174                         1.05032                         1.05573                         1.04798                         1.04982                         1.07264                         0.98296                         1.09029                                 0.42402             
1987    1.43562                 1.30165                         1.33094                         1.34189                         1.32865                         1.36622                         1.41008                         1.43226                         1.43562                         1.41639                         1.38191                         1.26074                         1.32362                                 0.50286             
1988    1.20127                 1.04817                         1.08419                         1.10530                         1.12922                         1.14021                         1.16578                         1.19410                         1.20127                         1.19645                         1.19649                         1.06533                         1.19418                                 0.47274             
1989    1.30916                 1.17132                         1.21375                         1.23984                         1.25663                         1.24604                         1.23924                         1.24636                         1.23969                         1.23119                         1.24516                         1.15401                         1.29214                                 0.50641             
1990    1.26059                 1.05837                         1.08176                         1.09082                         1.08569                         1.05632                         1.06666                         1.09004                         1.12252                         1.16673                         1.19453                         1.06016                         1.22501                                 0.45817             
1991    1.21993                 1.09253                         1.12761                         1.15321                         1.18178                         1.20019                         1.21229                         1.21993                         1.21032                         1.19051                         1.17431                         1.08640                         1.15947                                 0.47355             
1992    1.30173                 1.05860                         1.07711                         1.08363                         1.11441                         1.19308                         1.23857                         1.27915                         1.30173                         1.27726                         1.24611                         1.12521                         1.25714                                 0.48707             
1993    1.43954                 1.18100                         1.21000                         1.23359                         1.27925                         1.34391                         1.39536                         1.43439                         1.43954                         1.42215                         1.41649                         1.26084                         1.43506                                 0.53263             
1994    1.28812                 1.14834                         1.16996                         1.18025                         1.18095                         1.17874                         1.18475                         1.21528                         1.23172                         1.22725                         1.23835                         1.12951                         1.28535                                 0.47051             
1995    1.36790                 1.22963                         1.24790                         1.25248                         1.26246                         1.29152                         1.31465                         1.33876                         1.34341                         1.33581                         1.34225                         1.21867                         1.36790                                 0.50366             
1996    1.41300                 1.27101                         1.31031                         1.33447                         1.35346                         1.35907                         1.37346                         1.39050                         1.40536                         1.40929                         1.41300                         1.25588                         1.40931                                 0.54817             
1997    1.23424                 1.09358                         1.10685                         1.11643                         1.12360                         1.12595                         1.15253                         1.16522                         1.16988                         1.17997                         1.20187                         1.07075                         1.22177                                 0.46359             
