year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.58277                 0.44578                         0.49129                         0.52792                         0.57305                         0.58277                         0.56828                         0.54280                         0.51715                         0.49693                         0.47502                         0.43819                         0.57305                                 0.19603             
1980    0.65882                 0.34773                         0.36207                         0.37471                         0.38363                         0.37787                         0.36677                         0.36250                         0.35350                         0.34739                         0.32461                         0.31336                         0.36724                                 0.16923             
1981    0.43924                 0.38017                         0.40598                         0.42399                         0.43924                         0.42978                         0.40688                         0.38467                         0.36591                         0.34973                         0.33426                         0.33268                         0.43924                                 0.16413             
1982    0.55032                 0.49896                         0.52473                         0.54041                         0.55032                         0.53838                         0.52155                         0.50357                         0.48961                         0.46239                         0.41639                         0.42403                         0.55032                                 0.19403             
1983    0.48502                 0.42142                         0.44690                         0.46555                         0.48281                         0.48502                         0.47228                         0.45360                         0.42929                         0.40261                         0.37805                         0.38039                         0.48281                                 0.17379             
1984    0.50515                 0.43078                         0.46225                         0.48487                         0.50515                         0.49574                         0.46711                         0.43981                         0.42545                         0.41864                         0.40594                         0.38389                         0.50515                                 0.18563             
1985    0.54944                 0.43260                         0.46144                         0.48362                         0.51188                         0.51836                         0.50485                         0.48216                         0.46693                         0.44598                         0.41021                         0.39136                         0.50871                                 0.18523             
1986    0.47640                 0.41811                         0.44478                         0.46309                         0.47640                         0.46463                         0.45413                         0.44293                         0.41765                         0.38619                         0.35744                         0.36063                         0.47640                                 0.18096             
1987    0.46941                 0.34061                         0.35381                         0.36109                         0.36071                         0.34847                         0.34160                         0.35004                         0.38208                         0.41532                         0.42018                         0.34500                         0.34987                                 0.13705             
1988    0.48673                 0.39959                         0.43078                         0.45133                         0.46756                         0.47437                         0.46521                         0.45379                         0.44576                         0.43851                         0.42890                         0.38642                         0.40886                                 0.18882             
1989    0.50122                 0.42740                         0.45775                         0.47937                         0.50122                         0.50061                         0.49174                         0.47519                         0.45797                         0.44621                         0.43489                         0.40389                         0.50122                                 0.18394             
1990    0.58594                 0.50741                         0.54159                         0.56506                         0.58594                         0.57708                         0.55122                         0.52537                         0.51240                         0.50619                         0.49101                         0.46461                         0.58594                                 0.22752             
1991    0.55322                 0.45842                         0.49045                         0.51386                         0.54041                         0.53459                         0.51509                         0.49494                         0.46544                         0.43257                         0.40491                         0.40555                         0.53072                                 0.19502             
1992    0.59432                 0.53134                         0.56205                         0.58184                         0.59432                         0.57479                         0.53637                         0.48894                         0.45853                         0.43432                         0.40445                         0.42756                         0.59432                                 0.20730             
1993    0.56087                 0.42438                         0.44648                         0.45813                         0.45377                         0.42143                         0.38076                         0.36124                         0.35360                         0.35450                         0.35422                         0.35505                         0.45377                                 0.15367             
1994    0.66918                 0.59214                         0.62388                         0.64629                         0.66918                         0.66690                         0.64532                         0.61844                         0.59136                         0.56385                         0.53152                         0.53026                         0.63130                                 0.24570             
1995    0.59667                 0.45448                         0.48099                         0.50090                         0.52369                         0.52389                         0.50242                         0.46796                         0.42483                         0.40651                         0.37830                         0.39225                         0.47839                                 0.17191             
1996    0.55618                 0.34100                         0.36588                         0.38968                         0.43196                         0.45235                         0.45349                         0.44243                         0.42033                         0.39592                         0.38045                         0.35953                         0.38542                                 0.19004             
1997    0.61776                 0.54991                         0.58114                         0.60178                         0.61776                         0.61050                         0.59245                         0.57293                         0.55640                         0.54067                         0.52366                         0.49735                         0.60164                                 0.23381             
1998    0.57948                 0.51489                         0.52940                         0.53575                         0.53262                         0.50477                         0.45935                         0.40940                         0.35835                         0.31463                         0.29506                         0.37901                         0.50483                                 0.17394             
1999    0.53006                 0.38042                         0.41047                         0.42978                         0.44184                         0.42460                         0.40128                         0.37233                         0.33479                         0.29447                         0.26835                         0.30624                         0.43682                                 0.15630             
2000    0.58409                 0.52911                         0.55881                         0.57731                         0.58409                         0.55871                         0.52321                         0.48571                         0.46566                         0.46078                         0.45325                         0.45224                         0.58409                                 0.20813             
2001    0.62587                 0.57645                         0.60631                         0.62367                         0.62587                         0.59575                         0.55832                         0.52465                         0.47960                         0.42870                         0.38606                         0.44352                         0.62540                                 0.21357             
2002    0.57287                 0.50144                         0.53429                         0.55620                         0.57287                         0.56129                         0.53659                         0.50437                         0.46363                         0.42649                         0.38347                         0.41341                         0.57287                                 0.20465             
2003    0.55310                 0.50378                         0.53150                         0.54835                         0.55310                         0.52487                         0.48003                         0.44487                         0.41773                         0.39578                         0.37533                         0.40257                         0.52777                                 0.18863             
2004    0.54882                 0.47651                         0.51042                         0.53290                         0.54882                         0.52932                         0.48669                         0.44666                         0.42504                         0.39794                         0.36284                         0.38082                         0.54882                                 0.21015             
2005    0.53533                 0.48678                         0.51638                         0.53344                         0.53533                         0.50553                         0.45803                         0.40857                         0.37413                         0.35015                         0.32307                         0.36510                         0.53059                                 0.15970             
2006    0.52485                 0.48495                         0.51107                         0.52485                         0.52388                         0.49951                         0.47419                         0.44374                         0.41329                         0.38746                         0.35914                         0.38361                         0.52388                                 0.16510             
2007    0.57300                 0.48824                         0.51365                         0.52811                         0.53419                         0.51431                         0.47984                         0.44645                         0.42539                         0.41125                         0.39279                         0.39892                         0.53419                                 0.18986             
2008    0.51649                 0.48295                         0.50688                         0.51649                         0.50382                         0.46799                         0.43584                         0.39874                         0.36086                         0.32528                         0.29835                         0.34607                         0.50382                                 0.16657             
2009    0.63956                 0.60028                         0.62744                         0.63956                         0.62755                         0.58450                         0.52816                         0.48765                         0.46406                         0.45314                         0.44058                         0.46536                         0.62510                                 0.21441             
2010    0.55185                 0.51643                         0.54042                         0.55185                         0.54625                         0.51576                         0.47884                         0.46194                         0.46685                         0.47109                         0.46011                         0.43769                         0.54625                                 0.21446             
2011    0.50582                 0.48450                         0.50039                         0.50582                         0.49671                         0.47240                         0.44442                         0.42131                         0.40380                         0.38847                         0.37139                         0.38375                         0.49671                                 0.17514             
2012    0.56973                 0.53278                         0.55935                         0.56973                         0.56115                         0.53049                         0.49527                         0.46691                         0.43895                         0.40671                         0.37243                         0.40699                         0.55225                                 0.20152             
2013    0.52411                 0.45470                         0.48080                         0.49540                         0.49411                         0.46450                         0.41958                         0.37331                         0.33516                         0.31037                         0.29448                         0.33909                         0.49411                                 0.18056             
2014    0.44172                 0.36543                         0.38265                         0.39098                         0.39275                         0.37730                         0.35334                         0.32490                         0.31000                         0.30141                         0.29198                         0.29498                         0.39275                                 0.13676             
2015    0.42749                 0.40253                         0.42145                         0.42749                         0.41857                         0.41117                         0.39190                         0.35993                         0.31678                         0.26884                         0.27769                         0.31843                         0.36763                                 0.14097             
2016    0.53668                 0.47044                         0.49639                         0.51443                         0.53366                         0.53668                         0.52913                         0.51064                         0.48243                         0.45289                         0.42828                         0.41952                         0.52039                                 0.20889             
2017    0.41717                 0.33963                         0.35343                         0.35853                         0.35157                         0.32718                         0.29607                         0.27508                         0.26828                         0.29765                         0.31228                         0.27321                         0.35157                                 0.13462             
2018    0.55087                 0.48030                         0.51389                         0.53610                         0.55087                         0.53305                         0.50493                         0.47502                         0.45267                         0.42939                         0.40459                         0.41124                         0.54164                                 0.20476             
