year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    1.95666                 1.85849                         1.89559                         1.90775                         1.94658                         1.92378                         1.85878                         1.86203                         1.85877                         1.84742                         1.88069                         1.75145                         1.92461                                 0.71434             
1980    2.01342                 1.80148                         1.83520                         1.85281                         1.88339                         1.89934                         1.89374                         1.94072                         1.95165                         1.93366                         1.95086                         1.78603                         1.88318                                 0.73930             
1981    2.01586                 1.86878                         1.91298                         1.93913                         1.96304                         1.92920                         1.88628                         1.88409                         1.91667                         1.95742                         1.99809                         1.79835                         1.96304                                 0.77864             
1982    2.05724                 1.90932                         1.93169                         1.94237                         1.94134                         1.95156                         1.93746                         1.94869                         1.95473                         1.95689                         1.99085                         1.84209                         1.94002                                 0.76007             
1983    2.81621                 2.60466                         2.69900                         2.76615                         2.81621                         2.78654                         2.67798                         2.57116                         2.48250                         2.40605                         2.33194                         2.32799                         2.55842                                 0.92460             
1984    2.14940                 2.05925                         2.10625                         2.13297                         2.14940                         2.11851                         2.08397                         2.07242                         2.07158                         2.06056                         2.02342                         1.90496                         2.11437                                 0.74167             
1985    1.89814                 1.85963                         1.89048                         1.89814                         1.88594                         1.86973                         1.82789                         1.81506                         1.80304                         1.79251                         1.80603                         1.69383                         1.88594                                 0.71860             
1986    2.32751                 2.22846                         2.28434                         2.31429                         2.32751                         2.29405                         2.23667                         2.18170                         2.13880                         2.09358                         2.06845                         2.01606                         2.32751                                 0.82160             
1987    2.53285                 2.36058                         2.42757                         2.48492                         2.53285                         2.52545                         2.46930                         2.40717                         2.34060                         2.27593                         2.22251                         2.16118                         2.52047                                 0.90930             
1988    2.45588                 2.32839                         2.38565                         2.41691                         2.45588                         2.42952                         2.35633                         2.27593                         2.21168                         2.13632                         2.04197                         2.04290                         2.45588                                 0.81788             
1989    2.20504                 2.11618                         2.16443                         2.19175                         2.20504                         2.17927                         2.15641                         2.14062                         2.12611                         2.09120                         2.05295                         1.95672                         2.18897                                 0.79849             
1990    2.28745                 2.21859                         2.26577                         2.28745                         2.28137                         2.22905                         2.16148                         2.09603                         2.02224                         1.95834                         1.92664                         1.92544                         2.22581                                 0.84709             
1991    2.32052                 2.19321                         2.25256                         2.28190                         2.32052                         2.32048                         2.27320                         2.24073                         2.18653                         2.11768                         2.09488                         2.01835                         2.31300                                 0.78531             
1992    2.17737                 2.11930                         2.16236                         2.17737                         2.16774                         2.10560                         2.01495                         1.93215                         1.87655                         1.85254                         1.85644                         1.82735                         2.14404                                 0.73933             
1993    2.15069                 2.10457                         2.13887                         2.15069                         2.12615                         2.06547                         1.98073                         1.89555                         1.83728                         1.81818                         1.84072                         1.81756                         2.12028                                 0.69161             
1994    2.19027                 2.08998                         2.15055                         2.18602                         2.19027                         2.15127                         2.09472                         2.04125                         1.98058                         1.91448                         1.86884                         1.84280                         2.18671                                 0.71229             
1995    2.54922                 2.38023                         2.45717                         2.50427                         2.54922                         2.54879                         2.51153                         2.47158                         2.40660                         2.32983                         2.26989                         2.17896                         2.53078                                 0.88459             
1996    2.09485                 2.04252                         2.07937                         2.09281                         2.09485                         2.06204                         2.03128                         2.00712                         1.99236                         2.00023                         2.04605                         1.88383                         2.06877                                 0.73151             
1997    2.30078                 1.84960                         1.88064                         1.90395                         1.93783                         1.95359                         1.97588                         1.98355                         1.99773                         2.04974                         2.17965                         1.88364                         1.93783                                 0.80082             
1998    3.04800                 2.60380                         2.72865                         2.82375                         2.98160                         3.04800                         3.01737                         2.91932                         2.79877                         2.72280                         2.71367                         2.53828                         2.72554                                 0.96072             
1999    2.27106                 2.18733                         2.23363                         2.25722                         2.27106                         2.22727                         2.16875                         2.11199                         2.04172                         1.96742                         1.92821                         1.91633                         2.24259                                 0.75094             
2000    2.23089                 2.11627                         2.17616                         2.21011                         2.23089                         2.20104                         2.14618                         2.10815                         2.04846                         2.02185                         2.07331                         1.92777                         2.17124                                 0.75625             
2001    2.27296                 2.21573                         2.25330                         2.27296                         2.25030                         2.16967                         2.07736                         2.02407                         1.99078                         1.98362                         1.99788                         1.92236                         2.21882                                 0.77892             
