year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.81711                 0.72164                         0.74530                         0.76235                         0.78329                         0.79348                         0.80309                         0.81027                         0.81210                         0.81233                         0.81711                         0.73277                         0.77644                                 0.34195             
1980    0.84957                 0.75699                         0.78292                         0.80223                         0.82598                         0.83818                         0.84659                         0.84957                         0.84742                         0.84282                         0.83252                         0.74879                         0.82598                                 0.33504             
1981    0.95452                 0.86471                         0.89802                         0.92100                         0.94691                         0.95452                         0.95155                         0.94213                         0.92198                         0.89266                         0.85790                         0.80913                         0.94691                                 0.34949             
1982    0.74571                 0.67757                         0.69167                         0.69827                         0.70303                         0.70522                         0.70882                         0.71867                         0.73227                         0.74273                         0.74571                         0.66501                         0.69086                                 0.28722             
1983    1.01693                 0.95331                         0.98288                         1.00177                         1.01693                         1.00759                         0.98501                         0.95775                         0.92521                         0.88435                         0.83212                         0.82831                         0.98819                                 0.35798             
1984    0.84987                 0.82636                         0.84216                         0.84987                         0.84809                         0.83429                         0.81990                         0.80955                         0.79828                         0.78253                         0.76254                         0.74105                         0.84616                                 0.32017             
1985    0.90491                 0.87493                         0.89555                         0.90491                         0.90320                         0.88881                         0.88504                         0.88322                         0.87752                         0.87229                         0.86495                         0.80255                         0.89405                                 0.33362             
1986    0.95372                 0.90210                         0.92294                         0.94022                         0.95372                         0.95017                         0.93836                         0.92519                         0.91519                         0.91242                         0.91908                         0.84872                         0.93369                                 0.34926             
1987    0.84963                 0.78058                         0.80240                         0.81557                         0.83018                         0.83679                         0.84086                         0.84456                         0.84878                         0.84963                         0.84631                         0.76753                         0.82331                                 0.35373             
1988    0.93718                 0.86075                         0.89466                         0.91691                         0.93650                         0.93718                         0.93254                         0.92934                         0.92499                         0.91798                         0.90543                         0.82930                         0.93650                                 0.33434             
1989    0.98697                 0.88378                         0.91850                         0.94483                         0.97662                         0.98697                         0.98644                         0.98118                         0.96994                         0.95213                         0.92277                         0.85032                         0.96641                                 0.37838             
1990    0.96577                 0.86743                         0.90191                         0.92758                         0.95748                         0.96577                         0.95749                         0.94786                         0.94761                         0.94043                         0.91571                         0.83916                         0.95748                                 0.36128             
1991    0.84971                 0.78309                         0.81347                         0.83311                         0.84971                         0.84563                         0.83342                         0.82211                         0.81215                         0.80049                         0.77710                         0.73237                         0.84602                                 0.30858             
1992    1.00041                 0.94385                         0.97529                         0.99308                         1.00041                         0.98105                         0.95205                         0.92610                         0.90439                         0.88665                         0.86200                         0.83260                         1.00041                                 0.36199             
1993    0.91799                 0.88301                         0.90539                         0.91720                         0.91799                         0.89660                         0.86549                         0.83417                         0.81447                         0.80119                         0.78054                         0.77036                         0.91799                                 0.32382             
1994    0.85136                 0.81609                         0.83540                         0.84640                         0.85136                         0.84570                         0.84070                         0.83667                         0.83469                         0.83149                         0.82010                         0.75736                         0.84280                                 0.34190             
1995    0.96584                 0.93021                         0.94937                         0.95963                         0.96584                         0.95402                         0.93014                         0.90469                         0.87960                         0.85279                         0.81549                         0.80138                         0.95843                                 0.34573             
1996    0.94119                 0.91606                         0.93229                         0.94119                         0.93835                         0.91715                         0.89025                         0.86430                         0.84513                         0.83418                         0.81215                         0.79173                         0.93835                                 0.33580             
1997    1.04944                 0.94694                         0.98122                         1.00494                         1.03644                         1.04944                         1.04456                         1.01810                         0.99119                         0.98362                         0.97714                         0.91105                         0.89855                                 0.37397             
