year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -1.01321                -0.89931                        -0.94269                        -0.97774                        -1.01321                        -1.00918                        -0.98342                        -0.94696                        -0.90563                        -0.86882                        -0.83193                        -0.84193                        -0.96924                                -0.35360            
1980    -1.05959                -1.01017                        -1.03937                        -1.05584                        -1.05959                        -1.03288                        -0.98585                        -0.93232                        -0.87825                        -0.82928                        -0.79430                        -0.87232                        -1.05959                                -0.39907            
1981    -1.17321                -1.05682                        -1.10634                        -1.14105                        -1.17321                        -1.16239                        -1.11896                        -1.05811                        -1.00003                        -0.95497                        -0.92557                        -0.96418                        -1.17321                                -0.41039            
1982    -1.09559                -1.02452                        -1.06416                        -1.08820                        -1.09559                        -1.06365                        -1.02280                        -0.97887                        -0.93439                        -0.90154                        -0.88221                        -0.91689                        -1.08990                                -0.39736            
1983    -1.13027                -1.10704                        -1.12343                        -1.13027                        -1.12769                        -1.11429                        -1.09773                        -1.07377                        -1.04048                        -0.99760                        -0.94319                        -0.96732                        -1.06473                                -0.44179            
1984    -1.20134                -1.08171                        -1.13158                        -1.16580                        -1.20134                        -1.19883                        -1.18130                        -1.16638                        -1.14890                        -1.12633                        -1.09165                        -1.03513                        -1.17166                                -0.47125            
1985    -1.03285                -0.98222                        -1.00731                        -1.02383                        -1.03285                        -1.02228                        -1.00066                        -0.97447                        -0.94580                        -0.91661                        -0.88994                        -0.89053                        -1.01790                                -0.38004            
1986    -1.06355                -0.97652                        -1.01223                        -1.03917                        -1.06355                        -1.05346                        -1.02636                        -0.98548                        -0.93738                        -0.89996                        -0.86858                        -0.89053                        -1.04462                                -0.39240            
1987    -1.06573                -0.97318                        -1.01957                        -1.05276                        -1.06573                        -1.03027                        -0.98723                        -0.95033                        -0.92705                        -0.90860                        -0.88189                        -0.88485                        -1.06512                                -0.43682            
1988    -0.84563                -0.76904                        -0.78445                        -0.80655                        -0.83462                        -0.84563                        -0.83892                        -0.83109                        -0.82508                        -0.81375                        -0.79598                        -0.75547                        -0.81052                                -0.36220            
1989    -1.11558                -1.06251                        -1.09164                        -1.10940                        -1.11558                        -1.10000                        -1.08101                        -1.06285                        -1.04714                        -1.03064                        -1.00843                        -0.97540                        -1.01215                                -0.41711            
1990    -1.04374                -0.97917                        -1.01370                        -1.03536                        -1.04374                        -1.01576                        -0.96909                        -0.93055                        -0.91063                        -0.91592                        -0.93729                        -0.91708                        -1.03093                                -0.41291            
1991    -0.98482                -0.86970                        -0.91111                        -0.94334                        -0.98070                        -0.98482                        -0.96646                        -0.94240                        -0.92029                        -0.91257                        -0.91069                        -0.85236                        -0.98070                                -0.40382            
1992    -1.06738                -1.00361                        -1.03618                        -1.05673                        -1.06738                        -1.04946                        -1.01276                        -0.97413                        -0.94728                        -0.92538                        -0.89934                        -0.91072                        -1.06738                                -0.41656            
