year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -0.65538                -0.64144                        -0.64870                        -0.65342                        -0.65418                        -0.65538                        -0.65238                        -0.63581                        -0.61080                        -0.58173                        -0.55046                        -0.55067                        -0.54625                                -0.28002            
1980    -0.48185                -0.47866                        -0.47249                        -0.46444                        -0.45079                        -0.44658                        -0.44610                        -0.44490                        -0.44040                        -0.43491                        -0.42486                        -0.42120                        -0.41819                                -0.22030            
1981    -0.56189                -0.56189                        -0.56092                        -0.55503                        -0.53556                        -0.51284                        -0.48898                        -0.47826                        -0.47940                        -0.49167                        -0.50369                        -0.48455                        -0.48968                                -0.26152            
1982    -0.50712                -0.49952                        -0.50018                        -0.50038                        -0.50512                        -0.50712                        -0.50451                        -0.49063                        -0.47148                        -0.45772                        -0.45094                        -0.44837                        -0.45094                                -0.23014            
1983    -0.61071                -0.61071                        -0.60681                        -0.59810                        -0.58237                        -0.56333                        -0.54944                        -0.54622                        -0.54815                        -0.55677                        -0.56009                        -0.53363                        -0.53551                                -0.28335            
1984    -0.51776                -0.39799                        -0.39394                        -0.38919                        -0.38472                        -0.38614                        -0.38698                        -0.37852                        -0.37658                        -0.37505                        -0.36810                        -0.36188                        -0.36429                                -0.20865            
1985    -0.56854                -0.54600                        -0.55922                        -0.56829                        -0.56854                        -0.54517                        -0.50788                        -0.48570                        -0.46220                        -0.44382                        -0.44744                        -0.46890                        -0.43360                                -0.23345            
1986    -0.59300                -0.57249                        -0.58519                        -0.59158                        -0.59300                        -0.58659                        -0.57793                        -0.56695                        -0.55148                        -0.53685                        -0.52300                        -0.50953                        -0.51286                                -0.27674            
1987    -0.61011                -0.36244                        -0.37128                        -0.37952                        -0.39145                        -0.39225                        -0.38203                        -0.36907                        -0.36265                        -0.35453                        -0.35391                        -0.34866                        -0.33491                                -0.18588            
1988    -0.58962                -0.55274                        -0.55996                        -0.56490                        -0.57356                        -0.57797                        -0.57026                        -0.55558                        -0.55121                        -0.55661                        -0.55952                        -0.52818                        -0.50712                                -0.26574            
