year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -1.65267                -1.49714                        -1.56711                        -1.61719                        -1.65267                        -1.62083                        -1.54020                        -1.45593                        -1.39687                        -1.36336                        -1.33194                        -1.35085                        -1.65267                                -0.59667            
1980    -1.92432                -1.73843                        -1.82068                        -1.87677                        -1.92432                        -1.90604                        -1.85185                        -1.79808                        -1.74749                        -1.67841                        -1.59043                        -1.58990                        -1.92432                                -0.71769            
1981    -1.85870                -1.67089                        -1.75046                        -1.80271                        -1.85870                        -1.83820                        -1.77922                        -1.71261                        -1.64504                        -1.57161                        -1.49719                        -1.52564                        -1.83773                                -0.63654            
1982    -1.86525                -1.68423                        -1.76376                        -1.81795                        -1.86525                        -1.85087                        -1.80287                        -1.74398                        -1.66410                        -1.53885                        -1.42635                        -1.52938                        -1.85292                                -0.68481            
1983    -1.65156                -1.53913                        -1.58980                        -1.62913                        -1.65156                        -1.61642                        -1.55627                        -1.49884                        -1.45412                        -1.40792                        -1.35145                        -1.37408                        -1.57673                                -0.57727            
1984    -1.58008                -1.41384                        -1.48039                        -1.52773                        -1.58008                        -1.57202                        -1.53161                        -1.48541                        -1.43888                        -1.38855                        -1.33176                        -1.31293                        -1.53230                                -0.54820            
1985    -1.50651                -1.35565                        -1.42452                        -1.47314                        -1.50651                        -1.46998                        -1.39443                        -1.31578                        -1.26587                        -1.23637                        -1.21877                        -1.22684                        -1.49168                                -0.53268            
1986    -1.54333                -1.40440                        -1.47016                        -1.51333                        -1.54333                        -1.53614                        -1.50877                        -1.45739                        -1.38140                        -1.32394                        -1.30993                        -1.32068                        -1.54333                                -0.62129            
1987    -1.65917                -1.48429                        -1.55866                        -1.61195                        -1.65917                        -1.62538                        -1.54486                        -1.44671                        -1.35860                        -1.28173                        -1.23216                        -1.30956                        -1.65917                                -0.60236            
1988    -1.53279                -1.42000                        -1.47446                        -1.50955                        -1.53279                        -1.50680                        -1.45866                        -1.40415                        -1.35587                        -1.32337                        -1.28030                        -1.27233                        -1.51845                                -0.57704            
1989    -1.59892                -1.48496                        -1.54197                        -1.57655                        -1.59892                        -1.58976                        -1.55761                        -1.51574                        -1.45987                        -1.38434                        -1.29744                        -1.32522                        -1.58980                                -0.60131            
1990    -1.74429                -1.59624                        -1.65400                        -1.69875                        -1.74429                        -1.73334                        -1.69001                        -1.63559                        -1.57802                        -1.51866                        -1.45290                        -1.44384                        -1.71338                                -0.69590            
1991    -1.70161                -1.48593                        -1.57280                        -1.63775                        -1.70161                        -1.69403                        -1.65582                        -1.62066                        -1.57825                        -1.51178                        -1.44028                        -1.43004                        -1.66877                                -0.61179            
1992    -1.61177                -1.47465                        -1.52525                        -1.56844                        -1.61177                        -1.60178                        -1.56658                        -1.52845                        -1.49864                        -1.44968                        -1.39093                        -1.36038                        -1.58124                                -0.59460            
1993    -1.68733                -1.52511                        -1.59159                        -1.63836                        -1.68733                        -1.67696                        -1.64163                        -1.60653                        -1.56192                        -1.50500                        -1.46490                        -1.43392                        -1.68733                                -0.64057            
1994    -1.75104                -1.44935                        -1.53997                        -1.61607                        -1.71437                        -1.75104                        -1.73334                        -1.69119                        -1.64311                        -1.59019                        -1.54332                        -1.45686                        -1.71437                                -0.65654            
1995    -1.56854                -1.36707                        -1.43449                        -1.48865                        -1.55902                        -1.56854                        -1.54469                        -1.51039                        -1.47825                        -1.45320                        -1.43364                        -1.33535                        -1.53726                                -0.57520            
1996    -1.61131                -1.42861                        -1.48839                        -1.54528                        -1.60582                        -1.61131                        -1.58379                        -1.53802                        -1.48098                        -1.45120                        -1.45903                        -1.36475                        -1.60352                                -0.61655            
1997    -1.84922                -1.60812                        -1.70125                        -1.77312                        -1.84922                        -1.82720                        -1.75137                        -1.67518                        -1.63833                        -1.62894                        -1.65284                        -1.55265                        -1.81265                                -0.64594            
1998    -1.77926                -1.65168                        -1.70991                        -1.74710                        -1.77926                        -1.75295                        -1.68381                        -1.60672                        -1.54514                        -1.49429                        -1.46432                        -1.47080                        -1.75476                                -0.60830            
1999    -1.76817                -1.56672                        -1.64701                        -1.70741                        -1.76817                        -1.75520                        -1.69706                        -1.62990                        -1.57089                        -1.53422                        -1.51444                        -1.44334                        -1.76371                                -0.61126            
2000    -1.84705                -1.61092                        -1.69945                        -1.77121                        -1.84705                        -1.84085                        -1.79201                        -1.73618                        -1.69069                        -1.65882                        -1.66170                        -1.56001                        -1.84705                                -0.69434            
2001    -1.68448                -1.51904                        -1.58779                        -1.63950                        -1.68448                        -1.66246                        -1.61074                        -1.57258                        -1.55226                        -1.52388                        -1.48703                        -1.42663                        -1.66337                                -0.61142            
2002    -1.74807                -1.48828                        -1.57788                        -1.65338                        -1.74807                        -1.74297                        -1.66617                        -1.57036                        -1.49063                        -1.43473                        -1.40322                        -1.38416                        -1.72015                                -0.63737            
2003    -1.77069                -1.53031                        -1.62794                        -1.69994                        -1.76846                        -1.77069                        -1.71675                        -1.65215                        -1.58853                        -1.52672                        -1.48125                        -1.44965                        -1.76807                                -0.67243            
2004    -1.88061                -1.65823                        -1.74790                        -1.81560                        -1.88061                        -1.86285                        -1.79236                        -1.72361                        -1.65143                        -1.58740                        -1.56597                        -1.55176                        -1.87709                                -0.70550            
2005    -1.76243                -1.59008                        -1.65590                        -1.69911                        -1.75781                        -1.76243                        -1.73247                        -1.70335                        -1.66777                        -1.59769                        -1.53336                        -1.49463                        -1.75482                                -0.66604            
2006    -1.57304                -1.36969                        -1.44185                        -1.49836                        -1.57304                        -1.56961                        -1.52445                        -1.48105                        -1.43476                        -1.37463                        -1.34776                        -1.33067                        -1.53848                                -0.59849            
2007    -1.82349                -1.62550                        -1.70003                        -1.74940                        -1.80203                        -1.82349                        -1.81901                        -1.80272                        -1.76964                        -1.71061                        -1.65076                        -1.55405                        -1.79877                                -0.69325            
2008    -1.94149                -1.60770                        -1.70581                        -1.79162                        -1.91150                        -1.94149                        -1.92496                        -1.89360                        -1.84158                        -1.78689                        -1.77214                        -1.63526                        -1.82904                                -0.67042            
2009    -1.45623                -1.33240                        -1.38733                        -1.42187                        -1.45623                        -1.44255                        -1.40816                        -1.37408                        -1.34005                        -1.29391                        -1.25524                        -1.24604                        -1.45623                                -0.53886            
2010    -1.83550                -1.60510                        -1.69461                        -1.76354                        -1.83550                        -1.82902                        -1.77245                        -1.68924                        -1.58731                        -1.48492                        -1.42361                        -1.48633                        -1.83550                                -0.65268            
2011    -2.07478                -1.83745                        -1.92459                        -1.98961                        -2.06924                        -2.07478                        -2.02621                        -1.95260                        -1.87827                        -1.80909                        -1.77475                        -1.74411                        -2.04738                                -0.73984            
2012    -1.75455                -1.60959                        -1.67911                        -1.72263                        -1.75455                        -1.71322                        -1.63965                        -1.56330                        -1.50174                        -1.46081                        -1.44689                        -1.43052                        -1.69946                                -0.63117            
2013    -1.71554                -1.58981                        -1.64721                        -1.68224                        -1.71554                        -1.70104                        -1.65619                        -1.60769                        -1.56836                        -1.52203                        -1.48570                        -1.44261                        -1.68839                                -0.65309            
2014    -1.92911                -1.69575                        -1.77900                        -1.84494                        -1.92321                        -1.92911                        -1.88309                        -1.82526                        -1.76564                        -1.69603                        -1.62067                        -1.57626                        -1.92321                                -0.68013            
2015    -1.96019                -1.74641                        -1.83182                        -1.89444                        -1.96019                        -1.95336                        -1.90145                        -1.84110                        -1.78068                        -1.70290                        -1.62303                        -1.60361                        -1.95405                                -0.72211            
2016    -1.71956                -1.42742                        -1.52070                        -1.59253                        -1.68842                        -1.71956                        -1.68231                        -1.60909                        -1.53131                        -1.46266                        -1.40967                        -1.38460                        -1.68495                                -0.63658            
2017    -2.04356                -1.71747                        -1.82294                        -1.90702                        -2.02444                        -2.04356                        -1.99187                        -1.91771                        -1.84909                        -1.78274                        -1.72226                        -1.65220                        -2.02444                                -0.70511            
2018    -2.08985                -1.72342                        -1.83993                        -1.93516                        -2.06850                        -2.08985                        -2.05871                        -2.02291                        -1.96550                        -1.87781                        -1.79392                        -1.71306                        -2.01032                                -0.74203            
