year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  1.76908                 1.69473                         1.73782                         1.76167                         1.76321                         1.76908                         1.75650                         1.73391                         1.70347                         1.67824                         1.69321                         1.60885                         1.75105                                 0.67156             
1980.0  2.10473                 1.85782                         1.89695                         1.91770                         1.94249                         1.95252                         1.94054                         1.97202                         1.98780                         2.00992                         2.04765                         1.85607                         1.94249                                 0.78495             
1981.0  1.96007                 1.91913                         1.95121                         1.96007                         1.94975                         1.94721                         1.94536                         1.94335                         1.93128                         1.91909                         1.93618                         1.79424                         1.94975                                 0.74745             
1982.0  1.99803                 1.72774                         1.75123                         1.75582                         1.74311                         1.72795                         1.72181                         1.73311                         1.74873                         1.79564                         1.89261                         1.69197                         1.73921                                 0.64467             
1983.0  2.36525                 2.04497                         2.12363                         2.18286                         2.26630                         2.30266                         2.29999                         2.27183                         2.25293                         2.25599                         2.29158                         2.09447                         2.06979                                 0.83208             
1984.0  2.30577                 2.17553                         2.24191                         2.28008                         2.30577                         2.25780                         2.19222                         2.13753                         2.08905                         2.02330                         1.95395                         1.92376                         2.25769                                 0.76083             
1985.0  2.16899                 2.09784                         2.14877                         2.16899                         2.14653                         2.09187                         2.03378                         1.98756                         1.96239                         1.93341                         1.91653                         1.86465                         2.14477                                 0.77578             
1986.0  2.18301                 1.63457                         1.66825                         1.68364                         1.68942                         1.71347                         1.78533                         1.90953                         1.99383                         2.04946                         2.11448                         1.73701                         1.66366                                 0.69663             
1987.0  2.18738                 2.03428                         2.07903                         2.10363                         2.17358                         2.18738                         2.14012                         2.09932                         2.06734                         2.06204                         2.09426                         1.95152                         2.14971                                 0.77604             
1988.0  2.09028                 2.01277                         2.04688                         2.06170                         2.09028                         2.08287                         2.03759                         1.99956                         1.97469                         1.95445                         1.96245                         1.86976                         2.09028                                 0.70569             
1989.0  2.27511                 1.97448                         2.03558                         2.09647                         2.15878                         2.17467                         2.15182                         2.12965                         2.11673                         2.12239                         2.19644                         1.96219                         2.15620                                 0.81732             
1990.0  2.03786                 1.74350                         1.76928                         1.77499                         1.80882                         1.81854                         1.79806                         1.84518                         1.87588                         1.84539                         1.84208                         1.74511                         1.78193                                 0.70832             
1991.0  2.19105                 2.02116                         2.07225                         2.10679                         2.18103                         2.19105                         2.16671                         2.11746                         2.06149                         2.04208                         2.09397                         1.94426                         2.18103                                 0.81260             
1992.0  2.32015                 2.01308                         2.10435                         2.17105                         2.24143                         2.26774                         2.28672                         2.28407                         2.26465                         2.25012                         2.27258                         2.06862                         2.08873                                 0.83405             
1993.0  2.04453                 1.90480                         1.94493                         1.96094                         1.98859                         1.98716                         1.96340                         1.93741                         1.92203                         1.93965                         1.99375                         1.82791                         1.97009                                 0.69281             
1994.0  1.97294                 1.83621                         1.89089                         1.92160                         1.94577                         1.94215                         1.92749                         1.92015                         1.88820                         1.86241                         1.89912                         1.76250                         1.94577                                 0.73965             
1995.0  2.29270                 1.96810                         2.00831                         2.04872                         2.09351                         2.09950                         2.08140                         2.05943                         2.06194                         2.09548                         2.19993                         1.95064                         2.06441                                 0.78021             
1996.0  2.15625                 2.10495                         2.14273                         2.15625                         2.13047                         2.08434                         2.03818                         2.00699                         1.96660                         1.93243                         1.95116                         1.86617                         2.10021                                 0.71092             
1997.0  2.58433                 2.45123                         2.52101                         2.56454                         2.58433                         2.53695                         2.44301                         2.35393                         2.28112                         2.22069                         2.18288                         2.16209                         2.58433                                 0.89754             
1998.0  2.94074                 2.37491                         2.49411                         2.60090                         2.76190                         2.88507                         2.94074                         2.92983                         2.86234                         2.75037                         2.69912                         2.46129                         2.33801                                 0.92318             
1999.0  2.32500                 2.13096                         2.20416                         2.25497                         2.31115                         2.32500                         2.28767                         2.23152                         2.14905                         2.10025                         2.12963                         1.96314                         2.30590                                 0.80916             
2000.0  2.26375                 2.19065                         2.23443                         2.25770                         2.26375                         2.23177                         2.18191                         2.13525                         2.08611                         2.08153                         2.16579                         2.00443                         2.26292                                 0.81937             
2001.0  2.44899                 2.25889                         2.33203                         2.38972                         2.44899                         2.43437                         2.35425                         2.24442                         2.13439                         2.03451                         1.94591                         1.95077                         2.44899                                 0.76759             
2002.0  2.48422                 2.35535                         2.42988                         2.47416                         2.48422                         2.42321                         2.32743                         2.23876                         2.15034                         2.05198                         1.99593                         2.03732                         2.48422                                 0.81796             
2003.0  2.32355                 2.15580                         2.21731                         2.25306                         2.32355                         2.31865                         2.26132                         2.23321                         2.20822                         2.16751                         2.18040                         2.04497                         2.30747                                 0.79190             
2004.0  2.29321                 2.20928                         2.26120                         2.28786                         2.29321                         2.26640                         2.24952                         2.24876                         2.20670                         2.12981                         2.08883                         2.01480                         2.29321                                 0.82508             
2005.0  2.15579                 2.12584                         2.15530                         2.15579                         2.13374                         2.06269                         1.99554                         1.94855                         1.89989                         1.83934                         1.88780                         1.86823                         2.13374                                 0.74263             
2006.0  2.19239                 2.09912                         2.13833                         2.15419                         2.19239                         2.18826                         2.12085                         2.05264                         1.94959                         1.85607                         1.85462                         1.84436                         2.18667                                 0.72862             
2007.0  2.33750                 2.16608                         2.22389                         2.27728                         2.33750                         2.33491                         2.30655                         2.27217                         2.22001                         2.14457                         2.11919                         2.04630                         2.31374                                 0.78537             
2008.0  2.18813                 2.10490                         2.16149                         2.18813                         2.17611                         2.12409                         2.07516                         2.03808                         2.03799                         2.04996                         2.07036                         1.92985                         2.17077                                 0.80858             
2009.0  2.32784                 2.17761                         2.23849                         2.28868                         2.32784                         2.31934                         2.26838                         2.22744                         2.18655                         2.10481                         1.99923                         1.95981                         2.32555                                 0.80175             
2010.0  2.06982                 1.94761                         1.99710                         2.02398                         2.06637                         2.06982                         2.05357                         2.03003                         1.96819                         1.91077                         1.93451                         1.83521                         2.04750                                 0.74444             
2011.0  1.90862                 1.86750                         1.90121                         1.90862                         1.86705                         1.79098                         1.74843                         1.73005                         1.72644                         1.73412                         1.76899                         1.68156                         1.79211                                 0.66793             
2012.0  2.11409                 2.05381                         2.09691                         2.11409                         2.09821                         2.07245                         2.05331                         2.01891                         1.94867                         1.85923                         1.81464                         1.78748                         2.07992                                 0.70722             
2013.0  2.57235                 2.45956                         2.53246                         2.56856                         2.57235                         2.51199                         2.42649                         2.36002                         2.30392                         2.23270                         2.17390                         2.13338                         2.57235                                 0.78336             
2014.0  2.10712                 2.03258                         2.07227                         2.09655                         2.10712                         2.06704                         2.02556                         2.00339                         1.96799                         1.92231                         1.89842                         1.85148                         2.08010                                 0.73085             
2015.0  1.98720                 1.93028                         1.97227                         1.98720                         1.97303                         1.94533                         1.92148                         1.90659                         1.90828                         1.88987                         1.89058                         1.77865                         1.96559                                 0.69296             
2016.0  2.67842                 2.54523                         2.61254                         2.64816                         2.67842                         2.66385                         2.60659                         2.53563                         2.42853                         2.31382                         2.23365                         2.24062                         2.64593                                 0.91847             
2017.0  2.22248                 2.04856                         2.07627                         2.08295                         2.09404                         2.08474                         2.09107                         2.14225                         2.14578                         2.11005                         2.14350                         1.94942                         2.07981                                 0.77493             
2018.0  1.87942                 1.84999                         1.87696                         1.87942                         1.84234                         1.82153                         1.75992                         1.67620                         1.61259                         1.62255                         1.70156                         1.63086                         1.83037                                 0.67860             
