year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  0.43260                 0.25300                         0.26574                         0.27354                         0.27168                         0.24951                         0.24177                         0.24892                         0.25413                         0.26061                         0.27294                         0.23183                         0.26321                                 0.10187             
1980.0  0.52115                 0.28386                         0.29342                         0.29573                         0.29318                         0.29311                         0.28133                         0.26411                         0.27223                         0.28802                         0.28863                         0.25605                         0.29573                                 0.12445             
1981.0  0.46485                 0.36168                         0.38553                         0.40183                         0.41177                         0.40638                         0.39406                         0.37867                         0.36923                         0.35607                         0.33313                         0.32494                         0.39868                                 0.15627             
1982.0  0.41333                 0.35704                         0.36323                         0.36122                         0.34378                         0.30875                         0.27553                         0.26783                         0.27903                         0.29031                         0.29525                         0.28279                         0.36122                                 0.12444             
1983.0  0.49927                 0.46087                         0.46945                         0.47020                         0.45335                         0.41858                         0.37771                         0.35181                         0.33651                         0.31823                         0.30027                         0.34297                         0.38423                                 0.15974             
1984.0  0.37524                 0.33413                         0.34931                         0.35366                         0.35316                         0.32351                         0.28690                         0.25750                         0.24316                         0.23834                         0.23660                         0.25731                         0.30893                                 0.13027             
1985.0  0.36617                 0.32545                         0.33242                         0.33138                         0.31801                         0.30217                         0.27124                         0.24328                         0.23574                         0.24644                         0.26870                         0.25365                         0.33138                                 0.12570             
1986.0  0.47884                 0.33302                         0.34364                         0.34793                         0.34248                         0.32482                         0.30445                         0.29187                         0.28644                         0.27879                         0.28749                         0.26951                         0.34793                                 0.12940             
1987.0  0.41109                 0.33721                         0.34999                         0.35645                         0.35387                         0.33436                         0.31087                         0.30364                         0.31740                         0.33210                         0.33789                         0.30932                         0.33056                                 0.13366             
1988.0  0.56921                 0.33522                         0.34954                         0.35497                         0.34319                         0.30764                         0.26303                         0.22504                         0.25357                         0.27831                         0.29003                         0.26152                         0.35497                                 0.10172             
