year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  0.43260                 0.53260                         0.55847                         0.57412                         0.58154                         0.56059                         0.52104                         0.48288                         0.45948                         0.45102                         0.45012                         0.45759                         0.55846                                 0.24608             
1980.0  0.52115                 0.49799                         0.52425                         0.54516                         0.56913                         0.56908                         0.55140                         0.53759                         0.52750                         0.51244                         0.48585                         0.46300                         0.56913                                 0.21724             
1981.0  0.46485                 0.25782                         0.26491                         0.27119                         0.28657                         0.28531                         0.28104                         0.28570                         0.29630                         0.30637                         0.31840                         0.26981                         0.28657                                 0.11786             
1982.0  0.41333                 0.27625                         0.28983                         0.29705                         0.29771                         0.28292                         0.26369                         0.25047                         0.26174                         0.27496                         0.27052                         0.23906                         0.29771                                 0.10178             
1983.0  0.49927                 0.20748                         0.19922                         0.19416                         0.17533                         0.14723                         0.12720                         0.13342                         0.16265                         0.18366                         0.20843                         0.17948                         0.17533                                 0.08503             
1984.0  0.37524                 0.33664                         0.35382                         0.36417                         0.36859                         0.35681                         0.34015                         0.32723                         0.31692                         0.30241                         0.27736                         0.27214                         0.32693                                 0.13982             
1985.0  0.36617                 0.24494                         0.25998                         0.27171                         0.27480                         0.25632                         0.23328                         0.22685                         0.23559                         0.24629                         0.24305                         0.21593                         0.27480                                 0.08958             
1986.0  0.47884                 0.38093                         0.39517                         0.40452                         0.40401                         0.37989                         0.34700                         0.32026                         0.30539                         0.30178                         0.29864                         0.31488                         0.39787                                 0.15220             
1987.0  0.41109                 0.31115                         0.32419                         0.33244                         0.33385                         0.31922                         0.30407                         0.30984                         0.31495                         0.31898                         0.31864                         0.28916                         0.33385                                 0.14723             
1988.0  0.56921                 0.31782                         0.33568                         0.34739                         0.35223                         0.33841                         0.31453                         0.28779                         0.26114                         0.23415                         0.24205                         0.26118                         0.33168                                 0.11807             
1989.0  0.47408                 0.31613                         0.34313                         0.37117                         0.40563                         0.40750                         0.38952                         0.37219                         0.36374                         0.35857                         0.34944                         0.32308                         0.40563                                 0.15392             
1990.0  0.56267                 0.47860                         0.49585                         0.50604                         0.50855                         0.49496                         0.47346                         0.45382                         0.44029                         0.42455                         0.40063                         0.40681                         0.50480                                 0.19924             
1991.0  0.47373                 0.28449                         0.30176                         0.31616                         0.34416                         0.35146                         0.33853                         0.32434                         0.32365                         0.31253                         0.29016                         0.27280                         0.34416                                 0.14153             
1992.0  0.66704                 0.23185                         0.24995                         0.26604                         0.28273                         0.27785                         0.25998                         0.24261                         0.23321                         0.23570                         0.24731                         0.23951                         0.28273                                 0.13689             
1993.0  0.51745                 0.20443                         0.21719                         0.22586                         0.22459                         0.21122                         0.22554                         0.25172                         0.27365                         0.28726                         0.28948                         0.22827                         0.22459                                 0.10102             
1994.0  0.60909                 0.27647                         0.28351                         0.28685                         0.28800                         0.30194                         0.31080                         0.31050                         0.30762                         0.30159                         0.28823                         0.25436                         0.28530                                 0.10707             
1995.0  0.55888                 0.21087                         0.22549                         0.26221                         0.32345                         0.37051                         0.40274                         0.41811                         0.42001                         0.40311                         0.36754                         0.29523                         0.19890                                 0.08779             
1996.0  0.49634                 0.43130                         0.45597                         0.47086                         0.47955                         0.47352                         0.46010                         0.43593                         0.40740                         0.38344                         0.36499                         0.38444                         0.47955                                 0.19463             
1997.0  0.56313                 0.34401                         0.35844                         0.37123                         0.36786                         0.33561                         0.34688                         0.36871                         0.38293                         0.38195                         0.36899                         0.32092                         0.36786                                 0.11673             
1998.0  0.63132                 0.26743                         0.27312                         0.27799                         0.27437                         0.26588                         0.24878                         0.22652                         0.20993                         0.25364                         0.30299                         0.25694                         0.27437                                 0.13684             
1999.0  0.53748                 0.45232                         0.47412                         0.49007                         0.49740                         0.47084                         0.42432                         0.37431                         0.33520                         0.30982                         0.29222                         0.34751                         0.49740                                 0.17462             
2000.0  0.52182                 0.42228                         0.44089                         0.44893                         0.44063                         0.41445                         0.37715                         0.34504                         0.32522                         0.31953                         0.31371                         0.33639                         0.43827                                 0.17701             
2001.0  0.54866                 0.41125                         0.43627                         0.45101                         0.45387                         0.43430                         0.39964                         0.36562                         0.34714                         0.33044                         0.30178                         0.31926                         0.45100                                 0.16902             
2002.0  0.56862                 0.35972                         0.38726                         0.40527                         0.41809                         0.40558                         0.37878                         0.35325                         0.33891                         0.32963                         0.31212                         0.31012                         0.41809                                 0.16860             
2003.0  0.53533                 0.35538                         0.37090                         0.37556                         0.36004                         0.32417                         0.28328                         0.25171                         0.23312                         0.21466                         0.18933                         0.23393                         0.34139                                 0.12647             
2004.0  0.41387                 0.55344                         0.58779                         0.61036                         0.62662                         0.60839                         0.56740                         0.53115                         0.51527                         0.51238                         0.50824                         0.49046                         0.62662                                 0.25567             
2005.0  0.55566                 0.26206                         0.26329                         0.25731                         0.25366                         0.23959                         0.22583                         0.21578                         0.20357                         0.19326                         0.18795                         0.20200                         0.25366                                 0.11642             
2006.0  0.42894                 0.37353                         0.39113                         0.39942                         0.39664                         0.37234                         0.33936                         0.31135                         0.29169                         0.29875                         0.31410                         0.31230                         0.37693                                 0.15037             
2007.0  0.53480                 0.32736                         0.34980                         0.36230                         0.35114                         0.30454                         0.25706                         0.21407                         0.18822                         0.17708                         0.17448                         0.22616                         0.35114                                 0.12154             
2008.0  0.47996                 0.37188                         0.40024                         0.41931                         0.42996                         0.40859                         0.37333                         0.33965                         0.31286                         0.30289                         0.29226                         0.30048                         0.40899                                 0.14762             
2009.0  0.50345                 0.25162                         0.25663                         0.25646                         0.24395                         0.22350                         0.20758                         0.20921                         0.22249                         0.23836                         0.25356                         0.22485                         0.24395                                 0.12196             
2010.0  0.48238                 0.23261                         0.23773                         0.23667                         0.22685                         0.20682                         0.18719                         0.17283                         0.16400                         0.17091                         0.18739                         0.18279                         0.22685                                 0.10244             
2011.0  0.48100                 0.31961                         0.32526                         0.32270                         0.30000                         0.26435                         0.23080                         0.20910                         0.20329                         0.20724                         0.21290                         0.22306                         0.30000                                 0.11390             
