year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  0.57081                 0.36722                         0.37140                         0.37687                         0.40456                         0.43464                         0.45990                         0.47582                         0.48302                         0.51227                         0.55465                         0.43795                         0.55735                                 0.26600             
1980.0  0.74142                 0.44777                         0.47177                         0.49215                         0.51574                         0.52778                         0.54554                         0.55122                         0.55338                         0.58336                         0.65554                         0.54306                         0.74142                                 0.26720             
1981.0  0.64023                 0.34787                         0.36205                         0.37234                         0.39727                         0.41140                         0.41495                         0.41700                         0.41976                         0.48639                         0.55706                         0.43513                         0.64023                                 0.23082             
1982.0  0.58597                 0.57988                         0.58459                         0.58286                         0.57373                         0.56354                         0.54528                         0.52562                         0.51615                         0.53508                         0.55652                         0.53079                         0.58597                                 0.28105             
1983.0  0.62101                 0.45282                         0.44168                         0.43076                         0.41839                         0.42851                         0.44014                         0.46336                         0.47686                         0.48566                         0.50177                         0.47291                         0.57600                                 0.23828             
1984.0  0.58015                 0.32485                         0.33523                         0.34565                         0.35522                         0.35327                         0.35639                         0.40484                         0.44922                         0.48381                         0.51025                         0.40811                         0.55328                                 0.19550             
1985.0  0.65997                 0.61111                         0.63583                         0.65154                         0.65997                         0.64091                         0.61390                         0.58606                         0.55101                         0.51251                         0.52811                         0.55519                         0.57242                                 0.28847             
1986.0  0.45683                 0.40586                         0.40614                         0.40392                         0.39180                         0.37116                         0.35566                         0.35976                         0.37924                         0.40036                         0.40976                         0.36685                         0.29892                                 0.20455             
1987.0  0.77050                 0.52596                         0.54166                         0.55448                         0.57007                         0.57637                         0.57991                         0.59212                         0.61516                         0.64571                         0.67849                         0.59480                         0.72645                                 0.25942             
1988.0  0.72951                 0.50246                         0.52813                         0.54714                         0.55596                         0.53735                         0.53217                         0.55895                         0.59391                         0.62818                         0.66168                         0.55883                         0.71160                                 0.24468             
1989.0  0.79437                 0.60867                         0.63912                         0.66035                         0.68206                         0.67999                         0.67923                         0.69441                         0.71444                         0.74582                         0.77313                         0.65667                         0.78642                                 0.31458             
1990.0  0.65250                 0.61552                         0.63364                         0.64272                         0.64884                         0.63566                         0.61718                         0.60138                         0.59326                         0.60258                         0.62217                         0.58237                         0.65005                                 0.28635             
1991.0  0.84568                 0.54043                         0.56378                         0.58352                         0.61157                         0.62459                         0.63778                         0.67322                         0.72313                         0.76615                         0.79468                         0.64765                         0.81382                                 0.32439             
1992.0  0.62755                 0.37987                         0.38246                         0.38259                         0.37530                         0.35945                         0.35019                         0.40340                         0.45153                         0.48518                         0.50904                         0.43703                         0.58790                                 0.21312             
1993.0  0.68614                 0.53216                         0.54627                         0.55114                         0.53407                         0.49827                         0.50398                         0.51556                         0.52562                         0.55435                         0.60559                         0.53540                         0.65699                                 0.25897             
1994.0  0.74909                 0.48419                         0.50336                         0.52222                         0.55276                         0.56615                         0.58210                         0.61770                         0.65731                         0.70031                         0.72985                         0.58373                         0.74763                                 0.29940             
1995.0  0.66696                 0.49941                         0.51260                         0.51992                         0.52189                         0.52830                         0.54235                         0.54321                         0.54241                         0.55320                         0.60386                         0.52745                         0.66458                                 0.28490             
1996.0  0.74607                 0.48974                         0.52290                         0.54993                         0.58025                         0.58200                         0.56848                         0.55552                         0.56454                         0.60233                         0.66226                         0.55660                         0.74607                                 0.27226             
1997.0  0.84334                 0.59756                         0.62127                         0.63809                         0.65440                         0.65671                         0.66175                         0.66244                         0.67956                         0.70569                         0.75048                         0.64757                         0.83021                                 0.33053             
1998.0  0.80512                 0.69048                         0.71249                         0.72792                         0.73718                         0.78170                         0.79552                         0.80512                         0.79675                         0.76988                         0.74544                         0.69466                         0.70286                                 0.34374             
1999.0  0.65301                 0.43925                         0.46103                         0.47683                         0.49582                         0.50055                         0.49299                         0.48024                         0.47948                         0.51902                         0.57380                         0.49124                         0.63690                                 0.21919             
2000.0  0.60455                 0.53908                         0.56547                         0.58755                         0.60455                         0.59341                         0.56959                         0.55106                         0.54138                         0.53578                         0.55015                         0.52925                         0.60225                                 0.27241             
2001.0  0.53404                 0.41225                         0.44387                         0.46528                         0.47793                         0.46383                         0.43684                         0.42178                         0.42140                         0.42912                         0.45890                         0.42142                         0.53369                                 0.21309             
2002.0  0.68477                 0.64647                         0.66923                         0.68288                         0.68477                         0.66269                         0.62664                         0.61474                         0.60244                         0.58957                         0.60627                         0.58943                         0.64349                                 0.31254             
2003.0  0.79558                 0.61146                         0.65313                         0.68356                         0.71255                         0.71100                         0.70695                         0.71030                         0.72960                         0.76445                         0.79376                         0.65834                         0.72901                                 0.34191             
2004.0  0.76598                 0.70048                         0.73408                         0.75594                         0.76598                         0.73855                         0.69923                         0.67565                         0.65439                         0.63556                         0.61388                         0.62168                         0.57315                                 0.32155             
2005.0  0.77123                 0.41664                         0.43587                         0.45266                         0.47598                         0.49136                         0.52106                         0.57988                         0.64062                         0.69652                         0.73782                         0.54631                         0.75471                                 0.28161             
2006.0  0.65084                 0.53836                         0.55833                         0.56974                         0.57225                         0.55871                         0.54596                         0.53901                         0.53627                         0.53643                         0.55583                         0.53182                         0.64784                                 0.26474             
2007.0  0.74418                 0.57436                         0.60119                         0.61732                         0.62045                         0.59051                         0.55127                         0.52013                         0.53183                         0.59014                         0.65557                         0.56893                         0.74418                                 0.28294             
2008.0  0.62153                 0.41602                         0.43022                         0.43710                         0.43434                         0.42198                         0.41468                         0.42334                         0.46495                         0.52477                         0.57664                         0.45482                         0.61620                                 0.22944             
2009.0  0.64480                 0.53725                         0.56015                         0.57606                         0.59609                         0.59152                         0.57422                         0.55882                         0.54783                         0.57056                         0.61008                         0.53627                         0.63824                                 0.29804             
2010.0  0.75917                 0.53652                         0.55707                         0.56914                         0.57430                         0.55359                         0.53215                         0.55721                         0.61449                         0.67646                         0.72449                         0.57502                         0.73012                                 0.29697             
2011.0  0.71166                 0.62552                         0.64867                         0.66286                         0.66371                         0.63777                         0.60756                         0.59091                         0.58902                         0.62066                         0.66655                         0.60036                         0.71166                                 0.30101             
2012.0  0.58616                 0.53451                         0.56222                         0.57984                         0.58616                         0.57018                         0.55492                         0.55062                         0.55746                         0.57242                         0.58261                         0.51528                         0.54500                                 0.27205             
2013.0  0.66499                 0.46265                         0.47061                         0.47020                         0.45286                         0.42810                         0.40813                         0.39621                         0.45674                         0.53304                         0.59874                         0.47624                         0.66499                                 0.25261             
2014.0  0.80702                 0.49336                         0.50623                         0.51237                         0.51359                         0.51444                         0.52974                         0.56036                         0.61198                         0.67202                         0.73256                         0.57198                         0.79618                                 0.31254             
2015.0  0.74815                 0.67901                         0.69410                         0.69703                         0.67895                         0.65175                         0.63861                         0.64605                         0.66919                         0.70372                         0.72864                         0.64321                         0.74815                                 0.33106             
2016.0  0.73564                 0.42807                         0.43837                         0.44049                         0.42964                         0.41029                         0.39866                         0.42773                         0.51896                         0.60082                         0.66591                         0.49662                         0.73053                                 0.24762             
2017.0  0.64684                 0.41847                         0.43425                         0.44172                         0.44108                         0.42699                         0.42482                         0.45930                         0.51210                         0.57687                         0.62848                         0.47723                         0.63937                                 0.25840             
2018.0  0.69701                 0.59011                         0.60460                         0.61052                         0.60176                         0.58307                         0.57340                         0.58449                         0.60208                         0.61554                         0.64650                         0.57890                         0.68430                                 0.30514             
