year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -2.34608                -2.13845                        -2.21509                        -2.27391                        -2.34608                        -2.34477                        -2.31697                        -2.29299                        -2.26844                        -2.22113                        -2.17098                        -2.06416                        -2.33477                                -0.88697            
1980.0  -2.74453                -2.36550                        -2.48824                        -2.58887                        -2.70960                        -2.74453                        -2.68934                        -2.60629                        -2.53058                        -2.43940                        -2.34451                        -2.25672                        -2.74267                                -0.99872            
1981.0  -2.70887                -2.43056                        -2.52728                        -2.60633                        -2.70211                        -2.70887                        -2.67092                        -2.62870                        -2.58745                        -2.55304                        -2.57309                        -2.38408                        -2.53027                                -1.01021            
1982.0  -2.58771                -2.19444                        -2.33909                        -2.45339                        -2.58114                        -2.58771                        -2.51679                        -2.41005                        -2.29292                        -2.17659                        -2.10706                        -2.09355                        -2.58227                                -0.91777            
1983.0  -2.75491                -2.36011                        -2.48416                        -2.58218                        -2.72884                        -2.75491                        -2.70653                        -2.63820                        -2.55494                        -2.42667                        -2.28550                        -2.26081                        -2.74112                                -0.94176            
1984.0  -2.32463                -1.98642                        -2.09731                        -2.19196                        -2.31945                        -2.32463                        -2.27342                        -2.20779                        -2.13102                        -2.06264                        -2.03067                        -1.92782                        -2.32463                                -0.81032            
1985.0  -2.79487                -2.25678                        -2.40729                        -2.54216                        -2.73600                        -2.79487                        -2.75572                        -2.67341                        -2.57072                        -2.46006                        -2.38992                        -2.25948                        -2.78913                                -0.99914            
1986.0  -2.37168                -2.02416                        -2.13940                        -2.24686                        -2.36470                        -2.37168                        -2.32652                        -2.25816                        -2.19575                        -2.17559                        -2.22440                        -2.05119                        -2.37145                                -0.86154            
1987.0  -2.68361                -2.20581                        -2.33334                        -2.44384                        -2.60689                        -2.67949                        -2.68361                        -2.65661                        -2.58116                        -2.45332                        -2.33146                        -2.20521                        -2.67470                                -0.97240            
1988.0  -2.68378                -2.19822                        -2.34422                        -2.46181                        -2.60904                        -2.66972                        -2.68378                        -2.65071                        -2.57081                        -2.47177                        -2.38434                        -2.19842                        -2.64786                                -0.97781            
1989.0  -2.62343                -2.22505                        -2.35193                        -2.46037                        -2.59257                        -2.62343                        -2.59648                        -2.54315                        -2.46158                        -2.37096                        -2.32547                        -2.18834                        -2.61343                                -0.95363            
1990.0  -2.57359                -2.08958                        -2.20551                        -2.31967                        -2.50206                        -2.57359                        -2.56178                        -2.50961                        -2.43390                        -2.33466                        -2.26480                        -2.13386                        -2.57086                                -0.94315            
1991.0  -2.78485                -2.28955                        -2.43114                        -2.57799                        -2.75060                        -2.78485                        -2.74170                        -2.67402                        -2.63237                        -2.58666                        -2.50948                        -2.27770                        -2.77168                                -1.01836            
1992.0  -2.34490                -1.90192                        -2.03069                        -2.15918                        -2.31615                        -2.34490                        -2.28292                        -2.19488                        -2.12624                        -2.08927                        -2.10379                        -1.96147                        -2.33654                                -0.88507            
1993.0  -2.40751                -1.97112                        -2.09601                        -2.19578                        -2.34129                        -2.40751                        -2.38865                        -2.32457                        -2.25617                        -2.20017                        -2.18596                        -2.01443                        -2.39972                                -0.88552            
1994.0  -2.41697                -1.99451                        -2.11475                        -2.21511                        -2.35321                        -2.41697                        -2.40006                        -2.34399                        -2.26645                        -2.16964                        -2.07407                        -1.96674                        -2.39199                                -0.89361            
1995.0  -2.79468                -2.31931                        -2.48673                        -2.62443                        -2.77918                        -2.79468                        -2.75485                        -2.68835                        -2.59592                        -2.50823                        -2.46680                        -2.27845                        -2.79468                                -1.01856            
1996.0  -2.30096                -1.86395                        -1.96493                        -2.07024                        -2.23465                        -2.30096                        -2.28718                        -2.23131                        -2.17053                        -2.14438                        -2.16188                        -1.92181                        -2.29821                                -0.83890            
1997.0  -2.87727                -2.42857                        -2.57176                        -2.69185                        -2.84299                        -2.87727                        -2.81489                        -2.70963                        -2.61939                        -2.58001                        -2.58809                        -2.41812                        -2.87727                                -0.97676            
1998.0  -2.43175                -2.12154                        -2.20261                        -2.27946                        -2.39093                        -2.42897                        -2.43175                        -2.39468                        -2.32796                        -2.26976                        -2.23666                        -2.06341                        -2.39188                                -0.95831            
1999.0  -2.89306                -2.43597                        -2.60954                        -2.74402                        -2.88799                        -2.89306                        -2.84045                        -2.76821                        -2.68752                        -2.63119                        -2.63360                        -2.37938                        -2.89306                                -0.99727            
2000.0  -2.72203                -2.20685                        -2.37180                        -2.51092                        -2.67976                        -2.72203                        -2.69070                        -2.62550                        -2.57229                        -2.58467                        -2.63694                        -2.28447                        -2.72057                                -0.97642            
2001.0  -2.88770                -2.53360                        -2.63069                        -2.75024                        -2.88770                        -2.88400                        -2.79365                        -2.68790                        -2.59175                        -2.52530                        -2.52006                        -2.40969                        -2.86068                                -1.00083            
2002.0  -2.86978                -2.37333                        -2.52014                        -2.65045                        -2.83818                        -2.86978                        -2.79353                        -2.66014                        -2.52659                        -2.45709                        -2.52107                        -2.37710                        -2.85333                                -1.02426            
2003.0  -2.59048                -2.27697                        -2.38708                        -2.47119                        -2.57782                        -2.59048                        -2.53736                        -2.45346                        -2.38557                        -2.35399                        -2.39155                        -2.19563                        -2.56647                                -0.94299            
2004.0  -2.76044                -2.36757                        -2.47457                        -2.56882                        -2.71346                        -2.76044                        -2.72852                        -2.64334                        -2.54836                        -2.47914                        -2.47322                        -2.32047                        -2.71298                                -0.97255            
2005.0  -2.64501                -2.23063                        -2.34055                        -2.47136                        -2.62430                        -2.64501                        -2.58812                        -2.51382                        -2.46337                        -2.41980                        -2.41559                        -2.23368                        -2.64501                                -0.94385            
2006.0  -2.71205                -2.41644                        -2.51854                        -2.60933                        -2.71205                        -2.70079                        -2.61609                        -2.50646                        -2.41892                        -2.38593                        -2.43142                        -2.28193                        -2.65583                                -0.99627            
2007.0  -2.88794                -2.27082                        -2.43378                        -2.59768                        -2.82425                        -2.88794                        -2.82403                        -2.73565                        -2.66578                        -2.61321                        -2.61844                        -2.36610                        -2.88794                                -1.07196            
2008.0  -2.76473                -2.17692                        -2.34054                        -2.48739                        -2.69013                        -2.76473                        -2.75603                        -2.70924                        -2.63636                        -2.57110                        -2.58948                        -2.29028                        -2.75498                                -0.94426            
2009.0  -2.80304                -2.24994                        -2.41421                        -2.56932                        -2.76761                        -2.80304                        -2.70362                        -2.54517                        -2.38424                        -2.26940                        -2.23674                        -2.19644                        -2.80304                                -0.94356            
2010.0  -2.80114                -2.25202                        -2.39710                        -2.51115                        -2.71927                        -2.80114                        -2.74783                        -2.61618                        -2.47197                        -2.38906                        -2.42279                        -2.27394                        -2.78328                                -1.01948            
