year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -2.78330                -2.32104                        -2.46790                        -2.60507                        -2.76675                        -2.78330                        -2.69234                        -2.54989                        -2.43120                        -2.35784                        -2.34280                        -2.25318                        -2.74886                                -0.93888            
1980.0  -2.75556                -2.41063                        -2.53101                        -2.62141                        -2.75556                        -2.75353                        -2.63567                        -2.50479                        -2.39020                        -2.26975                        -2.23048                        -2.24018                        -2.73952                                -0.94367            
1981.0  -2.72612                -2.39132                        -2.50339                        -2.58144                        -2.69891                        -2.72612                        -2.65502                        -2.51895                        -2.35494                        -2.22431                        -2.16446                        -2.18911                        -2.70234                                -0.96755            
1982.0  -2.62184                -2.15195                        -2.28297                        -2.41374                        -2.58348                        -2.62184                        -2.56154                        -2.46873                        -2.39161                        -2.32592                        -2.28816                        -2.17421                        -2.58884                                -0.93103            
1983.0  -2.63185                -2.32718                        -2.43822                        -2.51590                        -2.63185                        -2.62704                        -2.54464                        -2.45241                        -2.35734                        -2.25907                        -2.19902                        -2.16147                        -2.61665                                -0.88768            
1984.0  -2.53780                -2.19541                        -2.31589                        -2.40164                        -2.49141                        -2.53780                        -2.49501                        -2.40708                        -2.30292                        -2.18531                        -2.08071                        -2.04073                        -2.51507                                -0.84434            
1985.0  -2.58153                -2.10607                        -2.23227                        -2.35263                        -2.53314                        -2.58153                        -2.54160                        -2.46738                        -2.38110                        -2.28808                        -2.22462                        -2.11040                        -2.58153                                -0.89218            
1986.0  -2.55299                -2.21375                        -2.32453                        -2.40864                        -2.53664                        -2.55299                        -2.49645                        -2.42421                        -2.34866                        -2.25880                        -2.17647                        -2.09741                        -2.55299                                -0.90243            
1987.0  -2.57248                -2.19446                        -2.31973                        -2.42839                        -2.56741                        -2.57248                        -2.50625                        -2.41564                        -2.31692                        -2.19748                        -2.11913                        -2.10138                        -2.57248                                -0.89446            
1988.0  -2.66789                -2.23725                        -2.35455                        -2.44262                        -2.59767                        -2.66789                        -2.65728                        -2.59037                        -2.48653                        -2.39720                        -2.32107                        -2.20951                        -2.64213                                -1.01136            
1989.0  -2.53286                -2.05385                        -2.20674                        -2.33530                        -2.49763                        -2.53286                        -2.48905                        -2.42446                        -2.35231                        -2.28254                        -2.24221                        -2.08672                        -2.49722                                -0.91051            
1990.0  -2.50929                -2.10865                        -2.22651                        -2.32603                        -2.46623                        -2.50929                        -2.48566                        -2.43510                        -2.35785                        -2.26121                        -2.18704                        -2.08291                        -2.50181                                -0.90330            
1991.0  -2.73687                -2.26780                        -2.40420                        -2.51857                        -2.69744                        -2.73687                        -2.68617                        -2.60202                        -2.49619                        -2.38773                        -2.33511                        -2.22882                        -2.73343                                -0.94410            
1992.0  -2.60752                -2.30198                        -2.42233                        -2.50921                        -2.60752                        -2.60146                        -2.52860                        -2.42780                        -2.31330                        -2.21106                        -2.17057                        -2.11346                        -2.55978                                -0.95333            
1993.0  -2.49961                -2.12429                        -2.25007                        -2.35308                        -2.48140                        -2.49961                        -2.41103                        -2.30769                        -2.21135                        -2.12936                        -2.10387                        -2.00589                        -2.48232                                -0.85313            
1994.0  -2.57055                -2.19458                        -2.31569                        -2.40375                        -2.53491                        -2.57055                        -2.52772                        -2.46286                        -2.38600                        -2.32003                        -2.33973                        -2.16966                        -2.54269                                -0.96900            
1995.0  -2.52096                -2.07925                        -2.20954                        -2.31707                        -2.46483                        -2.52096                        -2.51317                        -2.47621                        -2.41845                        -2.38729                        -2.43489                        -2.15375                        -2.51400                                -0.95020            
1996.0  -2.62980                -2.21695                        -2.33754                        -2.44714                        -2.60589                        -2.62980                        -2.56972                        -2.47077                        -2.37129                        -2.32286                        -2.37436                        -2.18448                        -2.61828                                -0.89485            
1997.0  -3.19498                -2.68630                        -2.84076                        -2.96308                        -3.14324                        -3.19498                        -3.11610                        -2.98219                        -2.84497                        -2.71754                        -2.65490                        -2.56666                        -3.19498                                -1.06066            
1998.0  -2.57354                -2.27975                        -2.39735                        -2.48250                        -2.57354                        -2.54671                        -2.45473                        -2.34382                        -2.24596                        -2.16205                        -2.10611                        -2.06503                        -2.48672                                -0.88447            
1999.0  -2.92069                -2.43246                        -2.58863                        -2.72287                        -2.89987                        -2.92069                        -2.85157                        -2.75904                        -2.69071                        -2.67399                        -2.71062                        -2.42019                        -2.91761                                -1.00977            
