year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -0.76995                -0.76995                        -0.76803                        -0.75446                        -0.70403                        -0.63995                        -0.57993                        -0.53315                        -0.51598                        -0.51088                        -0.50375                        -0.59045                        -0.71891                                -0.32168            
1980.0  -0.69668                -0.68200                        -0.66464                        -0.64549                        -0.60840                        -0.57391                        -0.53534                        -0.49245                        -0.46434                        -0.46290                        -0.46641                        -0.52743                        -0.55944                                -0.28123            
1981.0  -0.74092                -0.62647                        -0.59368                        -0.55449                        -0.48837                        -0.43008                        -0.38748                        -0.36588                        -0.35572                        -0.36770                        -0.38605                        -0.45761                        -0.74092                                -0.27143            
1982.0  -0.84370                -0.83606                        -0.81844                        -0.80069                        -0.76552                        -0.73531                        -0.70468                        -0.67410                        -0.64799                        -0.62979                        -0.61579                        -0.67413                        -0.35191                                -0.37665            
1983.0  -0.62652                -0.61120                        -0.60150                        -0.58921                        -0.55780                        -0.52856                        -0.52365                        -0.51955                        -0.51359                        -0.50903                        -0.50373                        -0.51836                        -0.62652                                -0.26628            
1984.0  -0.72187                -0.71964                        -0.70984                        -0.69908                        -0.69005                        -0.67023                        -0.63688                        -0.59663                        -0.55847                        -0.53377                        -0.51554                        -0.58390                        -0.50800                                -0.32146            
1985.0  -0.66074                -0.66074                        -0.66045                        -0.65397                        -0.63262                        -0.60833                        -0.57987                        -0.54545                        -0.51256                        -0.50040                        -0.50790                        -0.54585                        -0.46402                                -0.29604            
1986.0  -0.92138                -0.85729                        -0.87923                        -0.89918                        -0.92138                        -0.91423                        -0.88105                        -0.83006                        -0.77777                        -0.73276                        -0.69511                        -0.74963                        -0.59981                                -0.36018            
1987.0  -0.74228                -0.74228                        -0.74121                        -0.73134                        -0.70222                        -0.69887                        -0.69450                        -0.68657                        -0.67933                        -0.67699                        -0.66905                        -0.66578                        -0.72254                                -0.34360            
1988.0  -0.71872                -0.71872                        -0.71597                        -0.70895                        -0.69057                        -0.66675                        -0.64309                        -0.62280                        -0.62417                        -0.64009                        -0.65193                        -0.63194                        -0.57285                                -0.33828            
1989.0  -0.58874                -0.54188                        -0.53662                        -0.52694                        -0.49661                        -0.46549                        -0.43344                        -0.39679                        -0.36760                        -0.35841                        -0.37423                        -0.45171                        -0.58235                                -0.25078            
1990.0  -0.79834                -0.74083                        -0.74542                        -0.73544                        -0.69449                        -0.65989                        -0.63330                        -0.62054                        -0.61456                        -0.61294                        -0.60787                        -0.63448                        -0.79834                                -0.35677            
1991.0  -0.68600                -0.68600                        -0.68479                        -0.67823                        -0.64498                        -0.60431                        -0.57675                        -0.56465                        -0.55252                        -0.53727                        -0.51913                        -0.56116                        -0.49927                                -0.28521            
1992.0  -0.60755                -0.55638                        -0.55034                        -0.54299                        -0.52751                        -0.51230                        -0.49813                        -0.48642                        -0.47951                        -0.48291                        -0.50411                        -0.52602                        -0.51550                                -0.26940            
1993.0  -0.65793                -0.64632                        -0.64978                        -0.65490                        -0.65793                        -0.65198                        -0.64787                        -0.64963                        -0.65086                        -0.65112                        -0.65067                        -0.60794                        -0.49096                                -0.31379            
1994.0  -0.75542                -0.71252                        -0.73786                        -0.75261                        -0.75542                        -0.74021                        -0.72347                        -0.70854                        -0.69662                        -0.68099                        -0.66869                        -0.68212                        -0.45990                                -0.35315            
1995.0  -0.69178                -0.68405                        -0.67057                        -0.65508                        -0.63256                        -0.61278                        -0.59423                        -0.58660                        -0.59194                        -0.59772                        -0.60140                        -0.59780                        -0.61679                                -0.29472            
