year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -1.30996                -1.25209                        -1.28561                        -1.30632                        -1.30996                        -1.26837                        -1.20395                        -1.14123                        -1.08779                        -1.03952                        -0.98627                        -1.08234                        -1.25777                                -0.53713            
1980.0  -1.37044                -1.30509                        -1.33465                        -1.35754                        -1.37044                        -1.33544                        -1.27257                        -1.21263                        -1.15614                        -1.07882                        -1.01551                        -1.11448                        -1.36817                                -0.59671            
1981.0  -1.26845                -1.25832                        -1.26459                        -1.26845                        -1.24495                        -1.22331                        -1.19395                        -1.15124                        -1.10087                        -1.06072                        -1.05095                        -1.07137                        -1.24458                                -0.55117            
1982.0  -1.28832                -1.24410                        -1.27502                        -1.28832                        -1.27643                        -1.22622                        -1.18363                        -1.15866                        -1.12134                        -1.07190                        -1.03431                        -1.07378                        -1.22041                                -0.55688            
1983.0  -1.20413                -1.16547                        -1.19230                        -1.20413                        -1.19176                        -1.17313                        -1.14830                        -1.12060                        -1.08330                        -1.03929                        -0.99568                        -1.02891                        -1.10321                                -0.54626            
1984.0  -1.19323                -1.18881                        -1.19323                        -1.18406                        -1.15270                        -1.13261                        -1.10917                        -1.09856                        -1.07736                        -1.04164                        -1.00444                        -1.02684                        -1.14266                                -0.55818            
1985.0  -1.22754                -1.15059                        -1.19950                        -1.22754                        -1.22333                        -1.16140                        -1.10001                        -1.06185                        -1.02150                        -0.96495                        -0.91628                        -0.98899                        -1.16738                                -0.49723            
1986.0  -1.40274                -1.32755                        -1.37674                        -1.40274                        -1.39827                        -1.35677                        -1.32509                        -1.30570                        -1.27442                        -1.22812                        -1.18037                        -1.18222                        -1.30603                                -0.57752            
1987.0  -1.32752                -1.21501                        -1.26491                        -1.29948                        -1.32752                        -1.28881                        -1.23212                        -1.18199                        -1.15029                        -1.13136                        -1.11965                        -1.12682                        -1.24878                                -0.55982            
1988.0  -1.11489                -1.08674                        -1.06052                        -1.04034                        -1.03435                        -1.02065                        -1.01131                        -0.99863                        -0.97394                        -0.94406                        -0.91948                        -0.95958                        -1.02726                                -0.53016            
1989.0  -1.31584                -1.19363                        -1.24118                        -1.28044                        -1.31584                        -1.30745                        -1.27546                        -1.22114                        -1.15725                        -1.10400                        -1.07318                        -1.09413                        -1.24463                                -0.55361            
1990.0  -1.41624                -1.35316                        -1.38930                        -1.41624                        -1.40531                        -1.32949                        -1.25711                        -1.22316                        -1.18979                        -1.15328                        -1.14128                        -1.15174                        -1.40531                                -0.58163            
1991.0  -1.18015                -1.09392                        -1.11270                        -1.14289                        -1.18015                        -1.17644                        -1.15091                        -1.13324                        -1.12422                        -1.10453                        -1.07260                        -1.01321                        -1.17226                                -0.53568            
1992.0  -1.15629                -1.08297                        -1.11551                        -1.13874                        -1.15629                        -1.14195                        -1.11879                        -1.10080                        -1.08638                        -1.08445                        -1.09468                        -1.02980                        -0.97431                                -0.51971            
1993.0  -1.34643                -1.20002                        -1.25851                        -1.30201                        -1.34643                        -1.33919                        -1.31541                        -1.29435                        -1.26926                        -1.24819                        -1.21923                        -1.14067                        -1.30709                                -0.58436            
1994.0  -1.31217                -1.12318                        -1.18299                        -1.23597                        -1.30264                        -1.31217                        -1.28847                        -1.25137                        -1.22091                        -1.18571                        -1.18029                        -1.13276                        -1.29915                                -0.54984            
1995.0  -1.27536                -1.25637                        -1.27247                        -1.27536                        -1.25201                        -1.20871                        -1.16082                        -1.11444                        -1.07426                        -1.03956                        -1.00699                        -1.04381                        -1.24170                                -0.52947            
1996.0  -1.05804                -1.01346                        -1.01396                        -1.00682                        -1.04655                        -1.05804                        -1.04681                        -1.02296                        -0.98924                        -0.95255                        -0.92315                        -0.91524                        -0.96642                                -0.49454            
1997.0  -1.59413                -1.45394                        -1.50672                        -1.54650                        -1.58873                        -1.59413                        -1.55531                        -1.48043                        -1.40326                        -1.35503                        -1.36755                        -1.34737                        -1.55706                                -0.64527            
1998.0  -1.43561                -1.42277                        -1.43550                        -1.43561                        -1.40476                        -1.32936                        -1.25374                        -1.23790                        -1.22833                        -1.21575                        -1.19524                        -1.17919                        -1.34226                                -0.61898            
1999.0  -1.62834                -1.57747                        -1.61129                        -1.62834                        -1.62658                        -1.56532                        -1.47887                        -1.44499                        -1.41931                        -1.41116                        -1.40491                        -1.32202                        -1.53192                                -0.63630            
2000.0  -1.45818                -1.40712                        -1.42045                        -1.42483                        -1.44741                        -1.45739                        -1.45818                        -1.44804                        -1.42475                        -1.40032                        -1.39228                        -1.30062                        -1.44741                                -0.59799            
2001.0  -1.37013                -1.37013                        -1.36123                        -1.34306                        -1.28515                        -1.20510                        -1.12680                        -1.09129                        -1.08565                        -1.09985                        -1.12790                        -1.11269                        -1.24727                                -0.52469            
2002.0  -1.59570                -1.42711                        -1.49609                        -1.54925                        -1.59570                        -1.57759                        -1.52987                        -1.49426                        -1.44529                        -1.39612                        -1.36467                        -1.30487                        -1.52303                                -0.68683            
2003.0  -1.42322                -1.40193                        -1.42073                        -1.42322                        -1.37892                        -1.36618                        -1.36186                        -1.35920                        -1.35578                        -1.34640                        -1.34052                        -1.26863                        -1.35740                                -0.61996            
2004.0  -1.49996                -1.45576                        -1.48746                        -1.49996                        -1.49346                        -1.41294                        -1.31612                        -1.27761                        -1.25365                        -1.24726                        -1.25471                        -1.22648                        -1.49346                                -0.62832            
2005.0  -1.48025                -1.45727                        -1.47824                        -1.48025                        -1.43065                        -1.36621                        -1.36612                        -1.37160                        -1.35948                        -1.32768                        -1.30506                        -1.26026                        -1.41238                                -0.60286            
2006.0  -1.65261                -1.55047                        -1.59905                        -1.64179                        -1.65261                        -1.57870                        -1.47036                        -1.37273                        -1.29806                        -1.24960                        -1.24628                        -1.30743                        -1.65261                                -0.65829            
2007.0  -1.51246                -1.48779                        -1.50834                        -1.51246                        -1.47259                        -1.39105                        -1.35598                        -1.32770                        -1.27837                        -1.22535                        -1.22572                        -1.23190                        -1.42826                                -0.60195            
2008.0  -1.54260                -1.45600                        -1.46597                        -1.50729                        -1.54260                        -1.54076                        -1.52644                        -1.50886                        -1.48271                        -1.45614                        -1.43197                        -1.34233                        -1.45183                                -0.68454            
2009.0  -1.17544                -1.07404                        -1.11420                        -1.14316                        -1.17256                        -1.17544                        -1.15342                        -1.12460                        -1.08811                        -1.05137                        -1.05407                        -1.02551                        -1.02145                                -0.52948            
2010.0  -1.38336                -1.38336                        -1.36847                        -1.33858                        -1.24055                        -1.11868                        -1.02587                        -0.97418                        -0.91996                        -0.88168                        -0.89928                        -1.02948                        -1.01141                                -0.51501            
2011.0  -1.39703                -1.38287                        -1.39703                        -1.38955                        -1.32512                        -1.21245                        -1.13405                        -1.11882                        -1.11645                        -1.11442                        -1.11915                        -1.12434                        -1.32512                                -0.54633            
2012.0  -1.29232                -1.17972                        -1.22575                        -1.26002                        -1.29232                        -1.28847                        -1.27024                        -1.26130                        -1.25494                        -1.23448                        -1.22303                        -1.14090                        -1.23802                                -0.58035            
2013.0  -1.36930                -1.30041                        -1.33133                        -1.35533                        -1.36930                        -1.32296                        -1.23141                        -1.20231                        -1.17171                        -1.15052                        -1.13732                        -1.13408                        -1.36896                                -0.58027            
2014.0  -1.49836                -1.38747                        -1.40931                        -1.44921                        -1.49836                        -1.47841                        -1.41645                        -1.37378                        -1.33482                        -1.28436                        -1.24107                        -1.24037                        -1.49295                                -0.62560            
2015.0  -1.71348                -1.47353                        -1.54439                        -1.60909                        -1.69689                        -1.71348                        -1.68535                        -1.63076                        -1.55308                        -1.47021                        -1.41579                        -1.41572                        -1.64327                                -0.69847            
2016.0  -1.43223                -1.41307                        -1.42880                        -1.43223                        -1.41218                        -1.34122                        -1.27035                        -1.21903                        -1.19271                        -1.21089                        -1.25045                        -1.21358                        -1.39432                                -0.60061            
2017.0  -1.24963                -1.24795                        -1.24886                        -1.24963                        -1.23597                        -1.22358                        -1.18007                        -1.12162                        -1.07367                        -1.04145                        -1.01134                        -1.06664                        -1.18897                                -0.57567            
2018.0  -1.35455                -1.21784                        -1.26293                        -1.31366                        -1.35455                        -1.32185                        -1.25274                        -1.18857                        -1.15062                        -1.15233                        -1.18019                        -1.13403                        -1.31559                                -0.52449            
