year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -1.89192                -1.68340                        -1.76525                        -1.82643                        -1.88993                        -1.89192                        -1.86321                        -1.82772                        -1.77911                        -1.69456                        -1.66058                        -1.62816                        -1.82901                                -0.75571            
1980.0  -1.98649                -1.90281                        -1.94565                        -1.97477                        -1.98649                        -1.94326                        -1.88819                        -1.82771                        -1.76055                        -1.69955                        -1.68035                        -1.70104                        -1.93051                                -0.83060            
1981.0  -2.12437                -1.91508                        -2.00285                        -2.06374                        -2.12437                        -2.11848                        -2.06891                        -1.99163                        -1.88943                        -1.79298                        -1.72732                        -1.73385                        -2.02913                                -0.81241            
1982.0  -2.07060                -1.76519                        -1.85495                        -1.93463                        -2.04410                        -2.07060                        -2.03449                        -1.98651                        -1.92555                        -1.82948                        -1.76183                        -1.75988                        -2.06199                                -0.78326            
1983.0  -2.16053                -1.96526                        -2.02781                        -2.07530                        -2.14004                        -2.16053                        -2.13462                        -2.08796                        -2.02368                        -1.93298                        -1.83690                        -1.83315                        -2.09103                                -0.88164            
1984.0  -1.62006                -1.44301                        -1.49096                        -1.53914                        -1.59337                        -1.61553                        -1.62006                        -1.60477                        -1.57702                        -1.54258                        -1.51744                        -1.42070                        -1.52923                                -0.63941            
1985.0  -2.16784                -1.80504                        -1.92060                        -2.01360                        -2.13220                        -2.16784                        -2.13175                        -2.06186                        -1.97799                        -1.88309                        -1.80459                        -1.75953                        -2.16784                                -0.79647            
1986.0  -2.18098                -1.90368                        -2.01839                        -2.10193                        -2.18098                        -2.17735                        -2.15415                        -2.12335                        -2.06398                        -1.97927                        -1.89294                        -1.80940                        -2.13827                                -0.79699            
1987.0  -2.15851                -1.83775                        -1.91679                        -1.99698                        -2.10768                        -2.15851                        -2.14728                        -2.07164                        -1.95009                        -1.83100                        -1.75618                        -1.75677                        -2.13233                                -0.81757            
1988.0  -2.18604                -2.02851                        -2.08296                        -2.11668                        -2.15828                        -2.18604                        -2.17448                        -2.13904                        -2.09656                        -2.04974                        -1.99423                        -1.86493                        -2.17703                                -0.87764            
1989.0  -2.07953                -1.81215                        -1.89189                        -1.95747                        -2.04391                        -2.07953                        -2.07028                        -2.05381                        -2.02529                        -1.97736                        -1.94790                        -1.79165                        -2.06798                                -0.81933            
1990.0  -2.16236                -1.82353                        -1.90803                        -1.99999                        -2.12978                        -2.16236                        -2.11539                        -2.03028                        -1.94025                        -1.86416                        -1.83206                        -1.77052                        -2.14190                                -0.82737            
1991.0  -1.94393                -1.66946                        -1.74894                        -1.83938                        -1.93103                        -1.94393                        -1.91449                        -1.87573                        -1.82422                        -1.74233                        -1.68307                        -1.63619                        -1.94393                                -0.78168            
1992.0  -1.63230                -1.52825                        -1.56217                        -1.58767                        -1.62856                        -1.63230                        -1.60575                        -1.58123                        -1.54995                        -1.51759                        -1.50341                        -1.43027                        -1.62327                                -0.72712            
