year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  1.25601                 1.09474                         1.11689                         1.13073                         1.13978                         1.14596                         1.17710                         1.22190                         1.25601                         1.25057                         1.21025                         1.08893                         1.22187                                 0.48364             
1980.0  1.32424                 1.02370                         1.06341                         1.09547                         1.15157                         1.19460                         1.24894                         1.29834                         1.32424                         1.31152                         1.25662                         1.09992                         1.29834                                 0.52845             
1981.0  1.20901                 1.09554                         1.13054                         1.15927                         1.19696                         1.20901                         1.20698                         1.20430                         1.19758                         1.16903                         1.10404                         1.05078                         1.19517                                 0.49292             
1982.0  1.22056                 0.98022                         1.01484                         1.04327                         1.09903                         1.16015                         1.19391                         1.21329                         1.22056                         1.20212                         1.14844                         1.03943                         1.21329                                 0.44529             
1983.0  1.57615                 1.26867                         1.31973                         1.36874                         1.46014                         1.51753                         1.54599                         1.56801                         1.57615                         1.55866                         1.52867                         1.37264                         1.42699                                 0.59200             
1984.0  1.36487                 0.96926                         1.01514                         1.06242                         1.16107                         1.25710                         1.31031                         1.34772                         1.36487                         1.35313                         1.32391                         1.13157                         1.34616                                 0.47075             
1985.0  1.01533                 0.98266                         1.00112                         1.01288                         1.01533                         0.99314                         0.96585                         0.94731                         0.92542                         0.89730                         0.87314                         0.88702                         0.93508                                 0.43918             
1986.0  1.23940                 1.00497                         1.03245                         1.05455                         1.09344                         1.14753                         1.20176                         1.23324                         1.23940                         1.22278                         1.19109                         1.05108                         1.23324                                 0.47743             
1987.0  1.41808                 1.19099                         1.23494                         1.26522                         1.29222                         1.34481                         1.37964                         1.40219                         1.41808                         1.40319                         1.34680                         1.20049                         1.36124                                 0.54039             
1988.0  1.36492                 1.00651                         1.05478                         1.09519                         1.15011                         1.22948                         1.30500                         1.35406                         1.36492                         1.32486                         1.23837                         1.09400                         1.35099                                 0.51937             
1989.0  1.29672                 1.11189                         1.16003                         1.19694                         1.24032                         1.25322                         1.27685                         1.29672                         1.28714                         1.24205                         1.18299                         1.10637                         1.29672                                 0.53453             
1990.0  1.23807                 0.99653                         1.03494                         1.06262                         1.09904                         1.12740                         1.17207                         1.20989                         1.23727                         1.23807                         1.20290                         1.04869                         1.20989                                 0.51059             
1991.0  1.38092                 1.11050                         1.15459                         1.19166                         1.24983                         1.30167                         1.35457                         1.38092                         1.36994                         1.31680                         1.23328                         1.13455                         1.37862                                 0.53287             
1992.0  1.38960                 1.03094                         1.07231                         1.10895                         1.22527                         1.31287                         1.35588                         1.38357                         1.38960                         1.34772                         1.26502                         1.14049                         1.35707                                 0.51885             
1993.0  1.42089                 1.14268                         1.18777                         1.22741                         1.31293                         1.37810                         1.40698                         1.42089                         1.40607                         1.35525                         1.29216                         1.19569                         1.41016                                 0.53195             
1994.0  1.31004                 1.16259                         1.19200                         1.21141                         1.22985                         1.23643                         1.26276                         1.30908                         1.31004                         1.26263                         1.19772                         1.13003                         1.30908                                 0.45800             
1995.0  1.31828                 1.09475                         1.11229                         1.12979                         1.16074                         1.20390                         1.25451                         1.29810                         1.31828                         1.30102                         1.26703                         1.13260                         1.29810                                 0.46604             
1996.0  1.20168                 1.00424                         1.03249                         1.06014                         1.09852                         1.12976                         1.16578                         1.19306                         1.20168                         1.18235                         1.14796                         1.02592                         1.19306                                 0.44589             
