year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  0.60379                 0.51084                         0.54909                         0.57716                         0.60379                         0.59566                         0.56139                         0.50896                         0.45074                         0.40095                         0.35944                         0.41021                         0.60379                                 0.21907             
1980.0  0.71632                 0.39729                         0.42379                         0.44142                         0.45052                         0.42956                         0.39931                         0.36840                         0.32855                         0.27482                         0.22702                         0.30255                         0.43729                                 0.15978             
1981.0  0.54569                 0.48308                         0.51401                         0.53453                         0.54569                         0.52785                         0.49215                         0.45470                         0.41299                         0.36324                         0.30981                         0.36485                         0.54569                                 0.19433             
1982.0  0.66675                 0.59222                         0.62289                         0.64615                         0.66675                         0.65224                         0.61231                         0.55688                         0.49181                         0.43505                         0.37746                         0.46031                         0.66675                                 0.24609             
1983.0  0.49714                 0.44501                         0.46636                         0.48085                         0.49714                         0.49590                         0.48159                         0.46123                         0.43667                         0.40402                         0.36842                         0.37639                         0.49302                                 0.19204             
1984.0  0.54176                 0.47877                         0.50788                         0.52756                         0.54176                         0.52772                         0.49816                         0.46776                         0.44240                         0.41304                         0.36962                         0.39191                         0.54176                                 0.20200             
1985.0  0.60607                 0.50595                         0.53764                         0.56034                         0.58058                         0.57516                         0.55022                         0.50851                         0.45472                         0.40045                         0.34902                         0.39634                         0.58058                                 0.21581             
1986.0  0.59370                 0.50836                         0.54086                         0.56618                         0.59370                         0.59102                         0.56743                         0.53146                         0.48397                         0.42616                         0.36826                         0.40753                         0.58732                                 0.22257             
1987.0  0.46303                 0.40602                         0.41748                         0.42202                         0.41391                         0.39007                         0.36211                         0.33936                         0.33423                         0.33485                         0.32345                         0.32763                         0.39466                                 0.13886             
1988.0  0.46840                 0.40702                         0.43291                         0.44858                         0.45689                         0.45020                         0.44050                         0.42510                         0.40367                         0.37107                         0.33004                         0.33073                         0.43879                                 0.18644             
1989.0  0.56062                 0.47399                         0.50642                         0.52946                         0.55763                         0.56062                         0.54713                         0.51979                         0.48379                         0.44115                         0.39621                         0.40864                         0.54673                                 0.21688             
1990.0  0.58121                 0.50457                         0.53790                         0.56080                         0.58121                         0.57617                         0.55539                         0.52838                         0.50034                         0.47216                         0.43733                         0.43472                         0.58121                                 0.23784             
1991.0  0.56983                 0.47535                         0.50150                         0.51629                         0.51828                         0.49343                         0.45853                         0.42274                         0.38483                         0.34204                         0.30613                         0.36045                         0.51828                                 0.19451             
1992.0  0.58167                 0.53612                         0.56481                         0.58134                         0.58167                         0.55157                         0.50967                         0.45866                         0.40574                         0.35062                         0.30283                         0.38313                         0.58167                                 0.21067             
1993.0  0.55084                 0.41810                         0.43332                         0.43784                         0.41730                         0.36809                         0.31271                         0.26970                         0.25267                         0.24878                         0.25415                         0.28919                         0.40678                                 0.14553             
1994.0  0.64359                 0.56923                         0.59546                         0.60993                         0.60897                         0.58294                         0.54528                         0.50715                         0.47329                         0.43057                         0.38243                         0.42741                         0.60887                                 0.22877             
1995.0  0.59735                 0.41445                         0.42879                         0.43636                         0.43333                         0.41129                         0.38435                         0.35465                         0.31841                         0.27896                         0.28177                         0.31297                         0.42313                                 0.16753             
1996.0  0.53775                 0.32527                         0.34401                         0.35738                         0.37209                         0.36984                         0.39225                         0.41381                         0.41707                         0.39576                         0.35019                         0.30230                         0.35195                                 0.17834             
1997.0  0.48730                 0.45658                         0.47599                         0.48711                         0.48730                         0.46525                         0.43566                         0.40850                         0.38710                         0.35209                         0.31876                         0.35109                         0.48730                                 0.18567             
1998.0  0.61560                 0.45591                         0.47477                         0.48561                         0.48449                         0.46807                         0.44220                         0.40992                         0.37166                         0.33100                         0.31817                         0.35356                         0.39517                                 0.18157             
1999.0  0.55169                 0.33761                         0.37000                         0.39435                         0.42569                         0.43741                         0.43623                         0.42854                         0.40533                         0.37725                         0.34046                         0.32320                         0.40741                                 0.18455             
2000.0  0.57152                 0.46415                         0.50413                         0.53557                         0.57107                         0.57152                         0.54589                         0.50660                         0.46474                         0.41772                         0.36975                         0.40481                         0.57107                                 0.21486             
2001.0  0.65736                 0.57985                         0.61664                         0.64135                         0.65736                         0.64007                         0.60780                         0.57435                         0.53046                         0.47480                         0.42002                         0.46662                         0.65736                                 0.22351             
2002.0  0.59419                 0.50164                         0.53686                         0.56317                         0.59419                         0.59183                         0.56139                         0.52334                         0.47824                         0.42760                         0.36809                         0.41000                         0.58869                                 0.20991             
