year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  1.94994                 1.85387                         1.89954                         1.92573                         1.94363                         1.94994                         1.92180                         1.90632                         1.88989                         1.86784                         1.86485                         1.75601                         1.94994                                 0.70047             
1980.0  2.13792                 1.90771                         1.96866                         2.00810                         2.06834                         2.09365                         2.08608                         2.10657                         2.13004                         2.13792                         2.12157                         1.91887                         2.09365                                 0.77836             
1981.0  2.12352                 1.90712                         1.95694                         1.99028                         2.03726                         2.06990                         2.07101                         2.10143                         2.12352                         2.10879                         2.07016                         1.87006                         2.06990                                 0.75666             
1982.0  2.00989                 1.82988                         1.87584                         1.90977                         1.94329                         1.93892                         1.90652                         1.90445                         1.91519                         1.94258                         1.98810                         1.80271                         1.93892                                 0.70751             
1983.0  2.61315                 2.23295                         2.33969                         2.42731                         2.55571                         2.61315                         2.60539                         2.58326                         2.57468                         2.57885                         2.58678                         2.32300                         2.37596                                 0.91843             
1984.0  2.40710                 2.22091                         2.30561                         2.36158                         2.40710                         2.40046                         2.36211                         2.32774                         2.28524                         2.22605                         2.14276                         2.06555                         2.37624                                 0.81855             
1985.0  2.21366                 2.08310                         2.15133                         2.19226                         2.21366                         2.19691                         2.16275                         2.14168                         2.11727                         2.07970                         2.03653                         1.94483                         2.17609                                 0.78990             
1986.0  2.04771                 1.55108                         1.59292                         1.62329                         1.67789                         1.75004                         1.80473                         1.89024                         1.97168                         2.02237                         2.04683                         1.69022                         1.75004                                 0.69199             
1987.0  2.24028                 1.99376                         2.06322                         2.11654                         2.22177                         2.24028                         2.21748                         2.20811                         2.20184                         2.17793                         2.14313                         1.97687                         2.23601                                 0.76149             
1988.0  2.09670                 1.98148                         2.03609                         2.06602                         2.09670                         2.08106                         2.02418                         2.00168                         1.99842                         1.98091                         1.95402                         1.84099                         2.08106                                 0.72537             
1989.0  2.18669                 2.00313                         2.08026                         2.13001                         2.18283                         2.18669                         2.17175                         2.16278                         2.15081                         2.13359                         2.13389                         1.92946                         2.18669                                 0.82131             
1990.0  1.90738                 1.78038                         1.82409                         1.84411                         1.88875                         1.90738                         1.89654                         1.89261                         1.89024                         1.86782                         1.84612                         1.73251                         1.88562                                 0.73489             
1991.0  2.20195                 2.03994                         2.10133                         2.14352                         2.19186                         2.20195                         2.18263                         2.16388                         2.15529                         2.13251                         2.10759                         1.96694                         2.20195                                 0.84153             
1992.0  2.40486                 2.06979                         2.17667                         2.25839                         2.34829                         2.37795                         2.38847                         2.40486                         2.38453                         2.32176                         2.25559                         2.09747                         2.27916                                 0.86431             
1993.0  2.06214                 1.94106                         2.00064                         2.03167                         2.06214                         2.05143                         2.00991                         1.97863                         1.95482                         1.94008                         1.93661                         1.81752                         2.05143                                 0.69690             
1994.0  2.10308                 1.93788                         2.00407                         2.04564                         2.09677                         2.10308                         2.07519                         2.05476                         2.02404                         1.97243                         1.94364                         1.84857                         2.10308                                 0.76304             
1995.0  2.29996                 1.94547                         2.00046                         2.04028                         2.08493                         2.10732                         2.12194                         2.15536                         2.17554                         2.20015                         2.25733                         1.98064                         2.09491                                 0.77682             
1996.0  1.98333                 1.90904                         1.95233                         1.97425                         1.98333                         1.97961                         1.97138                         1.96608                         1.95774                         1.93266                         1.90117                         1.78313                         1.94717                                 0.68084             
1997.0  2.39370                 2.29212                         2.35636                         2.38922                         2.39370                         2.35045                         2.30879                         2.28840                         2.26985                         2.24337                         2.22413                         2.10757                         2.31939                                 0.87234             
1998.0  2.35050                 2.01887                         2.09571                         2.15564                         2.26304                         2.33434                         2.35050                         2.33758                         2.30372                         2.23333                         2.16886                         2.00210                         2.06673                                 0.78473             
1999.0  2.22460                 1.92534                         2.00071                         2.05849                         2.12988                         2.16896                         2.20306                         2.22460                         2.20766                         2.15506                         2.10526                         1.90240                         2.14471                                 0.78712             
2000.0  2.18298                 2.03703                         2.10373                         2.14665                         2.18298                         2.18273                         2.16860                         2.15223                         2.12023                         2.08329                         2.09000                         1.93470                         2.16058                                 0.78045             
2001.0  2.19894                 2.06213                         2.12762                         2.16528                         2.19894                         2.17808                         2.14255                         2.10743                         2.06298                         1.98662                         1.89034                         1.81764                         2.17808                                 0.73402             
