year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  0.41880                 0.35117                         0.36643                         0.37312                         0.36172                         0.32725                         0.28120                         0.23152                         0.18184                         0.15156                         0.15953                         0.22603                         0.36074                                 0.12051             
1980.0  0.49874                 0.35262                         0.37575                         0.39101                         0.39885                         0.37946                         0.34304                         0.30264                         0.28536                         0.28517                         0.27197                         0.28789                         0.39718                                 0.15270             
1981.0  0.53544                 0.46955                         0.49719                         0.51724                         0.53544                         0.52708                         0.50010                         0.46383                         0.41584                         0.36364                         0.30725                         0.36545                         0.52395                                 0.19047             
1982.0  0.47999                 0.41789                         0.42895                         0.43430                         0.42389                         0.39025                         0.36115                         0.35243                         0.35126                         0.34958                         0.33993                         0.34284                         0.41257                                 0.15959             
1983.0  0.55066                 0.51420                         0.53370                         0.54681                         0.55066                         0.53364                         0.50087                         0.46882                         0.44394                         0.42510                         0.40448                         0.43104                         0.44547                                 0.20887             
1984.0  0.43032                 0.38552                         0.40315                         0.41638                         0.42699                         0.41560                         0.39205                         0.36884                         0.33716                         0.29835                         0.25086                         0.29137                         0.38987                                 0.18073             
1985.0  0.41668                 0.39388                         0.40901                         0.41668                         0.41319                         0.38830                         0.35315                         0.32307                         0.30082                         0.27250                         0.23942                         0.28226                         0.41319                                 0.16444             
1986.0  0.53463                 0.41218                         0.42705                         0.43680                         0.44160                         0.42912                         0.40761                         0.38695                         0.36878                         0.34584                         0.31965                         0.33580                         0.43117                                 0.16136             
1987.0  0.41639                 0.37201                         0.39016                         0.40353                         0.41215                         0.39677                         0.37216                         0.36317                         0.36743                         0.36908                         0.36165                         0.33930                         0.36219                                 0.17890             
1988.0  0.57170                 0.41780                         0.43482                         0.44458                         0.44402                         0.42096                         0.38162                         0.33448                         0.29283                         0.25838                         0.22845                         0.29277                         0.44402                                 0.14759             
1989.0  0.61284                 0.53698                         0.56683                         0.58906                         0.61284                         0.61134                         0.59218                         0.56600                         0.53581                         0.50156                         0.45581                         0.46168                         0.60241                                 0.24990             
1990.0  0.62820                 0.43129                         0.45447                         0.46735                         0.46634                         0.43710                         0.39392                         0.34661                         0.29883                         0.25181                         0.20829                         0.29365                         0.46634                                 0.14952             
1991.0  0.47702                 0.31214                         0.32428                         0.32989                         0.32441                         0.30509                         0.28809                         0.28063                         0.27939                         0.26632                         0.23563                         0.23781                         0.29011                                 0.12321             
1992.0  0.61884                 0.51308                         0.53710                         0.55114                         0.54945                         0.51529                         0.46605                         0.41733                         0.37670                         0.35675                         0.33382                         0.38324                         0.52642                                 0.20234             
1993.0  0.49376                 0.30999                         0.31623                         0.31775                         0.30812                         0.28580                         0.25994                         0.25017                         0.25187                         0.25744                         0.25561                         0.25017                         0.28091                                 0.11037             
1994.0  0.55829                 0.52701                         0.54826                         0.55829                         0.54660                         0.50401                         0.44923                         0.39929                         0.36254                         0.32687                         0.27649                         0.35404                         0.54660                                 0.17999             
