year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  0.41880                 0.59664                         0.62633                         0.64559                         0.65237                         0.62230                         0.57418                         0.52610                         0.48158                         0.44429                         0.41450                         0.47334                         0.65237                                 0.25250             
1980.0  0.49874                 0.53203                         0.55030                         0.56436                         0.57802                         0.57271                         0.55535                         0.53903                         0.52275                         0.50227                         0.47003                         0.46544                         0.57355                                 0.25147             
1981.0  0.53544                 0.31355                         0.32756                         0.33569                         0.33321                         0.30934                         0.28175                         0.27046                         0.26788                         0.27520                         0.28021                         0.26476                         0.33321                                 0.13602             
1982.0  0.47999                 0.35530                         0.37587                         0.39200                         0.40844                         0.40501                         0.39667                         0.39370                         0.38664                         0.37568                         0.35473                         0.33963                         0.38477                                 0.16889             
1983.0  0.55066                 0.28315                         0.29219                         0.30213                         0.30319                         0.28090                         0.25566                         0.27940                         0.32791                         0.35314                         0.36371                         0.29088                         0.28493                                 0.14639             
1984.0  0.43032                 0.39751                         0.41684                         0.42962                         0.43705                         0.42308                         0.40235                         0.38229                         0.35744                         0.32471                         0.28155                         0.30949                         0.42639                                 0.17178             
1985.0  0.41668                 0.26584                         0.27835                         0.28809                         0.29465                         0.28316                         0.26471                         0.24774                         0.23503                         0.22470                         0.21137                         0.21761                         0.29465                                 0.11698             
1986.0  0.53463                 0.45588                         0.47408                         0.48950                         0.50416                         0.48850                         0.45421                         0.41990                         0.39392                         0.37542                         0.35915                         0.38466                         0.49504                                 0.19556             
1987.0  0.41639                 0.36317                         0.37839                         0.39115                         0.40067                         0.39172                         0.38260                         0.37450                         0.36370                         0.35038                         0.33217                         0.32725                         0.39621                                 0.18261             
1988.0  0.57170                 0.37346                         0.39610                         0.41383                         0.43592                         0.44426                         0.44631                         0.44260                         0.42854                         0.39971                         0.35240                         0.34645                         0.43592                                 0.19489             
1989.0  0.61284                 0.38439                         0.41457                         0.44021                         0.47767                         0.49174                         0.48245                         0.46217                         0.44118                         0.42488                         0.40316                         0.38280                         0.47507                                 0.20053             
1990.0  0.62820                 0.50807                         0.53325                         0.55162                         0.56624                         0.55525                         0.53189                         0.50960                         0.48917                         0.46215                         0.42324                         0.43207                         0.56624                                 0.23429             
1991.0  0.47702                 0.33156                         0.35439                         0.37198                         0.39098                         0.38981                         0.37679                         0.36393                         0.35441                         0.34098                         0.31058                         0.29412                         0.39098                                 0.14690             
1992.0  0.61884                 0.28185                         0.30378                         0.32168                         0.33483                         0.32069                         0.29686                         0.27744                         0.26378                         0.26335                         0.26868                         0.26715                         0.32148                                 0.14863             
1993.0  0.49376                 0.21306                         0.21834                         0.21885                         0.20380                         0.17540                         0.17458                         0.20446                         0.22993                         0.25316                         0.26775                         0.20513                         0.20255                                 0.09150             
1994.0  0.55829                 0.33790                         0.34534                         0.34637                         0.33867                         0.31479                         0.28475                         0.25594                         0.25143                         0.25543                         0.26381                         0.26764                         0.33214                                 0.12746             
1995.0  0.49273                 0.19457                         0.20176                         0.21458                         0.27497                         0.32716                         0.36796                         0.39213                         0.39598                         0.37915                         0.34629                         0.26200                         0.18973                                 0.08292             
1996.0  0.41529                 0.33509                         0.34430                         0.34873                         0.34468                         0.32994                         0.31827                         0.31923                         0.32598                         0.33291                         0.32680                         0.30166                         0.33012                                 0.15747             
1997.0  0.51841                 0.24586                         0.24561                         0.24306                         0.23326                         0.28673                         0.33474                         0.37705                         0.40847                         0.41875                         0.39965                         0.28315                         0.21643                                 0.08947             
1998.0  0.61249                 0.23771                         0.22953                         0.21831                         0.19357                         0.16651                         0.15863                         0.16937                         0.17229                         0.17195                         0.18204                         0.18666                         0.19357                                 0.10011             
1999.0  0.54860                 0.40141                         0.42480                         0.44163                         0.45471                         0.44119                         0.41196                         0.38020                         0.35208                         0.32458                         0.29340                         0.32258                         0.45320                                 0.15530             
2000.0  0.54293                 0.37417                         0.39866                         0.41382                         0.41709                         0.39369                         0.36789                         0.35078                         0.34394                         0.33415                         0.31245                         0.31526                         0.41709                                 0.17095             
2001.0  0.59649                 0.44465                         0.47494                         0.49617                         0.51129                         0.49210                         0.45232                         0.41229                         0.38303                         0.35850                         0.32727                         0.35166                         0.50409                                 0.16775             
2002.0  0.58505                 0.36882                         0.39395                         0.41353                         0.43019                         0.42196                         0.40473                         0.38881                         0.37310                         0.35329                         0.32277                         0.32053                         0.42284                                 0.17496             
2003.0  0.61488                 0.31397                         0.32787                         0.33686                         0.33671                         0.31330                         0.27381                         0.22737                         0.18484                         0.15378                         0.15671                         0.21366                         0.33671                                 0.11425             
2004.0  0.51108                 0.53614                         0.56642                         0.58789                         0.60399                         0.58757                         0.55220                         0.51818                         0.49198                         0.47094                         0.45700                         0.47040                         0.60399                                 0.25332             
2005.0  0.60908                 0.28755                         0.29193                         0.29061                         0.28144                         0.27026                         0.26115                         0.25503                         0.24556                         0.23224                         0.21507                         0.22727                         0.28144                                 0.11737             
2006.0  0.49399                 0.43393                         0.45584                         0.47196                         0.48384                         0.47232                         0.45042                         0.43759                         0.42213                         0.39656                         0.37413                         0.38850                         0.47324                                 0.20865             
2007.0  0.61525                 0.35583                         0.37683                         0.39225                         0.40039                         0.37764                         0.33409                         0.28743                         0.25768                         0.24185                         0.23542                         0.28911                         0.38223                                 0.15667             
2008.0  0.53987                 0.43441                         0.46387                         0.48921                         0.52071                         0.52261                         0.49908                         0.46392                         0.43144                         0.40512                         0.37793                         0.38940                         0.52071                                 0.19333             
2009.0  0.56900                 0.29712                         0.31148                         0.32016                         0.32623                         0.32057                         0.31311                         0.30701                         0.30455                         0.30867                         0.30898                         0.29212                         0.32495                                 0.15219             
2010.0  0.50795                 0.33726                         0.35602                         0.37142                         0.38795                         0.38392                         0.36326                         0.33559                         0.30804                         0.28590                         0.26975                         0.29514                         0.38795                                 0.15527             
