year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  1.72770                 1.57644                         1.60759                         1.62509                         1.66047                         1.70437                         1.71648                         1.72770                         1.72755                         1.69602                         1.65441                         1.54819                         1.71648                                 0.61972             
1980.0  1.87094                 1.65249                         1.70459                         1.74171                         1.81334                         1.86121                         1.86549                         1.86789                         1.87094                         1.84659                         1.78425                         1.63837                         1.86549                                 0.65455             
1981.0  1.78942                 1.51806                         1.56719                         1.60111                         1.69096                         1.73426                         1.74233                         1.77253                         1.78942                         1.75748                         1.69115                         1.53360                         1.73903                                 0.63913             
1982.0  1.91018                 1.71312                         1.77594                         1.82329                         1.89125                         1.91018                         1.88541                         1.85726                         1.82273                         1.75616                         1.67257                         1.63988                         1.86289                                 0.66775             
1983.0  2.21750                 1.85819                         1.94634                         2.02142                         2.12910                         2.19991                         2.21750                         2.21457                         2.19573                         2.15444                         2.12634                         1.96071                         1.98713                                 0.80410             
1984.0  2.01902                 1.54734                         1.64041                         1.72573                         1.85892                         1.92621                         1.95821                         1.99639                         2.01902                         2.00372                         1.95869                         1.71589                         1.93718                                 0.70251             
1985.0  1.75005                 1.64922                         1.70151                         1.73192                         1.75005                         1.74910                         1.70285                         1.63992                         1.56394                         1.46933                         1.39231                         1.45221                         1.68665                                 0.65742             
1986.0  1.94222                 1.63030                         1.67734                         1.70954                         1.75876                         1.83849                         1.88490                         1.91891                         1.94222                         1.92600                         1.87698                         1.66900                         1.87667                                 0.64574             
1987.0  1.64288                 1.44800                         1.48004                         1.50854                         1.57964                         1.60366                         1.59943                         1.61661                         1.64288                         1.63730                         1.58601                         1.43698                         1.59421                                 0.55632             
1988.0  2.07495                 1.74994                         1.81557                         1.85957                         1.97719                         2.04180                         2.05982                         2.07495                         2.07130                         2.02241                         1.94419                         1.75608                         2.05095                                 0.71726             
1989.0  1.55688                 1.40150                         1.44678                         1.47624                         1.50383                         1.52119                         1.54214                         1.55390                         1.55688                         1.52884                         1.50123                         1.39738                         1.54214                                 0.57620             
1990.0  2.03204                 1.94233                         1.99580                         2.02266                         2.03204                         1.98352                         1.91755                         1.86843                         1.82729                         1.76911                         1.70230                         1.70916                         1.90541                                 0.73462             
1991.0  1.75368                 1.65252                         1.68948                         1.70837                         1.73801                         1.75368                         1.74473                         1.72752                         1.70210                         1.64451                         1.55428                         1.50889                         1.71567                                 0.59792             
1992.0  1.92724                 1.76587                         1.81540                         1.83881                         1.91285                         1.92724                         1.89053                         1.84340                         1.77958                         1.69083                         1.60860                         1.61339                         1.86910                                 0.66630             
1993.0  1.84943                 1.63247                         1.68755                         1.72584                         1.76881                         1.81094                         1.83885                         1.84943                         1.84288                         1.82303                         1.78808                         1.60653                         1.81702                                 0.62389             
1994.0  1.78280                 1.69754                         1.74525                         1.77215                         1.77732                         1.78280                         1.76218                         1.72484                         1.66569                         1.59053                         1.52042                         1.52317                         1.75924                                 0.59719             
1995.0  1.66784                 1.48376                         1.52234                         1.55446                         1.59368                         1.61628                         1.62733                         1.65409                         1.66784                         1.65674                         1.64782                         1.49262                         1.62733                                 0.61024             
1996.0  1.59258                 1.45788                         1.48793                         1.50219                         1.50900                         1.57311                         1.59258                         1.59124                         1.57127                         1.52392                         1.50644                         1.41713                         1.59258                                 0.55935             
1997.0  1.61384                 1.49710                         1.54193                         1.56968                         1.60475                         1.61384                         1.60180                         1.58535                         1.56159                         1.51706                         1.48994                         1.42869                         1.60180                                 0.62093             
1998.0  2.15182                 1.85697                         1.93146                         1.98892                         2.06643                         2.11514                         2.13806                         2.15182                         2.11686                         2.02007                         1.93861                         1.83163                         1.93541                                 0.73890             
1999.0  1.72163                 1.48854                         1.53247                         1.55995                         1.59184                         1.62900                         1.68043                         1.72163                         1.71664                         1.66492                         1.61791                         1.48629                         1.67595                                 0.61585             
2000.0  1.85355                 1.70637                         1.76200                         1.79948                         1.84466                         1.85355                         1.83673                         1.80969                         1.75277                         1.67497                         1.62357                         1.57772                         1.83673                                 0.63885             
2001.0  1.66763                 1.48836                         1.52820                         1.55012                         1.56135                         1.63487                         1.66033                         1.66763                         1.63395                         1.56260                         1.51618                         1.41512                         1.66033                                 0.56682             
2002.0  1.89960                 1.70510                         1.75839                         1.79271                         1.83705                         1.89396                         1.89960                         1.88571                         1.85115                         1.79607                         1.73495                         1.62293                         1.89960                                 0.66553             
2003.0  1.83351                 1.73811                         1.77782                         1.79511                         1.81039                         1.82855                         1.83351                         1.81469                         1.80096                         1.75801                         1.68258                         1.57048                         1.83351                                 0.58778             
2004.0  1.93564                 1.83118                         1.88002                         1.90400                         1.93564                         1.92809                         1.89484                         1.86198                         1.84533                         1.82035                         1.80097                         1.67518                         1.89484                                 0.70050             
2005.0  1.73786                 1.63476                         1.66037                         1.66717                         1.66376                         1.69389                         1.70932                         1.72657                         1.73786                         1.71957                         1.69604                         1.54093                         1.69802                                 0.59097             
2006.0  1.73406                 1.69185                         1.72593                         1.73406                         1.69830                         1.64936                         1.64088                         1.62981                         1.60945                         1.57564                         1.56508                         1.52262                         1.64088                                 0.63890             
2007.0  1.96439                 1.82416                         1.87635                         1.90774                         1.94805                         1.96439                         1.95100                         1.93683                         1.91077                         1.84540                         1.77507                         1.70881                         1.95100                                 0.70026             
2008.0  1.78371                 1.68295                         1.72554                         1.74728                         1.75631                         1.74178                         1.76020                         1.78253                         1.78371                         1.76499                         1.74970                         1.59556                         1.75601                                 0.62157             
2009.0  1.76237                 1.63896                         1.68421                         1.71466                         1.73663                         1.76237                         1.75139                         1.72205                         1.67097                         1.60270                         1.55128                         1.50675                         1.75139                                 0.63151             
2010.0  2.19721                 1.91433                         1.98555                         2.04569                         2.14793                         2.19721                         2.18040                         2.14912                         2.09298                         1.98885                         1.87261                         1.81850                         2.18040                                 0.73476             
2011.0  2.01559                 1.87786                         1.94612                         1.98887                         2.01559                         1.98441                         1.94051                         1.90046                         1.85630                         1.79261                         1.74182                         1.72244                         1.81858                                 0.66888             
2012.0  2.11283                 1.90409                         1.97151                         2.01630                         2.07991                         2.11283                         2.10345                         2.07897                         2.03838                         1.98401                         1.95209                         1.82616                         2.10345                                 0.77419             
2013.0  1.94124                 1.67959                         1.73730                         1.78434                         1.87436                         1.93939                         1.94124                         1.89584                         1.82931                         1.74500                         1.67994                         1.61713                         1.94124                                 0.65710             
2014.0  1.84330                 1.66130                         1.71752                         1.75971                         1.80981                         1.84330                         1.83208                         1.81704                         1.80350                         1.79145                         1.79436                         1.63564                         1.83048                                 0.67565             
2015.0  1.88832                 1.80055                         1.85423                         1.88379                         1.88832                         1.85994                         1.81093                         1.76133                         1.70898                         1.66245                         1.64398                         1.62243                         1.76601                                 0.68498             
2016.0  2.03957                 1.66966                         1.74026                         1.82826                         1.96768                         2.03916                         2.03957                         2.01032                         1.95666                         1.86727                         1.79383                         1.72445                         1.95743                                 0.69231             
2017.0  1.80106                 1.69300                         1.73982                         1.76629                         1.79011                         1.80106                         1.78419                         1.73320                         1.67745                         1.64833                         1.67635                         1.61538                         1.78419                                 0.66038             
2018.0  1.54162                 1.48714                         1.52310                         1.54112                         1.54162                         1.50531                         1.47665                         1.46283                         1.43247                         1.37480                         1.32162                         1.33053                         1.43183                                 0.58143             
