year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  1.60627                 1.52335                         1.56524                         1.59075                         1.60627                         1.59482                         1.56133                         1.52431                         1.48680                         1.44638                         1.39279                         1.36470                         1.60419                                 0.58893             
1980.0  1.39290                 1.30695                         1.34716                         1.37405                         1.39290                         1.37168                         1.33667                         1.31028                         1.28894                         1.26594                         1.22852                         1.16954                         1.39290                                 0.50008             
1981.0  1.47493                 1.37553                         1.42269                         1.45229                         1.47493                         1.45900                         1.43037                         1.39911                         1.36329                         1.32346                         1.27825                         1.23716                         1.47493                                 0.55687             
1982.0  1.60221                 1.53038                         1.56994                         1.59217                         1.60221                         1.57157                         1.51899                         1.46837                         1.41133                         1.35105                         1.29102                         1.32095                         1.58964                                 0.56882             
1983.0  1.33357                 1.29571                         1.32294                         1.33357                         1.32347                         1.28941                         1.25573                         1.22624                         1.20394                         1.19131                         1.18163                         1.14621                         1.32347                                 0.46766             
1984.0  1.40690                 1.36021                         1.39264                         1.40690                         1.40077                         1.36990                         1.33315                         1.30256                         1.27645                         1.25235                         1.22397                         1.20513                         1.40077                                 0.50247             
1985.0  1.16817                 1.12448                         1.15348                         1.16817                         1.16474                         1.13083                         1.09171                         1.06316                         1.04352                         1.02938                         1.01911                         1.00430                         1.16474                                 0.44046             
1986.0  1.59901                 1.52270                         1.56591                         1.59224                         1.59901                         1.55807                         1.49550                         1.43652                         1.39211                         1.35304                         1.30855                         1.31301                         1.59901                                 0.57717             
1987.0  1.32550                 1.27818                         1.31163                         1.32550                         1.31884                         1.27731                         1.23062                         1.18809                         1.14540                         1.09294                         1.02917                         1.06905                         1.31884                                 0.48575             
1988.0  1.41586                 1.35734                         1.39650                         1.41586                         1.41432                         1.37599                         1.32975                         1.29144                         1.26484                         1.24652                         1.22242                         1.20300                         1.41432                                 0.53515             
1989.0  1.49203                 1.40804                         1.45508                         1.48269                         1.49203                         1.45383                         1.40257                         1.34881                         1.29661                         1.23618                         1.16428                         1.19966                         1.49203                                 0.54563             
1990.0  1.35970                 1.29785                         1.33430                         1.35381                         1.35970                         1.33655                         1.30754                         1.27823                         1.24069                         1.19411                         1.13524                         1.12988                         1.30504                                 0.51310             
1991.0  1.57827                 1.48027                         1.53062                         1.56157                         1.57827                         1.54978                         1.50870                         1.47577                         1.43739                         1.39068                         1.33151                         1.30514                         1.57827                                 0.57808             
1992.0  1.52782                 1.45764                         1.49874                         1.52224                         1.52782                         1.49381                         1.44744                         1.40329                         1.35717                         1.30636                         1.25231                         1.26748                         1.52572                                 0.58310             
1993.0  1.52927                 1.45040                         1.49734                         1.52423                         1.52927                         1.48334                         1.42041                         1.36748                         1.32257                         1.27595                         1.21691                         1.23407                         1.52927                                 0.52016             
1994.0  1.47933                 1.41330                         1.44885                         1.46884                         1.47933                         1.46148                         1.42692                         1.38824                         1.34897                         1.31077                         1.26557                         1.25680                         1.47636                                 0.54707             
1995.0  1.24799                 1.18151                         1.21919                         1.24030                         1.24799                         1.22151                         1.18620                         1.16340                         1.13972                         1.10610                         1.06115                         1.04788                         1.24799                                 0.46864             
1996.0  1.33719                 1.29082                         1.32225                         1.33719                         1.33700                         1.31538                         1.28636                         1.25398                         1.21520                         1.16927                         1.10174                         1.09108                         1.26982                                 0.50003             
1997.0  1.13280                 1.10537                         1.12332                         1.13143                         1.13280                         1.12990                         1.11599                         1.10288                         1.09102                         1.07322                         1.05275                         1.01297                         1.13202                                 0.43713             
1998.0  1.36310                 1.31848                         1.35024                         1.36310                         1.35194                         1.31242                         1.27457                         1.25115                         1.22573                         1.18473                         1.12421                         1.12094                         1.35194                                 0.44680             
1999.0  1.20568                 1.14981                         1.18403                         1.20294                         1.20568                         1.17493                         1.14259                         1.11054                         1.06042                         1.00030                         0.93802                         0.97364                         1.20568                                 0.43049             
2000.0  1.51234                 1.47681                         1.50416                         1.51234                         1.49320                         1.44444                         1.38915                         1.33631                         1.27873                         1.21445                         1.14103                         1.19007                         1.49320                                 0.50469             
2001.0  1.32345                 1.27401                         1.30842                         1.32345                         1.31136                         1.25875                         1.19051                         1.12630                         1.06871                         1.02058                         0.98535                         1.03972                         1.31136                                 0.42782             
2002.0  1.64831                 1.52954                         1.58352                         1.61971                         1.64831                         1.63225                         1.58684                         1.53700                         1.48988                         1.44258                         1.38339                         1.35218                         1.64622                                 0.54848             
2003.0  1.42720                 1.37032                         1.41025                         1.42720                         1.40732                         1.34033                         1.26155                         1.19284                         1.13857                         1.09445                         1.05009                         1.11181                         1.40390                                 0.48552             
2004.0  1.43969                 1.40847                         1.43385                         1.43969                         1.41125                         1.35283                         1.29582                         1.25536                         1.23335                         1.23064                         1.22995                         1.20818                         1.40758                                 0.51210             
2005.0  1.44460                 1.38191                         1.42146                         1.44240                         1.44460                         1.40355                         1.33824                         1.27006                         1.20781                         1.15525                         1.11303                         1.16234                         1.44460                                 0.47553             
2006.0  1.47152                 1.39141                         1.43233                         1.45734                         1.47152                         1.44023                         1.38158                         1.32113                         1.27667                         1.24997                         1.22457                         1.21430                         1.47078                                 0.48602             
2007.0  1.53958                 1.47746                         1.52125                         1.53958                         1.52362                         1.46374                         1.39304                         1.32881                         1.27439                         1.22939                         1.18614                         1.21767                         1.52362                                 0.49286             
2008.0  1.64453                 1.58036                         1.62385                         1.64453                         1.64096                         1.59565                         1.52762                         1.45781                         1.38721                         1.32072                         1.25794                         1.31062                         1.62804                                 0.52947             
2009.0  1.64048                 1.56048                         1.60729                         1.63352                         1.64048                         1.60102                         1.54322                         1.49091                         1.44354                         1.39385                         1.33888                         1.34348                         1.64048                                 0.58223             
2010.0  1.40158                 1.34186                         1.38008                         1.40026                         1.40158                         1.36583                         1.31717                         1.27095                         1.23674                         1.21315                         1.19677                         1.18640                         1.39282                                 0.47535             
2011.0  1.42536                 1.38380                         1.41317                         1.42536                         1.41971                         1.38559                         1.34442                         1.31258                         1.29089                         1.28057                         1.27459                         1.22672                         1.41971                                 0.52408             
2012.0  1.51368                 1.40038                         1.45147                         1.48527                         1.51368                         1.50116                         1.46679                         1.42430                         1.37620                         1.33186                         1.29236                         1.27243                         1.49349                                 0.51140             
2013.0  1.48729                 1.44177                         1.47571                         1.48729                         1.46730                         1.41225                         1.35099                         1.29654                         1.24754                         1.20597                         1.17162                         1.20112                         1.46730                                 0.50126             
2014.0  1.49157                 1.43069                         1.47139                         1.49157                         1.48775                         1.44279                         1.38480                         1.33304                         1.29123                         1.26275                         1.24708                         1.24115                         1.48775                                 0.52259             
2015.0  1.57240                 1.51342                         1.55332                         1.57240                         1.57015                         1.52891                         1.46342                         1.39027                         1.32367                         1.27265                         1.23234                         1.27734                         1.56514                                 0.54687             
2016.0  1.43743                 1.38587                         1.42177                         1.43743                         1.42520                         1.37473                         1.31978                         1.26134                         1.19618                         1.13390                         1.08227                         1.14773                         1.39950                                 0.50166             
2017.0  1.38719                 1.33518                         1.37144                         1.38719                         1.37545                         1.32195                         1.25758                         1.19912                         1.14621                         1.09816                         1.06111                         1.11150                         1.37545                                 0.47003             
2018.0  1.53296                 1.46300                         1.50486                         1.52733                         1.53296                         1.49776                         1.44018                         1.37544                         1.30601                         1.23667                         1.17454                         1.23228                         1.53105                                 0.49694             
