year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979.0  0.95787                 0.89135                         0.91396                         0.92858                         0.95110                         0.95787                         0.94533                         0.92962                         0.91258                         0.88925                         0.85648                         0.83208                         0.93706                                 0.38989             
1980.0  0.88084                 0.82731                         0.85170                         0.86784                         0.88084                         0.87735                         0.87344                         0.87451                         0.86803                         0.85235                         0.82972                         0.77875                         0.88084                                 0.39643             
1981.0  1.05960                 0.96816                         1.00548                         1.03259                         1.05960                         1.05648                         1.04411                         1.02553                         0.99930                         0.95602                         0.89452                         0.87790                         1.05960                                 0.41718             
1982.0  0.82162                 0.72763                         0.75052                         0.76826                         0.80387                         0.82143                         0.82162                         0.81398                         0.79890                         0.77975                         0.75776                         0.72165                         0.78030                                 0.35778             
1983.0  1.06275                 1.00667                         1.03932                         1.05742                         1.06275                         1.04553                         1.02189                         0.99418                         0.95974                         0.92008                         0.87430                         0.87627                         1.06275                                 0.42236             
1984.0  0.93740                 0.90629                         0.92705                         0.93740                         0.93239                         0.90572                         0.87843                         0.85853                         0.83689                         0.80966                         0.77614                         0.78606                         0.92541                                 0.36991             
1985.0  0.96226                 0.93612                         0.95604                         0.96226                         0.94735                         0.91238                         0.87868                         0.85116                         0.82021                         0.78860                         0.75972                         0.78533                         0.93926                                 0.37897             
1986.0  1.00871                 0.97590                         0.99550                         1.00829                         1.00871                         0.99271                         0.96909                         0.94861                         0.93303                         0.92617                         0.92002                         0.87937                         0.99178                                 0.38123             
1987.0  0.87613                 0.83499                         0.85831                         0.87201                         0.87613                         0.85863                         0.83776                         0.82465                         0.81764                         0.80569                         0.78644                         0.75785                         0.86771                                 0.36378             
1988.0  0.97407                 0.89787                         0.93300                         0.95601                         0.97407                         0.96574                         0.95023                         0.93476                         0.91144                         0.87866                         0.83693                         0.81428                         0.97407                                 0.35856             
1989.0  0.99280                 0.92844                         0.96009                         0.97999                         0.99280                         0.97856                         0.95193                         0.92471                         0.89474                         0.85530                         0.80191                         0.80625                         0.99280                                 0.41109             
1990.0  0.96883                 0.88107                         0.91794                         0.94519                         0.96883                         0.96349                         0.95331                         0.94405                         0.92855                         0.90210                         0.86429                         0.81752                         0.96637                                 0.40351             
1991.0  0.94000                 0.86590                         0.89621                         0.91980                         0.94000                         0.92921                         0.90725                         0.88754                         0.86514                         0.83338                         0.79033                         0.78040                         0.94000                                 0.38188             
1992.0  1.01990                 0.95416                         0.98756                         1.00849                         1.01990                         1.00102                         0.97099                         0.93871                         0.90254                         0.86354                         0.81691                         0.82023                         1.01990                                 0.39630             
1993.0  0.93536                 0.91050                         0.92828                         0.93536                         0.92784                         0.89380                         0.85775                         0.83279                         0.80746                         0.77953                         0.74369                         0.76529                         0.92014                                 0.34272             
1994.0  0.86013                 0.82478                         0.84795                         0.86013                         0.85782                         0.83023                         0.80034                         0.78365                         0.76958                         0.74943                         0.72155                         0.71831                         0.85782                                 0.36956             
1995.0  0.90361                 0.87063                         0.89302                         0.90361                         0.89815                         0.86848                         0.83588                         0.81367                         0.79528                         0.76976                         0.73001                         0.73327                         0.89815                                 0.35110             
1996.0  0.94478                 0.92217                         0.93856                         0.94478                         0.93749                         0.91128                         0.87904                         0.84754                         0.81363                         0.77926                         0.74045                         0.76074                         0.93463                                 0.33900             
1997.0  0.81791                 0.74970                         0.76351                         0.77310                         0.79311                         0.80836                         0.81501                         0.81791                         0.80514                         0.77598                         0.73464                         0.70784                         0.72074                                 0.33141             
