year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -0.93938                -0.80952                        -0.85343                        -0.88805                        -0.92985                        -0.93938                        -0.93574                        -0.93594                        -0.93700                        -0.92841                        -0.90285                        -0.82947                        -0.89601                                -0.36592            
1980.0  -1.22510                -1.11662                        -1.15777                        -1.18914                        -1.22510                        -1.22468                        -1.20214                        -1.17240                        -1.13687                        -1.09241                        -1.03161                        -1.02710                        -1.20788                                -0.45151            
1981.0  -1.18299                -1.04376                        -1.09935                        -1.14155                        -1.18299                        -1.16813                        -1.12148                        -1.07581                        -1.03167                        -0.98558                        -0.93738                        -0.96119                        -1.11938                                -0.44014            
1982.0  -1.26802                -1.11157                        -1.16464                        -1.20695                        -1.25900                        -1.26802                        -1.25276                        -1.23417                        -1.21458                        -1.18896                        -1.14962                        -1.08895                        -1.23592                                -0.48514            
1983.0  -1.25234                -1.13563                        -1.16497                        -1.18632                        -1.21588                        -1.23124                        -1.24056                        -1.25197                        -1.25234                        -1.22738                        -1.17247                        -1.08938                        -1.18719                                -0.50554            
1984.0  -1.33684                -1.14620                        -1.20392                        -1.24886                        -1.30526                        -1.32290                        -1.32490                        -1.33239                        -1.33684                        -1.32574                        -1.28829                        -1.15306                        -1.29946                                -0.54616            
1985.0  -1.05992                -1.00493                        -1.03291                        -1.05132                        -1.05992                        -1.04454                        -1.02328                        -1.01143                        -0.99671                        -0.97777                        -0.94372                        -0.91791                        -1.05896                                -0.40663            
1986.0  -1.05801                -0.97248                        -1.00481                        -1.02905                        -1.05801                        -1.05462                        -1.04174                        -1.04136                        -1.04584                        -1.04115                        -1.02217                        -0.93750                        -1.05225                                -0.42746            
1987.0  -1.06142                -0.99119                        -1.02425                        -1.04681                        -1.06142                        -1.04472                        -1.02253                        -1.01397                        -1.01934                        -1.01245                        -0.98092                        -0.92126                        -1.05810                                -0.43394            
1988.0  -1.04750                -0.90196                        -0.92307                        -0.95089                        -0.98736                        -1.00093                        -1.00875                        -1.02817                        -1.04750                        -1.04438                        -1.00898                        -0.90452                        -0.98617                                -0.41787            
1989.0  -1.18652                -1.10463                        -1.14264                        -1.16780                        -1.18652                        -1.17389                        -1.15449                        -1.14893                        -1.14929                        -1.14337                        -1.11685                        -1.03773                        -1.17855                                -0.45560            
1990.0  -1.18527                -1.07830                        -1.12009                        -1.15178                        -1.18527                        -1.18282                        -1.16416                        -1.15086                        -1.14369                        -1.12937                        -1.09440                        -1.03212                        -1.17220                                -0.43135            
1991.0  -1.17207                -1.03178                        -1.08166                        -1.12106                        -1.16697                        -1.17207                        -1.15832                        -1.15062                        -1.13978                        -1.11500                        -1.07049                        -1.00752                        -1.15966                                -0.46876            
1992.0  -1.27581                -1.16689                        -1.20727                        -1.24109                        -1.27581                        -1.27082                        -1.24616                        -1.22081                        -1.19386                        -1.15155                        -1.08555                        -1.06604                        -1.27581                                -0.46888            
1993.0  -1.32594                -1.16435                        -1.22460                        -1.27125                        -1.32287                        -1.32594                        -1.30746                        -1.28628                        -1.25512                        -1.21206                        -1.16309                        -1.11595                        -1.31384                                -0.49225            
1994.0  -1.24490                -1.12200                        -1.16883                        -1.20573                        -1.24490                        -1.24295                        -1.22507                        -1.20335                        -1.17082                        -1.12441                        -1.06932                        -1.04125                        -1.23530                                -0.47863            
1995.0  -1.00599                -0.86538                        -0.90207                        -0.93169                        -0.97489                        -0.99575                        -1.00187                        -1.00599                        -0.99900                        -0.98386                        -0.96222                        -0.89519                        -0.95931                                -0.40161            
1996.0  -1.21540                -1.09178                        -1.13529                        -1.16824                        -1.20904                        -1.21540                        -1.20871                        -1.19796                        -1.17856                        -1.14935                        -1.11516                        -1.04436                        -1.20715                                -0.48494            
1997.0  -1.08702                -1.00908                        -1.04193                        -1.06684                        -1.08702                        -1.07934                        -1.06468                        -1.05336                        -1.04221                        -1.02288                        -0.99757                        -0.96887                        -1.08702                                -0.44034            
1998.0  -1.03740                -1.02558                        -1.03435                        -1.03740                        -1.02114                        -0.98898                        -0.95880                        -0.93788                        -0.91773                        -0.88895                        -0.84712                        -0.88009                        -1.01939                                -0.40189            
1999.0  -1.26796                -1.11154                        -1.16625                        -1.20841                        -1.25807                        -1.26796                        -1.26033                        -1.24701                        -1.21740                        -1.16814                        -1.11046                        -1.04943                        -1.25807                                -0.45699            
2000.0  -1.14130                -1.01172                        -1.04520                        -1.07326                        -1.11001                        -1.12692                        -1.13490                        -1.14130                        -1.13072                        -1.09550                        -1.03789                        -0.95535                        -1.07124                                -0.44882            
2001.0  -1.21363                -1.11747                        -1.16030                        -1.18920                        -1.21363                        -1.20272                        -1.17846                        -1.15792                        -1.13614                        -1.10941                        -1.07659                        -1.02803                        -1.21363                                -0.46186            
2002.0  -1.14565                -1.04089                        -1.08470                        -1.11638                        -1.14565                        -1.13897                        -1.12230                        -1.11144                        -1.09372                        -1.05868                        -1.00690                        -0.96652                        -1.14565                                -0.45056            
