year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -2.63779                -2.24861                        -2.38950                        -2.49939                        -2.62051                        -2.63779                        -2.61178                        -2.58398                        -2.55991                        -2.54197                        -2.50849                        -2.25651                        -2.63779                                -0.95722            
1980.0  -2.77917                -2.39399                        -2.51496                        -2.60650                        -2.74016                        -2.77917                        -2.75164                        -2.70571                        -2.65025                        -2.58274                        -2.48686                        -2.30467                        -2.75731                                -1.03876            
1981.0  -2.60758                -2.40653                        -2.50401                        -2.57051                        -2.60758                        -2.55805                        -2.51638                        -2.49742                        -2.49130                        -2.47362                        -2.45028                        -2.26935                        -2.53381                                -0.99457            
1982.0  -2.64145                -2.26334                        -2.41082                        -2.52516                        -2.64145                        -2.62318                        -2.53632                        -2.45170                        -2.38937                        -2.34333                        -2.28883                        -2.14927                        -2.61380                                -0.95881            
1983.0  -2.76114                -2.43542                        -2.55526                        -2.64169                        -2.75430                        -2.76114                        -2.71288                        -2.66253                        -2.61413                        -2.54675                        -2.43097                        -2.29575                        -2.73730                                -0.97042            
1984.0  -2.16454                -1.91404                        -1.98956                        -2.04993                        -2.14885                        -2.16454                        -2.13785                        -2.10449                        -2.07921                        -2.05126                        -1.99198                        -1.83757                        -2.16174                                -0.80927            
1985.0  -2.59883                -2.21982                        -2.34495                        -2.43901                        -2.55818                        -2.59883                        -2.57374                        -2.53692                        -2.51082                        -2.47865                        -2.41075                        -2.19033                        -2.58534                                -0.98913            
1986.0  -2.32848                -2.09090                        -2.17413                        -2.25497                        -2.32848                        -2.31133                        -2.26759                        -2.25092                        -2.26418                        -2.28267                        -2.28383                        -2.05537                        -2.31133                                -0.86103            
1987.0  -2.53722                -2.19807                        -2.32049                        -2.41486                        -2.52494                        -2.53722                        -2.50007                        -2.45849                        -2.42118                        -2.38147                        -2.30763                        -2.12024                        -2.51954                                -0.92426            
1988.0  -2.63634                -2.19969                        -2.33826                        -2.45094                        -2.59425                        -2.63634                        -2.62527                        -2.60226                        -2.57444                        -2.54243                        -2.47271                        -2.20720                        -2.61060                                -0.98640            
1989.0  -2.68540                -2.38181                        -2.48389                        -2.56774                        -2.67130                        -2.68540                        -2.65171                        -2.60575                        -2.54719                        -2.47545                        -2.39122                        -2.25484                        -2.68540                                -0.98536            
1990.0  -2.57809                -2.17636                        -2.29141                        -2.40691                        -2.54843                        -2.57809                        -2.53939                        -2.48598                        -2.43387                        -2.37787                        -2.30918                        -2.15158                        -2.57809                                -0.95643            
1991.0  -3.00667                -2.48763                        -2.67185                        -2.81941                        -2.98575                        -3.00667                        -2.96457                        -2.91770                        -2.86956                        -2.80164                        -2.68392                        -2.45132                        -3.00667                                -1.08715            
1992.0  -2.48965                -2.08859                        -2.21619                        -2.33381                        -2.47566                        -2.48965                        -2.43573                        -2.37615                        -2.32599                        -2.27212                        -2.19607                        -2.05898                        -2.48965                                -0.92413            
1993.0  -2.50955                -2.12117                        -2.26756                        -2.38536                        -2.50955                        -2.50207                        -2.42742                        -2.34514                        -2.27030                        -2.21524                        -2.17479                        -2.03987                        -2.50207                                -0.90430            
1994.0  -2.52331                -2.17347                        -2.28597                        -2.37844                        -2.48821                        -2.52331                        -2.50092                        -2.45077                        -2.37518                        -2.27926                        -2.16458                        -2.05203                        -2.49307                                -0.93046            
1995.0  -2.72258                -2.27200                        -2.42392                        -2.54997                        -2.69554                        -2.72258                        -2.68990                        -2.64121                        -2.58274                        -2.52645                        -2.46716                        -2.24353                        -2.71652                                -1.02150            
1996.0  -2.21768                -1.92667                        -2.01748                        -2.10061                        -2.20059                        -2.21768                        -2.18737                        -2.14223                        -2.10906                        -2.10632                        -2.11714                        -1.89242                        -2.21655                                -0.82608            
1997.0  -2.72685                -2.41335                        -2.54393                        -2.64056                        -2.72685                        -2.68875                        -2.60685                        -2.55269                        -2.52890                        -2.50811                        -2.47488                        -2.29478                        -2.68875                                -0.94408            
1998.0  -2.12041                -2.01756                        -2.06366                        -2.08950                        -2.11747                        -2.12041                        -2.09901                        -2.07156                        -2.03628                        -2.01173                        -2.00591                        -1.87293                        -2.11259                                -0.86310            
1999.0  -2.67579                -2.29657                        -2.44526                        -2.56020                        -2.67579                        -2.67000                        -2.61711                        -2.56178                        -2.49435                        -2.41419                        -2.34354                        -2.19260                        -2.65017                                -0.92869            
2000.0  -2.53229                -2.10311                        -2.22921                        -2.34930                        -2.49749                        -2.53229                        -2.50159                        -2.45775                        -2.41090                        -2.35869                        -2.29701                        -2.09384                        -2.52889                                -0.91739            
2001.0  -2.67616                -2.31347                        -2.45143                        -2.56089                        -2.67616                        -2.66205                        -2.57420                        -2.46945                        -2.35492                        -2.25180                        -2.19188                        -2.16591                        -2.65311                                -0.93063            
2002.0  -2.60628                -2.17449                        -2.33040                        -2.45536                        -2.59928                        -2.60628                        -2.53014                        -2.43000                        -2.32679                        -2.24500                        -2.21851                        -2.13907                        -2.60628                                -0.95285            
2003.0  -2.45236                -2.11656                        -2.25318                        -2.35574                        -2.45236                        -2.42043                        -2.32980                        -2.24790                        -2.19680                        -2.18568                        -2.21698                        -2.01951                        -2.42043                                -0.86897            
2004.0  -2.56463                -2.27108                        -2.37801                        -2.47292                        -2.56463                        -2.53909                        -2.44895                        -2.34107                        -2.24828                        -2.18383                        -2.14827                        -2.09687                        -2.53909                                -0.91356            
2005.0  -2.49968                -2.14291                        -2.27116                        -2.38303                        -2.49968                        -2.46965                        -2.35157                        -2.23668                        -2.15862                        -2.09108                        -2.06124                        -2.01909                        -2.46965                                -0.85908            
2006.0  -2.56361                -2.32057                        -2.41843                        -2.49505                        -2.56361                        -2.50363                        -2.37212                        -2.23187                        -2.11512                        -2.05804                        -2.08762                        -2.07223                        -2.48885                                -0.92108            
2007.0  -2.68889                -2.20846                        -2.33858                        -2.47114                        -2.65293                        -2.68889                        -2.61378                        -2.50753                        -2.42386                        -2.39383                        -2.41534                        -2.21107                        -2.68171                                -1.00225            
2008.0  -2.59819                -2.16683                        -2.29168                        -2.40788                        -2.56124                        -2.59819                        -2.56637                        -2.51146                        -2.44596                        -2.39966                        -2.42532                        -2.17968                        -2.59394                                -0.92474            
2009.0  -2.68797                -2.25257                        -2.41049                        -2.53823                        -2.68789                        -2.68797                        -2.57311                        -2.40735                        -2.23738                        -2.10288                        -2.03824                        -2.08517                        -2.68797                                -0.91463            
2010.0  -2.84266                -2.31655                        -2.46031                        -2.59105                        -2.78144                        -2.84266                        -2.78295                        -2.64820                        -2.49511                        -2.39472                        -2.39803                        -2.30174                        -2.80417                                -1.02688            
2011.0  -2.93932                -2.51886                        -2.68371                        -2.81235                        -2.93932                        -2.91819                        -2.82829                        -2.73387                        -2.63945                        -2.55412                        -2.52019                        -2.39548                        -2.90201                                -1.01506            
2012.0  -2.86138                -2.34062                        -2.51012                        -2.64666                        -2.81786                        -2.86138                        -2.81601                        -2.72020                        -2.59817                        -2.50628                        -2.51299                        -2.35490                        -2.86138                                -1.03537            
2013.0  -2.64345                -2.12808                        -2.26078                        -2.41145                        -2.60453                        -2.64345                        -2.57105                        -2.45688                        -2.35228                        -2.28539                        -2.27331                        -2.14957                        -2.62911                                -0.94477            
2014.0  -2.88380                -2.34668                        -2.52058                        -2.66347                        -2.84585                        -2.88380                        -2.80420                        -2.66467                        -2.52663                        -2.44483                        -2.41660                        -2.30560                        -2.87203                                -0.97499            
2015.0  -3.05298                -2.63010                        -2.79864                        -2.92679                        -3.05298                        -3.01639                        -2.88511                        -2.73092                        -2.57127                        -2.43877                        -2.39364                        -2.42231                        -3.01639                                -1.03948            
2016.0  -2.54925                -2.29430                        -2.39707                        -2.47074                        -2.54925                        -2.52604                        -2.42363                        -2.28665                        -2.17358                        -2.12213                        -2.12518                        -2.09541                        -2.48485                                -0.94555            
2017.0  -2.63558                -2.34394                        -2.44821                        -2.52806                        -2.63558                        -2.63489                        -2.54931                        -2.45137                        -2.36560                        -2.29952                        -2.26223                        -2.17556                        -2.63171                                -0.96155            
2018.0  -2.70725                -2.34781                        -2.48177                        -2.58924                        -2.70725                        -2.69092                        -2.58808                        -2.47048                        -2.37046                        -2.29108                        -2.25845                        -2.20141                        -2.68136                                -0.97260            
