year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -0.45856                -0.33508                        -0.33034                        -0.32422                        -0.31536                        -0.32236                        -0.32380                        -0.31351                        -0.29505                        -0.27697                        -0.25945                        -0.27522                        -0.29336                                -0.15867            
1980.0  -0.43191                -0.38846                        -0.38532                        -0.38769                        -0.40494                        -0.42180                        -0.43099                        -0.43131                        -0.42343                        -0.40945                        -0.39052                        -0.37548                        -0.42018                                -0.20014            
1981.0  -0.66054                -0.61582                        -0.62167                        -0.62973                        -0.64805                        -0.65953                        -0.66054                        -0.65717                        -0.65371                        -0.65363                        -0.64725                        -0.59392                        -0.64853                                -0.28739            
1982.0  -0.67254                -0.55593                        -0.55958                        -0.56715                        -0.59334                        -0.62710                        -0.65362                        -0.66872                        -0.67254                        -0.66372                        -0.63905                        -0.59296                        -0.64798                                -0.32201            
1983.0  -0.51880                -0.38525                        -0.38505                        -0.38677                        -0.39875                        -0.41922                        -0.44467                        -0.47138                        -0.49460                        -0.51517                        -0.51880                        -0.42614                        -0.49449                                -0.20688            
1984.0  -0.54419                -0.34571                        -0.33961                        -0.33036                        -0.31245                        -0.29941                        -0.30097                        -0.31432                        -0.33653                        -0.35891                        -0.37292                        -0.32426                        -0.28965                                -0.18323            
1985.0  -0.64703                -0.33235                        -0.33879                        -0.34637                        -0.36873                        -0.39368                        -0.41776                        -0.44147                        -0.46150                        -0.46902                        -0.45720                        -0.37884                        -0.45573                                -0.19634            
1986.0  -0.58672                -0.55946                        -0.55269                        -0.54696                        -0.54453                        -0.55216                        -0.56216                        -0.57061                        -0.57716                        -0.58529                        -0.58672                        -0.53989                        -0.57716                                -0.24881            
1987.0  -0.69658                -0.64135                        -0.64483                        -0.64854                        -0.65596                        -0.65987                        -0.66455                        -0.67689                        -0.69173                        -0.69658                        -0.68342                        -0.61673                        -0.67625                                -0.28286            
1988.0  -0.60621                -0.56742                        -0.57561                        -0.58198                        -0.58836                        -0.58550                        -0.57779                        -0.56895                        -0.55739                        -0.54276                        -0.51656                        -0.49301                        -0.52285                                -0.25639            
1989.0  -0.56652                -0.53592                        -0.53596                        -0.53290                        -0.52230                        -0.51060                        -0.50800                        -0.51816                        -0.53177                        -0.54321                        -0.54689                        -0.49587                        -0.51883                                -0.25036            
1990.0  -0.65003                -0.57409                        -0.57857                        -0.58072                        -0.59044                        -0.61868                        -0.64023                        -0.65003                        -0.64803                        -0.63349                        -0.60222                        -0.55473                        -0.64268                                -0.28044            
1991.0  -0.58717                -0.40489                        -0.39263                        -0.38093                        -0.36343                        -0.36022                        -0.35567                        -0.34763                        -0.33418                        -0.31768                        -0.30181                        -0.34258                        -0.33418                                -0.19120            
1992.0  -0.59198                -0.58566                        -0.58593                        -0.58570                        -0.58650                        -0.59095                        -0.59198                        -0.59030                        -0.58575                        -0.57291                        -0.54701                        -0.52797                        -0.57150                                -0.22859            
1993.0  -0.70387                -0.69384                        -0.68805                        -0.68679                        -0.69223                        -0.69995                        -0.70387                        -0.70236                        -0.69319                        -0.67285                        -0.63939                        -0.63024                        -0.66925                                -0.30131            
1994.0  -0.58126                -0.58079                        -0.57644                        -0.57138                        -0.56474                        -0.56132                        -0.55701                        -0.54505                        -0.52428                        -0.49787                        -0.46895                        -0.49651                        -0.49514                                -0.27830            
1995.0  -0.39071                -0.27683                        -0.26126                        -0.24583                        -0.25479                        -0.27402                        -0.29267                        -0.30556                        -0.30940                        -0.30494                        -0.29599                        -0.27565                        -0.30759                                -0.13960            
