year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -0.54000                -0.49720                        -0.49113                        -0.48502                        -0.47736                        -0.47236                        -0.47130                        -0.48454                        -0.50578                        -0.52859                        -0.54000                        -0.47077                        -0.52859                                -0.24680            
1980.0  -0.57023                -0.42760                        -0.43206                        -0.43984                        -0.46231                        -0.48329                        -0.50542                        -0.52440                        -0.54523                        -0.56213                        -0.57023                        -0.47519                        -0.53520                                -0.25230            
1981.0  -0.58338                -0.50432                        -0.52326                        -0.54027                        -0.56867                        -0.58278                        -0.58338                        -0.58011                        -0.57897                        -0.57853                        -0.57388                        -0.51950                        -0.56352                                -0.29861            
1982.0  -0.71167                -0.55740                        -0.57520                        -0.59196                        -0.62342                        -0.64662                        -0.66770                        -0.69113                        -0.70828                        -0.71167                        -0.70133                        -0.60312                        -0.70334                                -0.33138            
1983.0  -0.88067                -0.64265                        -0.66068                        -0.68162                        -0.72553                        -0.76974                        -0.81535                        -0.85266                        -0.87602                        -0.88067                        -0.86428                        -0.73574                        -0.83463                                -0.36172            
1984.0  -0.56547                -0.47847                        -0.46582                        -0.45367                        -0.43583                        -0.46715                        -0.50303                        -0.53484                        -0.55762                        -0.56547                        -0.55416                        -0.47794                        -0.56288                                -0.28184            
1985.0  -0.58564                -0.44222                        -0.45629                        -0.47284                        -0.50889                        -0.53713                        -0.55795                        -0.57555                        -0.58564                        -0.58401                        -0.57120                        -0.49470                        -0.58401                                -0.26156            
1986.0  -0.50273                -0.38756                        -0.38740                        -0.38719                        -0.38907                        -0.40213                        -0.43803                        -0.47421                        -0.49580                        -0.50273                        -0.49688                        -0.41281                        -0.48177                                -0.20596            
1987.0  -0.69636                -0.59705                        -0.61318                        -0.62775                        -0.64769                        -0.65851                        -0.66306                        -0.67032                        -0.68333                        -0.69600                        -0.69636                        -0.60904                        -0.67124                                -0.29152            
1988.0  -0.66057                -0.64121                        -0.65085                        -0.65349                        -0.65110                        -0.64587                        -0.64487                        -0.65068                        -0.65924                        -0.66057                        -0.64765                        -0.59418                        -0.66057                                -0.30006            
1989.0  -0.47777                -0.39833                        -0.40531                        -0.40943                        -0.41122                        -0.42453                        -0.45200                        -0.47420                        -0.47777                        -0.46329                        -0.43689                        -0.38811                        -0.45781                                -0.20996            
1990.0  -0.53982                -0.53971                        -0.53982                        -0.53556                        -0.51979                        -0.50259                        -0.50818                        -0.50757                        -0.50285                        -0.50184                        -0.49842                        -0.47162                        -0.49797                                -0.22507            
1991.0  -0.64872                -0.57724                        -0.59156                        -0.60384                        -0.62416                        -0.63840                        -0.64473                        -0.64872                        -0.64553                        -0.63532                        -0.61970                        -0.56590                        -0.63288                                -0.26633            
1992.0  -0.70426                -0.62372                        -0.62759                        -0.63374                        -0.64807                        -0.65811                        -0.66970                        -0.68431                        -0.69892                        -0.70426                        -0.69601                        -0.62319                        -0.70048                                -0.28463            
1993.0  -0.53414                -0.51930                        -0.52722                        -0.53146                        -0.53414                        -0.53026                        -0.52573                        -0.52242                        -0.51691                        -0.51253                        -0.50395                        -0.47648                        -0.50733                                -0.24352            
1994.0  -0.61204                -0.59476                        -0.59493                        -0.59317                        -0.59463                        -0.59640                        -0.60073                        -0.60803                        -0.61204                        -0.60950                        -0.59517                        -0.54926                        -0.60305                                -0.28638            
1995.0  -0.57136                -0.47248                        -0.47382                        -0.47181                        -0.47016                        -0.47329                        -0.49116                        -0.51868                        -0.54694                        -0.56730                        -0.57136                        -0.48322                        -0.52552                                -0.21920            
1996.0  -0.62537                -0.53300                        -0.53989                        -0.54890                        -0.56644                        -0.58516                        -0.60520                        -0.62106                        -0.62537                        -0.62074                        -0.60851                        -0.53823                        -0.62020                                -0.26735            
1997.0  -0.65944                -0.63298                        -0.63491                        -0.63473                        -0.63737                        -0.63981                        -0.64616                        -0.65571                        -0.65944                        -0.65187                        -0.63144                        -0.59075                        -0.64913                                -0.30019            
1998.0  -0.66799                -0.64133                        -0.64514                        -0.64787                        -0.65208                        -0.65561                        -0.66418                        -0.66799                        -0.65605                        -0.63111                        -0.59763                        -0.58101                        -0.62144                                -0.30616            
1999.0  -0.54505                -0.48653                        -0.49217                        -0.49780                        -0.50817                        -0.51657                        -0.52527                        -0.53686                        -0.54505                        -0.54471                        -0.53633                        -0.47772                        -0.47688                                -0.26151            
2000.0  -0.74109                -0.67996                        -0.69018                        -0.70096                        -0.72110                        -0.73560                        -0.74109                        -0.73616                        -0.71959                        -0.69378                        -0.66292                        -0.63376                        -0.63718                                -0.34026            
2001.0  -0.78165                -0.66375                        -0.68021                        -0.69476                        -0.72067                        -0.74220                        -0.76019                        -0.77591                        -0.78165                        -0.77141                        -0.74736                        -0.66242                        -0.73126                                -0.33435            
2002.0  -0.54343                -0.37054                        -0.37402                        -0.37532                        -0.38274                        -0.40647                        -0.43577                        -0.46465                        -0.48476                        -0.49101                        -0.48269                        -0.40536                        -0.46031                                -0.21661            
