year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -2.89452                -2.48599                        -2.63029                        -2.75091                        -2.89452                        -2.88001                        -2.78468                        -2.69460                        -2.63622                        -2.60352                        -2.58324                        -2.39304                        -2.88122                                -1.02629            
1980.0  -2.69938                -2.36398                        -2.47711                        -2.57276                        -2.69938                        -2.68286                        -2.60439                        -2.53359                        -2.47274                        -2.40487                        -2.32185                        -2.21250                        -2.69267                                -0.96105            
1981.0  -2.66075                -2.35293                        -2.46877                        -2.55829                        -2.66075                        -2.64724                        -2.58301                        -2.50494                        -2.42882                        -2.37002                        -2.29141                        -2.19563                        -2.66075                                -0.97885            
1982.0  -2.56018                -2.19247                        -2.33740                        -2.44824                        -2.56018                        -2.53342                        -2.43929                        -2.36384                        -2.33468                        -2.34406                        -2.32891                        -2.10811                        -2.55286                                -0.94347            
1983.0  -2.66584                -2.42126                        -2.52323                        -2.60093                        -2.66584                        -2.63674                        -2.54460                        -2.45980                        -2.40424                        -2.35339                        -2.29244                        -2.19754                        -2.60234                                -0.91700            
1984.0  -2.38634                -2.15082                        -2.26027                        -2.33193                        -2.38634                        -2.36956                        -2.32477                        -2.27522                        -2.23722                        -2.20022                        -2.12949                        -1.98788                        -2.32425                                -0.85748            
1985.0  -2.36334                -2.05616                        -2.16414                        -2.24509                        -2.34608                        -2.36334                        -2.33866                        -2.31877                        -2.31383                        -2.31961                        -2.29752                        -2.05456                        -2.34608                                -0.90408            
1986.0  -2.42503                -2.17333                        -2.27927                        -2.35101                        -2.42503                        -2.39551                        -2.34542                        -2.33495                        -2.36812                        -2.38515                        -2.33597                        -2.08186                        -2.42041                                -0.93099            
1987.0  -2.51977                -2.25488                        -2.35610                        -2.42653                        -2.51977                        -2.49117                        -2.40506                        -2.33998                        -2.31483                        -2.31488                        -2.29945                        -2.12374                        -2.51977                                -0.91138            
1988.0  -2.59107                -2.24096                        -2.34789                        -2.43025                        -2.54597                        -2.59107                        -2.57883                        -2.54942                        -2.52309                        -2.49637                        -2.43545                        -2.21288                        -2.52488                                -1.00412            
1989.0  -2.56512                -2.17485                        -2.32555                        -2.43988                        -2.56158                        -2.56512                        -2.51205                        -2.45017                        -2.39446                        -2.33823                        -2.26078                        -2.11742                        -2.54274                                -0.94873            
1990.0  -2.48856                -2.15443                        -2.27519                        -2.36810                        -2.47531                        -2.48856                        -2.45805                        -2.42315                        -2.37462                        -2.30846                        -2.23629                        -2.08670                        -2.47118                                -0.93078            
1991.0  -2.69188                -2.31194                        -2.44263                        -2.56414                        -2.69188                        -2.68958                        -2.62489                        -2.55526                        -2.49542                        -2.43935                        -2.36176                        -2.21322                        -2.67936                                -0.97280            
1992.0  -2.68304                -2.40179                        -2.51311                        -2.60087                        -2.68304                        -2.67426                        -2.61435                        -2.53688                        -2.44833                        -2.34955                        -2.25413                        -2.16986                        -2.61946                                -0.98548            
1993.0  -2.56687                -2.28074                        -2.39985                        -2.48718                        -2.56687                        -2.55761                        -2.48842                        -2.40442                        -2.32483                        -2.25587                        -2.17744                        -2.06941                        -2.54451                                -0.90082            
1994.0  -2.59721                -2.31302                        -2.42785                        -2.51186                        -2.59721                        -2.59145                        -2.52779                        -2.46050                        -2.39977                        -2.33894                        -2.28414                        -2.16591                        -2.59079                                -0.97964            
1995.0  -2.41832                -2.10635                        -2.21055                        -2.29013                        -2.38999                        -2.41832                        -2.39339                        -2.35608                        -2.32987                        -2.32393                        -2.32946                        -2.06878                        -2.38999                                -0.93840            
1996.0  -2.45553                -2.14582                        -2.24795                        -2.35227                        -2.45553                        -2.43605                        -2.36690                        -2.30552                        -2.25000                        -2.21941                        -2.25145                        -2.07079                        -2.44930                                -0.87110            
1997.0  -2.88771                -2.57979                        -2.70785                        -2.79674                        -2.88771                        -2.84595                        -2.74553                        -2.65600                        -2.59047                        -2.51298                        -2.41024                        -2.35420                        -2.88771                                -0.96420            
1998.0  -2.30529                -2.17464                        -2.24688                        -2.28956                        -2.30529                        -2.25012                        -2.17142                        -2.09546                        -2.01726                        -1.94254                        -1.89849                        -1.90942                        -2.21967                                -0.84153            
1999.0  -2.62353                -2.30758                        -2.43301                        -2.52245                        -2.62353                        -2.61156                        -2.54491                        -2.47438                        -2.40109                        -2.32907                        -2.27013                        -2.16027                        -2.62353                                -0.93332            
2000.0  -2.35299                -2.07014                        -2.17928                        -2.26241                        -2.35299                        -2.33903                        -2.28304                        -2.24035                        -2.20627                        -2.17210                        -2.13665                        -1.97441                        -2.35299                                -0.84866            
