year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -1.56839                -1.45395                        -1.50559                        -1.54241                        -1.56839                        -1.54481                        -1.50314                        -1.47086                        -1.45181                        -1.43671                        -1.41485                        -1.35939                        -1.56839                                -0.62527            
1980.0  -1.98569                -1.79278                        -1.87390                        -1.93085                        -1.98569                        -1.97745                        -1.93563                        -1.89476                        -1.85466                        -1.80256                        -1.71474                        -1.65218                        -1.98569                                -0.77531            
1981.0  -1.95508                -1.73796                        -1.82872                        -1.89288                        -1.95508                        -1.94684                        -1.90621                        -1.86732                        -1.82674                        -1.77705                        -1.70838                        -1.62135                        -1.90796                                -0.70062            
1982.0  -1.91176                -1.67638                        -1.76701                        -1.83583                        -1.90965                        -1.91176                        -1.88380                        -1.85693                        -1.82471                        -1.76990                        -1.68721                        -1.60277                        -1.85376                                -0.74687            
1983.0  -1.66122                -1.56307                        -1.60433                        -1.63368                        -1.66122                        -1.65411                        -1.63290                        -1.61876                        -1.60802                        -1.58386                        -1.53453                        -1.46201                        -1.65290                                -0.64751            
1984.0  -1.62987                -1.47078                        -1.53338                        -1.57828                        -1.62578                        -1.62987                        -1.60773                        -1.58600                        -1.57037                        -1.54237                        -1.48077                        -1.39635                        -1.60946                                -0.60257            
1985.0  -1.47217                -1.40650                        -1.44293                        -1.46598                        -1.47217                        -1.43418                        -1.38333                        -1.34911                        -1.33655                        -1.33560                        -1.32097                        -1.25338                        -1.46521                                -0.55932            
1986.0  -1.56163                -1.40138                        -1.46634                        -1.51887                        -1.56163                        -1.53527                        -1.49261                        -1.47528                        -1.47717                        -1.47976                        -1.46676                        -1.35072                        -1.49655                                -0.64173            
1987.0  -1.65383                -1.49789                        -1.56127                        -1.60811                        -1.65383                        -1.64045                        -1.59142                        -1.53713                        -1.48627                        -1.44038                        -1.38389                        -1.35491                        -1.64552                                -0.61904            
1988.0  -1.56785                -1.45592                        -1.50496                        -1.54076                        -1.56785                        -1.54784                        -1.51604                        -1.50049                        -1.50120                        -1.48972                        -1.43809                        -1.34868                        -1.54488                                -0.60722            
1989.0  -1.68952                -1.55088                        -1.61244                        -1.65407                        -1.68952                        -1.67242                        -1.63134                        -1.59345                        -1.54477                        -1.48095                        -1.40380                        -1.38870                        -1.68952                                -0.63284            
1990.0  -1.88169                -1.70498                        -1.77549                        -1.82820                        -1.88169                        -1.87503                        -1.83522                        -1.78705                        -1.73159                        -1.66135                        -1.56231                        -1.53235                        -1.88169                                -0.71359            
1991.0  -1.85631                -1.63995                        -1.72166                        -1.78450                        -1.85365                        -1.85631                        -1.82330                        -1.79161                        -1.76100                        -1.71180                        -1.63609                        -1.56890                        -1.82774                                -0.66934            
