year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979.0  -1.43964                -1.27201                        -1.33214                        -1.37773                        -1.42754                        -1.43964                        -1.43122                        -1.41355                        -1.38076                        -1.32682                        -1.25293                        -1.22309                        -1.43122                                -0.57816            
1980.0  -1.55434                -1.38992                        -1.42814                        -1.46566                        -1.51156                        -1.53766                        -1.55434                        -1.55349                        -1.51831                        -1.44895                        -1.34878                        -1.30772                        -1.53647                                -0.63267            
1981.0  -1.37664                -1.22243                        -1.27219                        -1.31101                        -1.35680                        -1.37186                        -1.37664                        -1.36751                        -1.34353                        -1.30848                        -1.25665                        -1.18018                        -1.37664                                -0.57130            
1982.0  -1.37963                -1.25132                        -1.29441                        -1.32190                        -1.34452                        -1.34604                        -1.35665                        -1.37600                        -1.37963                        -1.36569                        -1.33840                        -1.22158                        -1.34638                                -0.56819            
1983.0  -1.36681                -1.23038                        -1.27198                        -1.30251                        -1.33692                        -1.34929                        -1.35932                        -1.36681                        -1.35005                        -1.30406                        -1.23931                        -1.18087                        -1.34071                                -0.57071            
1984.0  -1.24334                -1.16839                        -1.20392                        -1.22687                        -1.24334                        -1.23262                        -1.21652                        -1.20412                        -1.18602                        -1.16006                        -1.12433                        -1.09221                        -1.18299                                -0.55079            
1985.0  -1.10851                -1.05934                        -1.08888                        -1.10494                        -1.10851                        -1.09774                        -1.08855                        -1.07635                        -1.04245                        -0.99527                        -0.96170                        -0.98365                        -1.08591                                -0.47012            
1986.0  -1.46025                -1.31949                        -1.36845                        -1.40089                        -1.43370                        -1.44222                        -1.44976                        -1.46025                        -1.45504                        -1.42258                        -1.36473                        -1.25854                        -1.44976                                -0.57519            
1987.0  -1.54084                -1.34179                        -1.40659                        -1.45605                        -1.51145                        -1.52855                        -1.53610                        -1.54084                        -1.53025                        -1.48800                        -1.41994                        -1.32016                        -1.53610                                -0.62034            
1988.0  -1.23676                -1.15187                        -1.11404                        -1.12961                        -1.17676                        -1.20321                        -1.22427                        -1.23676                        -1.22548                        -1.19432                        -1.16457                        -1.12676                        -1.21303                                -0.57262            
1989.0  -1.50804                -1.34718                        -1.37274                        -1.41880                        -1.48054                        -1.50756                        -1.50804                        -1.48237                        -1.42787                        -1.36118                        -1.29106                        -1.27783                        -1.50804                                -0.59867            
1990.0  -1.54541                -1.43844                        -1.45288                        -1.48885                        -1.52472                        -1.53594                        -1.54541                        -1.54143                        -1.50178                        -1.43078                        -1.35296                        -1.32411                        -1.54541                                -0.62662            
1991.0  -1.40357                -1.33296                        -1.35594                        -1.36541                        -1.37830                        -1.39302                        -1.40357                        -1.40024                        -1.37498                        -1.33721                        -1.28698                        -1.21661                        -1.40010                                -0.58457            
1992.0  -1.36857                -1.26399                        -1.30350                        -1.33166                        -1.36241                        -1.36857                        -1.36601                        -1.35616                        -1.32931                        -1.29122                        -1.25413                        -1.20413                        -1.32002                                -0.55277            
1993.0  -1.49512                -1.29212                        -1.35358                        -1.40015                        -1.45788                        -1.48284                        -1.49512                        -1.49264                        -1.46332                        -1.42091                        -1.36557                        -1.26096                        -1.49512                                -0.59980            
1994.0  -1.45012                -1.26293                        -1.31328                        -1.35296                        -1.39739                        -1.42728                        -1.45012                        -1.44956                        -1.41221                        -1.35521                        -1.30804                        -1.24276                        -1.44613                                -0.56694            
1995.0  -1.21271                -1.21271                        -1.20498                        -1.18170                        -1.11366                        -1.13491                        -1.16349                        -1.18187                        -1.17860                        -1.15269                        -1.10420                        -1.05838                        -1.15741                                -0.52390            
1996.0  -1.10713                -1.08235                        -1.08528                        -1.08678                        -1.09307                        -1.09823                        -1.10440                        -1.10713                        -1.07973                        -1.02994                        -0.97282                        -0.96526                        -1.06929                                -0.49885            
1997.0  -1.42373                -1.37494                        -1.40714                        -1.42339                        -1.42373                        -1.39710                        -1.36732                        -1.34642                        -1.31767                        -1.28204                        -1.25845                        -1.23286                        -1.34784                                -0.58496            
1998.0  -1.21559                -1.18690                        -1.16910                        -1.17520                        -1.17896                        -1.17399                        -1.18403                        -1.20669                        -1.21559                        -1.19428                        -1.15152                        -1.08303                        -1.18360                                -0.55652            
1999.0  -1.39724                -1.26370                        -1.26986                        -1.31534                        -1.36675                        -1.38651                        -1.39724                        -1.39671                        -1.36993                        -1.32224                        -1.26850                        -1.18421                        -1.39651                                -0.56786            
2000.0  -1.38709                -1.21384                        -1.26674                        -1.30821                        -1.36373                        -1.38562                        -1.38709                        -1.37301                        -1.33338                        -1.28115                        -1.23553                        -1.18858                        -1.38709                                -0.57094            
2001.0  -1.09567                -1.09084                        -1.08528                        -1.07499                        -1.07290                        -1.06401                        -1.05785                        -1.05575                        -1.04041                        -1.02321                        -1.01853                        -0.97320                        -1.04806                                -0.46834            
2002.0  -1.43049                -1.24754                        -1.30325                        -1.35023                        -1.41217                        -1.43049                        -1.42719                        -1.40761                        -1.36437                        -1.30547                        -1.24827                        -1.18167                        -1.42163                                -0.59972            
2003.0  -1.34567                -1.27492                        -1.30712                        -1.32306                        -1.32508                        -1.31654                        -1.32612                        -1.34508                        -1.34567                        -1.31862                        -1.28040                        -1.19668                        -1.31989                                -0.54957            
2004.0  -1.39035                -1.30173                        -1.35172                        -1.38177                        -1.39035                        -1.35144                        -1.31256                        -1.29260                        -1.25796                        -1.21540                        -1.18841                        -1.16462                        -1.31256                                -0.57144            
2005.0  -1.43251                -1.34617                        -1.36550                        -1.38934                        -1.41278                        -1.42196                        -1.43251                        -1.43212                        -1.39570                        -1.33443                        -1.28460                        -1.24216                        -1.42380                                -0.55648            
2006.0  -1.66212                -1.52680                        -1.58812                        -1.63462                        -1.66212                        -1.61060                        -1.51278                        -1.40249                        -1.29193                        -1.19757                        -1.14401                        -1.27437                        -1.43204                                -0.62745            
2007.0  -1.37502                -1.34210                        -1.35894                        -1.36412                        -1.35366                        -1.36545                        -1.37502                        -1.36686                        -1.32652                        -1.28586                        -1.27677                        -1.21965                        -1.34103                                -0.57379            
2008.0  -1.66543                -1.43203                        -1.49247                        -1.54065                        -1.60419                        -1.63734                        -1.65894                        -1.66543                        -1.63627                        -1.58176                        -1.52383                        -1.40548                        -1.65497                                -0.66632            
2009.0  -1.29998                -1.11947                        -1.14696                        -1.18065                        -1.23283                        -1.26853                        -1.29136                        -1.29998                        -1.27437                        -1.21863                        -1.17089                        -1.11085                        -1.27242                                -0.53928            
2010.0  -1.36052                -1.35868                        -1.36052                        -1.34508                        -1.27399                        -1.15593                        -1.04463                        -1.00049                        -1.00106                        -0.99207                        -0.98988                        -1.05958                        -0.94392                                -0.52660            
2011.0  -1.41138                -1.35883                        -1.39250                        -1.41138                        -1.38738                        -1.33697                        -1.30349                        -1.28669                        -1.27352                        -1.25395                        -1.24601                        -1.20727                        -1.29146                                -0.55634            
2012.0  -1.42475                -1.27606                        -1.32394                        -1.35775                        -1.39820                        -1.41751                        -1.42475                        -1.42127                        -1.39549                        -1.35189                        -1.31957                        -1.23780                        -1.42475                                -0.59572            
2013.0  -1.38813                -1.31391                        -1.34816                        -1.37535                        -1.38813                        -1.37737                        -1.33490                        -1.30406                        -1.29405                        -1.27575                        -1.25448                        -1.20749                        -1.31068                                -0.60028            
2014.0  -1.65410                -1.50082                        -1.55017                        -1.59690                        -1.65410                        -1.65109                        -1.60367                        -1.55560                        -1.51072                        -1.46126                        -1.42195                        -1.38039                        -1.54761                                -0.65159            
2015.0  -1.89108                -1.63608                        -1.71402                        -1.77742                        -1.86317                        -1.89108                        -1.86217                        -1.78851                        -1.68780                        -1.60239                        -1.56648                        -1.54772                        -1.75705                                -0.72689            
2016.0  -1.51580                -1.50665                        -1.51580                        -1.50487                        -1.44415                        -1.34434                        -1.23974                        -1.21521                        -1.21540                        -1.21625                        -1.23672                        -1.23898                        -1.21236                                -0.58729            
2017.0  -1.43188                -1.42516                        -1.43188                        -1.42405                        -1.37973                        -1.35100                        -1.32022                        -1.28355                        -1.23224                        -1.17730                        -1.13338                        -1.18398                        -1.27648                                -0.59794            
2018.0  -1.34227                -1.30568                        -1.32865                        -1.34028                        -1.34227                        -1.30921                        -1.24375                        -1.18674                        -1.15176                        -1.13676                        -1.14718                        -1.13482                        -1.21097                                -0.53071            
