year    pressure level [hPa]
1979.0  350                 
1980.0  350                 
1981.0  400                 
1982.0  650                 
1983.0  350                 
1984.0  650                 
1985.0  650                 
1986.0  700                 
1987.0  700                 
1988.0  650                 
1989.0  350                 
1990.0  650                 
1991.0  600                 
1992.0  350                 
1993.0  650                 
1994.0  350                 
1995.0  350                 
1996.0  350                 
1997.0  650                 
1998.0  700                 
1999.0  700                 
2000.0  700                 
2001.0  700                 
2002.0  700                 
2003.0  700                 
2004.0  700                 
2005.0  700                 
2006.0  700                 
2007.0  700                 
2008.0  650                 
2009.0  700                 
2010.0  700                 
2011.0  700                 
2012.0  700                 
2013.0  700                 
2014.0  350                 
2015.0  700                 
2016.0  550                 
2017.0  350                 
2018.0  350                 
