year    pressure level [hPa]
1979.0  550                 
1980.0  500                 
1981.0  500                 
1982.0  600                 
1983.0  550                 
1984.0  550                 
1985.0  550                 
1986.0  400                 
1987.0  550                 
1988.0  550                 
1989.0  550                 
1990.0  550                 
1991.0  550                 
1992.0  550                 
1993.0  650                 
1994.0  550                 
1995.0  500                 
1996.0  550                 
1997.0  500                 
1998.0  500                 
1999.0  550                 
2000.0  600                 
2001.0  650                 
2002.0  600                 
2003.0  650                 
2004.0  700                 
2005.0  700                 
2006.0  650                 
2007.0  650                 
2008.0  650                 
2009.0  600                 
2010.0  650                 
2011.0  600                 
2012.0  550                 
2013.0  650                 
2014.0  600                 
2015.0  650                 
2016.0  650                 
2017.0  650                 
2018.0  650                 
