year    pressure level [hPa]
1979.0  750                 
1980.0  750                 
1981.0  750                 
1982.0  750                 
1983.0  750                 
1984.0  750                 
1985.0  700                 
1986.0  750                 
1987.0  700                 
1988.0  700                 
1989.0  750                 
1990.0  750                 
1991.0  700                 
1992.0  700                 
1993.0  700                 
1994.0  700                 
1995.0  700                 
1996.0  750                 
1997.0  750                 
1998.0  750                 
1999.0  750                 
2000.0  750                 
2001.0  750                 
2002.0  700                 
2003.0  700                 
2004.0  750                 
2005.0  750                 
2006.0  750                 
2007.0  750                 
2008.0  700                 
2009.0  750                 
2010.0  700                 
2011.0  750                 
2012.0  700                 
2013.0  700                 
2014.0  700                 
2015.0  700                 
2016.0  700                 
2017.0  700                 
2018.0  700                 
