year    pressure level [hPa]
1979.0  700                 
1980.0  700                 
1981.0  700                 
1982.0  700                 
1983.0  700                 
1984.0  700                 
1985.0  700                 
1986.0  700                 
1987.0  700                 
1988.0  700                 
1989.0  700                 
1990.0  700                 
1991.0  700                 
1992.0  700                 
1993.0  700                 
1994.0  700                 
1995.0  700                 
1996.0  750                 
1997.0  750                 
1998.0  775                 
1999.0  700                 
2000.0  700                 
2001.0  700                 
2002.0  700                 
2003.0  750                 
2004.0  750                 
2005.0  750                 
2006.0  750                 
2007.0  750                 
2008.0  700                 
2009.0  750                 
2010.0  700                 
2011.0  750                 
2012.0  700                 
2013.0  750                 
2014.0  750                 
2015.0  750                 
2016.0  750                 
2017.0  750                 
2018.0  750                 
