year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    1.91111                 1.86030                         1.89618                         1.91111                         1.90070                         1.84951                         1.78286                         1.73268                         1.70486                         1.68803                         1.65712                         1.62151                         1.89203                                 0.63756             
1980    1.74184                 1.63685                         1.68116                         1.71195                         1.74184                         1.73491                         1.71903                         1.71185                         1.71465                         1.71779                         1.69424                         1.55209                         1.74184                                 0.64110             
1981    1.95946                 1.85318                         1.90531                         1.93718                         1.95946                         1.94307                         1.91235                         1.88360                         1.85489                         1.82388                         1.77146                         1.67790                         1.95946                                 0.74054             
1982    2.31559                 2.18780                         2.24729                         2.28107                         2.31559                         2.29546                         2.25036                         2.21194                         2.17378                         2.11240                         2.01924                         1.97405                         2.25251                                 0.79280             
1983    1.89010                 1.78797                         1.83406                         1.86333                         1.88847                         1.89010                         1.87083                         1.85985                         1.85073                         1.84192                         1.82113                         1.69495                         1.88847                                 0.62702             
1984    2.04895                 1.97897                         2.02514                         2.04779                         2.04895                         2.00566                         1.93859                         1.86837                         1.81083                         1.77356                         1.73802                         1.72380                         2.04398                                 0.70118             
1985    1.99078                 1.90205                         1.94916                         1.97673                         1.99078                         1.95891                         1.92024                         1.88451                         1.85703                         1.83419                         1.80066                         1.72101                         1.99078                                 0.68364             
1986    2.06433                 1.99137                         2.03862                         2.06289                         2.06433                         2.02568                         1.96621                         1.90796                         1.85733                         1.81554                         1.76925                         1.73361                         2.06433                                 0.71335             
1987    1.93530                 1.86899                         1.90928                         1.93227                         1.93530                         1.90161                         1.84994                         1.80610                         1.77250                         1.73773                         1.69200                         1.65054                         1.93530                                 0.71011             
1988    2.03958                 1.89688                         1.96138                         2.00433                         2.03958                         2.02081                         1.98165                         1.94048                         1.90663                         1.88070                         1.84094                         1.74506                         2.03958                                 0.71539             
