year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    2.05467                 1.91649                         1.96795                         2.00526                         2.05467                         2.03739                         2.01736                         2.00602                         1.98104                         1.94380                         1.92623                         1.81215                         2.04065                                 0.73873             
1980    2.04816                 1.82885                         1.86952                         1.89849                         1.94959                         1.96631                         1.95895                         1.97646                         2.00986                         2.04076                         2.04816                         1.83950                         1.94419                                 0.72858             
1981    2.06338                 1.92146                         1.97898                         2.01732                         2.06338                         2.05177                         2.02997                         2.02416                         2.03804                         2.05928                         2.05908                         1.85754                         2.06338                                 0.74602             
1982    2.13786                 2.02648                         2.08075                         2.11346                         2.13786                         2.13205                         2.11737                         2.12329                         2.12566                         2.10425                         2.07088                         1.94843                         2.13786                                 0.79112             
1983    2.99745                 2.73403                         2.85009                         2.92564                         2.99745                         2.97669                         2.88431                         2.78311                         2.69583                         2.61281                         2.51958                         2.47335                         2.70685                                 1.00174             
1984    2.18938                 2.08502                         2.13594                         2.16550                         2.18938                         2.17354                         2.14453                         2.12759                         2.12281                         2.11903                         2.09926                         1.96677                         2.15928                                 0.76855             
1985    2.04183                 1.86581                         1.92400                         1.96907                         2.02675                         2.03995                         2.03450                         2.03837                         2.04183                         2.03002                         2.01301                         1.82970                         2.02675                                 0.75487             
1986    2.27534                 2.17672                         2.23245                         2.26284                         2.27534                         2.24499                         2.19142                         2.16862                         2.15931                         2.14092                         2.10660                         1.99807                         2.27534                                 0.81813             
1987    2.54789                 2.34903                         2.43227                         2.49540                         2.54789                         2.54310                         2.49948                         2.45933                         2.41910                         2.36537                         2.30478                         2.19076                         2.54707                                 0.90455             
1988    2.35450                 2.22279                         2.28131                         2.31610                         2.35450                         2.33173                         2.28713                         2.25149                         2.22123                         2.17335                         2.08792                         2.00254                         2.35450                                 0.82538             
1989    2.18328                 2.06706                         2.12755                         2.16260                         2.18328                         2.14986                         2.09747                         2.05427                         2.02142                         1.98546                         1.94307                         1.86978                         2.15369                                 0.82084             
1990    2.28120                 2.15834                         2.22267                         2.25892                         2.28120                         2.26344                         2.22528                         2.18609                         2.12874                         2.04592                         1.95278                         1.92632                         2.24967                                 0.87157             
1991    2.33788                 2.16889                         2.23731                         2.27704                         2.32148                         2.33788                         2.32583                         2.31630                         2.28354                         2.22167                         2.15108                         2.04860                         2.32148                                 0.84340             
1992    2.26333                 2.15305                         2.21074                         2.24837                         2.26333                         2.21564                         2.14113                         2.06266                         1.98402                         1.91503                         1.86250                         1.86078                         2.22634                                 0.77237             
1993    2.16446                 2.09760                         2.14446                         2.16446                         2.15988                         2.11726                         2.03923                         1.96321                         1.90432                         1.88484                         1.88767                         1.84622                         2.15988                                 0.71625             
1994    2.24122                 2.11254                         2.17875                         2.21904                         2.24122                         2.21070                         2.16265                         2.12161                         2.07540                         2.00647                         1.91636                         1.88216                         2.22573                                 0.74744             
1995    2.45785                 2.29013                         2.35951                         2.40063                         2.45785                         2.45206                         2.43822                         2.42261                         2.39845                         2.37008                         2.33654                         2.15202                         2.42582                                 0.85256             
1996    1.95899                 1.86590                         1.90922                         1.93299                         1.95899                         1.95224                         1.93788                         1.92939                         1.92606                         1.93563                         1.94838                         1.78176                         1.93416                                 0.69836             
1997    2.05047                 1.65877                         1.68378                         1.70471                         1.74225                         1.77356                         1.80393                         1.85331                         1.91471                         1.98682                         2.05047                         1.72702                         1.74225                                 0.76048             
1998    2.60273                 2.30948                         2.39929                         2.46317                         2.56327                         2.60273                         2.57821                         2.52126                         2.45895                         2.39845                         2.34951                         2.20756                         2.35284                                 0.86851             
1999    2.16831                 2.07810                         2.12736                         2.15470                         2.16831                         2.15205                         2.13156                         2.13403                         2.12423                         2.07078                         1.97579                         1.89022                         2.12562                                 0.72684             
2000    2.12608                 1.99566                         2.05902                         2.09807                         2.12608                         2.11962                         2.09026                         2.06396                         2.03008                         1.99679                         1.97748                         1.84433                         2.08709                                 0.72370             
2001    2.15023                 2.07039                         2.11985                         2.14585                         2.15023                         2.10661                         2.05830                         2.02350                         2.00053                         1.99240                         1.97868                         1.85258                         2.13994                                 0.72491             
2002    2.27687                 2.19490                         2.24418                         2.26740                         2.27687                         2.25416                         2.23119                         2.23550                         2.22699                         2.17759                         2.09525                         1.99922                         2.27687                                 0.82687             
2003    2.45762                 2.29393                         2.35865                         2.40241                         2.45762                         2.45205                         2.41434                         2.36984                         2.31168                         2.24135                         2.16547                         2.08713                         2.43340                                 0.80470             
2004    2.11527                 1.91657                         1.95169                         1.97616                         1.98465                         1.96422                         1.94449                         1.95023                         1.98721                         2.04774                         2.10906                         1.83069                         1.96981                                 0.71631             
2005    2.20151                 2.14315                         2.18757                         2.20151                         2.17209                         2.10723                         2.02167                         1.97003                         1.95426                         1.97382                         1.98367                         1.86720                         2.17209                                 0.70998             
2006    2.33321                 2.24179                         2.29291                         2.31657                         2.33321                         2.30709                         2.26160                         2.20698                         2.15437                         2.09239                         2.02423                         1.97727                         2.31515                                 0.77059             
2007    2.80679                 2.71038                         2.78017                         2.80679                         2.77539                         2.67335                         2.53832                         2.41467                         2.30822                         2.19308                         2.07923                         2.18195                         2.77166                                 0.84398             
2008    2.33010                 2.19903                         2.26289                         2.30666                         2.33010                         2.28311                         2.19319                         2.10254                         2.03584                         2.00682                         2.02715                         1.95982                         2.30199                                 0.80922             
2009    2.38852                 2.24422                         2.30882                         2.35426                         2.38852                         2.36440                         2.32116                         2.27087                         2.21882                         2.15901                         2.09365                         2.04017                         2.36980                                 0.82039             
2010    2.65150                 2.44033                         2.51965                         2.58123                         2.64343                         2.65150                         2.60331                         2.53714                         2.46164                         2.38451                         2.32574                         2.24679                         2.64343                                 0.87044             
2011    2.12925                 2.03661                         2.09168                         2.12070                         2.12925                         2.09886                         2.07018                         2.06679                         2.06672                         2.04767                         2.02503                         1.90381                         2.05296                                 0.81950             
2012    2.32327                 2.13563                         2.21417                         2.26632                         2.32327                         2.31793                         2.29031                         2.26149                         2.23278                         2.22107                         2.25420                         2.06838                         2.32327                                 0.83883             
2013    2.45307                 2.35212                         2.41762                         2.45154                         2.45307                         2.40581                         2.31670                         2.23832                         2.18287                         2.15510                         2.14623                         2.07889                         2.45307                                 0.87052             
2014    2.31137                 2.21410                         2.27275                         2.30118                         2.31137                         2.28708                         2.23526                         2.17618                         2.12400                         2.09612                         2.09048                         2.00314                         2.31137                                 0.80250             
2015    2.37784                 2.25346                         2.32621                         2.36644                         2.37784                         2.33058                         2.24080                         2.16150                         2.09772                         2.06893                         2.08220                         1.99927                         2.37563                                 0.81773             
2016    2.66228                 2.42605                         2.52619                         2.59384                         2.66228                         2.63671                         2.54826                         2.44301                         2.33633                         2.23895                         2.18056                         2.17982                         2.58942                                 0.84901             
2017    2.20590                 2.12704                         2.17894                         2.20590                         2.19788                         2.13000                         2.04818                         1.98136                         1.92329                         1.88381                         1.87912                         1.85573                         2.11734                                 0.72543             
2018    2.15895                 2.05443                         2.11192                         2.14513                         2.15895                         2.11926                         2.05478                         1.98659                         1.92979                         1.87920                         1.84816                         1.82320                         2.03733                                 0.76726             
