year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.57383                 0.49968                         0.51616                         0.52475                         0.53488                         0.52783                         0.52686                         0.52657                         0.53550                         0.54926                         0.57165                         0.50406                         0.56514                                 0.27752             
1980    0.69740                 0.47037                         0.49558                         0.52316                         0.57658                         0.61924                         0.65140                         0.67475                         0.69057                         0.69740                         0.69545                         0.58398                         0.66813                                 0.31406             
1981    0.63559                 0.44451                         0.45826                         0.46895                         0.47847                         0.48384                         0.50342                         0.53836                         0.57073                         0.60542                         0.63154                         0.50892                         0.63559                                 0.28143             
1982    0.78172                 0.62788                         0.65170                         0.67258                         0.70436                         0.72189                         0.73848                         0.75823                         0.77461                         0.78172                         0.77268                         0.67821                         0.74563                                 0.35265             
1983    0.75362                 0.54485                         0.55101                         0.55111                         0.59393                         0.66367                         0.71100                         0.74278                         0.75362                         0.74496                         0.73258                         0.65394                         0.68938                                 0.32754             
1984    0.63162                 0.44560                         0.45546                         0.46130                         0.46560                         0.48520                         0.55070                         0.60399                         0.62702                         0.63162                         0.62809                         0.51386                         0.61660                                 0.27065             
1985    0.63687                 0.54597                         0.57564                         0.59968                         0.62811                         0.63431                         0.63572                         0.63687                         0.62580                         0.61731                         0.61181                         0.56980                         0.58563                                 0.29633             
1986    0.48346                 0.46369                         0.46968                         0.47038                         0.46082                         0.44439                         0.43457                         0.43586                         0.44760                         0.46158                         0.46188                         0.42713                         0.36587                                 0.24003             
1987    0.59176                 0.44940                         0.46409                         0.47685                         0.49497                         0.51425                         0.53482                         0.55209                         0.57692                         0.59176                         0.57804                         0.49730                         0.53173                                 0.27572             
1988    0.59664                 0.42763                         0.45487                         0.48081                         0.52070                         0.53930                         0.54830                         0.56429                         0.58561                         0.59664                         0.58549                         0.50142                         0.56646                                 0.26719             
1989    0.82232                 0.63930                         0.67067                         0.69516                         0.72524                         0.73801                         0.75643                         0.78849                         0.81520                         0.82232                         0.80758                         0.68895                         0.77232                                 0.34681             
1990    0.69970                 0.61563                         0.64348                         0.66477                         0.68814                         0.69490                         0.69970                         0.69827                         0.68438                         0.68378                         0.67258                         0.61573                         0.65041                                 0.34271             
1991    0.95804                 0.54789                         0.58515                         0.61844                         0.69691                         0.78886                         0.86104                         0.91467                         0.94749                         0.95804                         0.93294                         0.73992                         0.88138                                 0.37896             
1992    0.56109                 0.39611                         0.39731                         0.39661                         0.38565                         0.42447                         0.48568                         0.53552                         0.56109                         0.55702                         0.53599                         0.45901                         0.51063                                 0.23836             
1993    0.57850                 0.46152                         0.47767                         0.48736                         0.49360                         0.49992                         0.55351                         0.57850                         0.57434                         0.55663                         0.54127                         0.49726                         0.53745                                 0.26337             
1994    0.74189                 0.47470                         0.48039                         0.48877                         0.53057                         0.58501                         0.64267                         0.69987                         0.73365                         0.74189                         0.72321                         0.58290                         0.68695                                 0.31189             
