year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -2.89452                -2.29882                        -2.40980                        -2.49479                        -2.58345                        -2.55631                        -2.47818                        -2.41052                        -2.36517                        -2.32295                        -2.26682                        -2.14803                        -2.57116                                -0.94011            
1980    -2.69938                -2.27066                        -2.36135                        -2.42175                        -2.46717                        -2.44798                        -2.39385                        -2.34886                        -2.31443                        -2.26839                        -2.19186                        -2.08466                        -2.46717                                -0.90751            
1981    -2.66075                -2.00547                        -2.12079                        -2.20420                        -2.27158                        -2.23941                        -2.19523                        -2.17500                        -2.15999                        -2.12720                        -2.09272                        -1.94665                        -2.22256                                -0.86418            
1982    -2.56018                -2.04085                        -2.15696                        -2.23664                        -2.28560                        -2.22253                        -2.13166                        -2.08146                        -2.07277                        -2.07326                        -2.04963                        -1.89798                        -2.24012                                -0.85015            
1983    -2.66584                -2.08881                        -2.17511                        -2.23329                        -2.27717                        -2.24615                        -2.17469                        -2.12066                        -2.08676                        -2.04436                        -1.97833                        -1.90963                        -2.23099                                -0.76387            
1984    -2.38634                -1.99076                        -2.09019                        -2.15967                        -2.21903                        -2.20816                        -2.16421                        -2.11812                        -2.06519                        -2.00248                        -1.93346                        -1.86952                        -2.19033                                -0.83298            
1985    -2.36334                -1.82100                        -1.90332                        -1.96259                        -2.00097                        -1.96861                        -1.89570                        -1.84100                        -1.83385                        -1.87565                        -1.91550                        -1.74065                        -1.96919                                -0.77891            
1986    -2.42503                -2.05670                        -2.15606                        -2.22095                        -2.27122                        -2.21594                        -2.12651                        -2.06286                        -2.03536                        -2.04009                        -2.03667                        -1.89776                        -2.26952                                -0.82008            
1987    -2.51977                -2.03588                        -2.13243                        -2.20454                        -2.27090                        -2.25364                        -2.19554                        -2.14369                        -2.09481                        -2.04564                        -1.97624                        -1.88902                        -2.27090                                -0.84772            
1988    -2.59107                -1.97777                        -2.07272                        -2.13759                        -2.20174                        -2.20098                        -2.16897                        -2.12175                        -2.07193                        -2.03266                        -1.97025                        -1.84144                        -2.18758                                -0.83884            
1989    -2.56512                -1.86820                        -1.96042                        -2.02705                        -2.10819                        -2.09528                        -2.03722                        -1.98002                        -1.93082                        -1.89291                        -1.86655                        -1.77093                        -2.10093                                -0.82387            
1990    -2.48856                -2.03814                        -2.13700                        -2.20611                        -2.25566                        -2.20797                        -2.11649                        -2.03661                        -1.98598                        -1.95059                        -1.90932                        -1.84945                        -2.25357                                -0.83363            
1991    -2.69188                -1.86167                        -1.96764                        -2.04468                        -2.11383                        -2.09202                        -2.04477                        -2.02145                        -2.00251                        -1.96751                        -1.91501                        -1.77916                        -2.06645                                -0.77677            
1992    -2.68304                -2.08739                        -2.17868                        -2.23950                        -2.28540                        -2.24745                        -2.15811                        -2.06864                        -1.99901                        -1.94060                        -1.85819                        -1.85243                        -2.26036                                -0.79012            
1993    -2.56687                -2.10537                        -2.21036                        -2.28262                        -2.35278                        -2.32333                        -2.25101                        -2.18339                        -2.12524                        -2.05609                        -1.95661                        -1.87957                        -2.34174                                -0.81474            
1994    -2.59721                -2.04525                        -2.14170                        -2.20934                        -2.27420                        -2.26613                        -2.21429                        -2.14148                        -2.05192                        -1.95139                        -1.85308                        -1.84075                        -2.26313                                -0.82920            
1995    -2.41832                -1.92446                        -2.00747                        -2.06183                        -2.10629                        -2.06933                        -1.99443                        -1.92246                        -1.86339                        -1.82318                        -1.79645                        -1.73124                        -2.10629                                -0.78821            
1996    -2.45553                -1.98896                        -2.09117                        -2.16511                        -2.22974                        -2.19497                        -2.11724                        -2.04486                        -1.99084                        -1.96518                        -1.94854                        -1.81585                        -2.22604                                -0.78597            
1997    -2.88771                -1.93387                        -2.04893                        -2.13085                        -2.18911                        -2.12490                        -2.01278                        -1.93046                        -1.90132                        -1.92570                        -1.96646                        -1.83087                        -2.09681                                -0.77990            
1998    -2.30529                -1.93773                        -2.00017                        -2.03938                        -2.04913                        -1.99756                        -1.92466                        -1.85416                        -1.78272                        -1.69782                        -1.61090                        -1.67234                        -1.97318                                -0.74938            
