year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -0.62926                -0.51357                        -0.52586                        -0.54278                        -0.58074                        -0.60619                        -0.61959                        -0.62775                        -0.62926                        -0.62263                        -0.60505                        -0.54209                        -0.61964                                -0.28868            
1980    -0.86660                -0.67880                        -0.70186                        -0.72956                        -0.78488                        -0.82862                        -0.85449                        -0.86660                        -0.86250                        -0.84672                        -0.81943                        -0.73013                        -0.85615                                -0.36785            
1981    -0.63724                -0.49867                        -0.52521                        -0.55125                        -0.59405                        -0.61534                        -0.62115                        -0.62685                        -0.63344                        -0.63724                        -0.63307                        -0.55851                        -0.62596                                -0.26901            
1982    -0.80185                -0.71220                        -0.73835                        -0.75817                        -0.78471                        -0.79559                        -0.79967                        -0.80185                        -0.79975                        -0.79119                        -0.77304                        -0.70900                        -0.78046                                -0.36860            
1983    -0.94318                -0.81720                        -0.83117                        -0.84272                        -0.86823                        -0.88548                        -0.90010                        -0.92311                        -0.94249                        -0.94318                        -0.91879                        -0.83033                        -0.93455                                -0.39129            
1984    -0.87814                -0.63602                        -0.66160                        -0.68414                        -0.72504                        -0.75703                        -0.78469                        -0.82185                        -0.85984                        -0.87814                        -0.86756                        -0.71417                        -0.85984                                -0.34343            
1985    -0.66619                -0.56661                        -0.57941                        -0.59224                        -0.61827                        -0.63482                        -0.64341                        -0.65219                        -0.66146                        -0.66619                        -0.65606                        -0.58019                        -0.66146                                -0.27112            
1986    -0.85683                -0.70017                        -0.71312                        -0.72916                        -0.77255                        -0.80799                        -0.83093                        -0.84952                        -0.85683                        -0.84397                        -0.81021                        -0.71952                        -0.85683                                -0.36852            
1987    -0.75756                -0.58665                        -0.61438                        -0.63935                        -0.67928                        -0.70451                        -0.72237                        -0.74173                        -0.75662                        -0.75756                        -0.74458                        -0.65549                        -0.70533                                -0.30527            
1988    -0.68229                -0.68033                        -0.68229                        -0.68160                        -0.67984                        -0.67530                        -0.67385                        -0.67821                        -0.67971                        -0.67150                        -0.64856                        -0.61859                        -0.67113                                -0.31048            
