year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    1.83307                 1.77940                         1.81805                         1.83307                         1.81368                         1.75183                         1.68824                         1.63316                         1.59265                         1.56491                         1.56230                         1.53983                         1.83307                                 0.61333             
1980    1.69589                 1.62349                         1.66512                         1.68944                         1.69589                         1.66112                         1.61994                         1.60188                         1.60634                         1.62847                         1.63881                         1.50072                         1.68944                                 0.57428             
1981    1.88570                 1.79787                         1.84486                         1.87107                         1.88570                         1.86264                         1.82983                         1.79617                         1.75912                         1.72905                         1.70536                         1.61585                         1.87107                                 0.67010             
1982    2.18387                 2.09630                         2.14778                         2.17678                         2.18387                         2.15011                         2.09525                         2.04531                         2.00193                         1.95605                         1.90201                         1.87923                         2.16902                                 0.73009             
1983    1.87082                 1.78944                         1.83040                         1.85060                         1.87082                         1.85343                         1.83107                         1.81994                         1.80623                         1.79273                         1.76960                         1.64841                         1.84587                                 0.61765             
1984    1.97202                 1.91704                         1.95513                         1.97202                         1.96469                         1.91008                         1.83021                         1.75493                         1.70331                         1.68717                         1.67730                         1.65283                         1.97202                                 0.66842             
1985    1.94279                 1.87178                         1.91864                         1.94279                         1.94110                         1.89735                         1.83649                         1.79364                         1.75505                         1.73270                         1.70255                         1.64533                         1.94279                                 0.64547             
1986    2.05436                 1.98463                         2.02484                         2.04568                         2.05436                         2.01782                         1.95990                         1.89775                         1.82778                         1.77242                         1.72455                         1.70699                         2.04568                                 0.69087             
1987    1.97057                 1.93143                         1.96231                         1.97057                         1.96054                         1.90373                         1.82970                         1.76076                         1.70202                         1.66234                         1.65015                         1.65178                         1.97057                                 0.70612             
1988    2.05629                 1.94422                         2.00024                         2.03304                         2.05629                         2.03292                         1.98354                         1.92104                         1.87035                         1.85091                         1.84102                         1.75758                         2.03304                                 0.68358             
1989    1.96599                 1.74593                         1.79538                         1.82396                         1.85708                         1.86665                         1.85370                         1.87933                         1.90416                         1.92387                         1.95441                         1.72039                         1.79752                                 0.73998             
1990    1.92508                 1.86535                         1.90863                         1.92508                         1.91058                         1.86469                         1.80294                         1.74975                         1.70788                         1.67945                         1.65947                         1.61728                         1.89545                                 0.64897             
1991    2.04150                 1.92201                         1.97212                         2.00936                         2.04150                         2.01897                         1.95690                         1.88656                         1.82378                         1.77473                         1.74077                         1.72945                         1.99802                                 0.70707             
1992    1.95054                 1.90098                         1.93422                         1.95054                         1.94640                         1.90537                         1.86104                         1.81388                         1.77629                         1.75791                         1.76071                         1.69703                         1.95054                                 0.69014             
1993    2.12703                 2.06271                         2.10775                         2.12703                         2.11117                         2.04956                         1.95792                         1.86390                         1.78856                         1.71624                         1.65146                         1.70263                         2.11769                                 0.65206             
1994    2.16578                 2.09809                         2.14098                         2.16578                         2.15764                         2.10047                         2.03820                         1.98744                         1.93462                         1.88419                         1.82529                         1.79466                         2.15849                                 0.70869             
1995    1.78682                 1.75144                         1.78071                         1.78682                         1.74919                         1.67473                         1.60719                         1.54950                         1.50047                         1.48959                         1.50816                         1.48085                         1.78682                                 0.61255             
1996    1.74315                 1.72430                         1.74208                         1.74315                         1.72104                         1.67584                         1.61544                         1.55421                         1.51766                         1.50670                         1.50267                         1.48114                         1.72444                                 0.61931             
1997    2.43723                 2.19427                         2.27143                         2.33115                         2.41480                         2.43723                         2.40349                         2.36519                         2.31514                         2.24501                         2.16790                         2.02512                         2.26184                                 0.76578             
1998    2.20470                 2.09744                         2.15784                         2.19358                         2.20470                         2.15142                         2.06165                         1.96517                         1.87018                         1.78008                         1.71934                         1.77319                         2.17360                                 0.68490             
1999    2.02047                 1.96538                         2.00489                         2.02047                         1.99796                         1.91986                         1.81835                         1.74220                         1.68546                         1.63602                         1.59680                         1.62228                         2.00893                                 0.64374             
2000    2.05693                 1.99340                         2.03657                         2.05693                         2.04628                         1.97231                         1.87425                         1.80369                         1.75986                         1.73234                         1.72438                         1.69440                         2.05693                                 0.67263             
2001    2.19541                 2.08397                         2.14402                         2.17977                         2.19541                         2.14428                         2.06099                         1.98245                         1.91656                         1.85894                         1.78351                         1.77437                         2.17977                                 0.69330             
2002    2.28589                 2.17610                         2.23208                         2.26232                         2.28589                         2.25644                         2.20553                         2.15388                         2.10163                         2.03955                         1.98605                         1.91268                         2.26232                                 0.71068             
2003    2.18355                 2.09861                         2.15430                         2.18355                         2.18307                         2.12364                         2.03819                         1.95710                         1.88469                         1.81448                         1.76624                         1.78843                         2.18355                                 0.70233             
2004    1.92725                 1.87896                         1.91462                         1.92725                         1.89100                         1.79514                         1.69893                         1.63780                         1.58883                         1.54706                         1.52506                         1.55567                         1.92725                                 0.60446             
2005    2.07868                 1.99389                         2.05211                         2.07868                         2.06042                         1.97995                         1.87867                         1.79219                         1.73960                         1.71708                         1.68664                         1.66830                         2.04187                                 0.66188             
2006    2.32404                 2.21445                         2.27343                         2.30939                         2.32404                         2.27095                         2.19455                         2.14084                         2.09689                         2.04242                         1.96852                         1.91889                         2.29963                                 0.74197             
2007    2.13380                 2.05666                         2.10790                         2.13380                         2.13149                         2.07661                         2.01976                         1.97611                         1.93579                         1.87502                         1.80031                         1.78011                         2.13380                                 0.69221             
