year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    1.60697                 1.52959                         1.55981                         1.57609                         1.58303                         1.59381                         1.60697                         1.59768                         1.55768                         1.52262                         1.53217                         1.45778                         1.59756                                 0.56768             
1980    1.63501                 1.57719                         1.61324                         1.63168                         1.63501                         1.62340                         1.62630                         1.62279                         1.61171                         1.59490                         1.57055                         1.47007                         1.61352                                 0.61659             
1981    1.48764                 1.43354                         1.45240                         1.45575                         1.46227                         1.48453                         1.48764                         1.48584                         1.47171                         1.45517                         1.45662                         1.37343                         1.48764                                 0.60149             
1982    1.71673                 1.66272                         1.69875                         1.71653                         1.71673                         1.68094                         1.62855                         1.57928                         1.53374                         1.47692                         1.41657                         1.46380                         1.58104                                 0.59797             
1983    2.03523                 1.64305                         1.70929                         1.76662                         1.84564                         1.89398                         1.91311                         1.91688                         1.89388                         1.85735                         1.87312                         1.74786                         1.73723                                 0.72550             
1984    1.91683                 1.53942                         1.57926                         1.60437                         1.68050                         1.77051                         1.84119                         1.89501                         1.91683                         1.90740                         1.89711                         1.64507                         1.80614                                 0.66563             
1985    1.67213                 1.60317                         1.64993                         1.67213                         1.65834                         1.60110                         1.55328                         1.50102                         1.43804                         1.35175                         1.28688                         1.37382                         1.52084                                 0.60715             
1986    1.93162                 1.77653                         1.81918                         1.84665                         1.87015                         1.88707                         1.90594                         1.93162                         1.93078                         1.90492                         1.86604                         1.71580                         1.85638                                 0.65934             
1987    1.59223                 1.52221                         1.53696                         1.53736                         1.55771                         1.59180                         1.58422                         1.58469                         1.59223                         1.58360                         1.56423                         1.45231                         1.58422                                 0.56091             
1988    1.97597                 1.74841                         1.78473                         1.80260                         1.84639                         1.92106                         1.94591                         1.96734                         1.97597                         1.95961                         1.93298                         1.73092                         1.94023                                 0.70586             
1989    1.69540                 1.38625                         1.41823                         1.43440                         1.44349                         1.51721                         1.54910                         1.57999                         1.58043                         1.56747                         1.59491                         1.43594                         1.54910                                 0.59994             
1990    1.92402                 1.88885                         1.91626                         1.92402                         1.91150                         1.86075                         1.80176                         1.74041                         1.68786                         1.65241                         1.62717                         1.64285                         1.80176                                 0.67594             
1991    1.68219                 1.64268                         1.67196                         1.68219                         1.67106                         1.64966                         1.62544                         1.58193                         1.52590                         1.47873                         1.45489                         1.45442                         1.51463                                 0.55196             
1992    1.84766                 1.76957                         1.79069                         1.79148                         1.83321                         1.84766                         1.80868                         1.74917                         1.67258                         1.61346                         1.61789                         1.59809                         1.79811                                 0.64948             
1993    1.83257                 1.64947                         1.68411                         1.70468                         1.72704                         1.76892                         1.80357                         1.82618                         1.83257                         1.82992                         1.82260                         1.61892                         1.78253                                 0.62333             
