year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    1.39825                 1.30890                         1.34890                         1.37341                         1.39825                         1.38304                         1.35240                         1.31791                         1.28242                         1.24616                         1.21319                         1.18540                         1.39825                                 0.52392             
1980    1.35167                 1.29215                         1.32960                         1.34961                         1.35167                         1.32118                         1.27946                         1.24430                         1.22046                         1.20401                         1.18155                         1.14147                         1.35167                                 0.43791             
1981    1.42800                 1.35512                         1.39081                         1.41276                         1.42800                         1.41701                         1.39345                         1.36770                         1.33552                         1.29883                         1.26290                         1.21383                         1.39757                                 0.46379             
1982    1.45142                 1.41854                         1.44230                         1.45142                         1.44356                         1.41034                         1.36288                         1.31119                         1.25957                         1.22035                         1.19620                         1.21164                         1.44356                                 0.49771             
1983    1.19947                 1.18427                         1.19947                         1.19474                         1.15413                         1.10126                         1.05428                         1.02191                         1.00356                         1.00505                         1.02153                         0.99680                         1.15413                                 0.37520             
1984    1.41766                 1.37311                         1.40200                         1.41579                         1.41766                         1.39630                         1.36132                         1.33441                         1.30968                         1.28695                         1.26365                         1.23189                         1.41766                                 0.45030             
1985    1.18617                 1.13989                         1.16833                         1.18313                         1.18617                         1.16191                         1.12586                         1.10120                         1.09200                         1.09575                         1.10943                         1.04386                         1.18617                                 0.41290             
1986    1.56503                 1.47407                         1.52150                         1.55137                         1.56503                         1.52888                         1.46772                         1.40879                         1.36672                         1.34487                         1.32432                         1.29449                         1.56503                                 0.52118             
1987    1.36453                 1.32730                         1.35437                         1.36453                         1.34855                         1.30708                         1.26282                         1.22485                         1.18407                         1.14138                         1.09894                         1.11707                         1.33293                                 0.45974             
1988    1.46114                 1.38495                         1.42956                         1.45372                         1.46114                         1.43101                         1.39286                         1.35934                         1.33133                         1.31334                         1.29210                         1.24889                         1.45372                                 0.48761             
