year    psi^max [10^11 kg/s]    psi^max(800 hPa) [10^11 kg/s]   psi^max(775 hPa) [10^11 kg/s]   psi^max(750 hPa) [10^11 kg/s]   psi^max(700 hPa) [10^11 kg/s]   psi^max(650 hPa) [10^11 kg/s]   psi^max(600 hPa) [10^11 kg/s]   psi^max(550 hPa) [10^11 kg/s]   psi^max(500 hPa) [10^11 kg/s]   psi^max(450 hPa) [10^11 kg/s]   psi^max(400 hPa) [10^11 kg/s]   <psi^max>_p [10^11 kg/s]        psi(phi^max, p^max) [10^11 kg/s]        psi_NHC [10^11 kg/s]
1979    0.62716                 0.47448                         0.50387                         0.52756                         0.55964                         0.57893                         0.59924                         0.61739                         0.62716                         0.62586                         0.60873                         0.50696                         0.55200                                 0.24203             
1980    0.81816                 0.69982                         0.72954                         0.75180                         0.78063                         0.79539                         0.80796                         0.81816                         0.81108                         0.78566                         0.75603                         0.68523                         0.78063                                 0.27061             
1981    0.63093                 0.53552                         0.55503                         0.56971                         0.58932                         0.60233                         0.61740                         0.63093                         0.62851                         0.60396                         0.56326                         0.51032                         0.58932                                 0.23443             
1982    0.61462                 0.57329                         0.59285                         0.60515                         0.61462                         0.61013                         0.60040                         0.59825                         0.60060                         0.59525                         0.57683                         0.53215                         0.60408                                 0.22502             
1983    0.52932                 0.50701                         0.52076                         0.52731                         0.52932                         0.51742                         0.49760                         0.48410                         0.47853                         0.46892                         0.45352                         0.43656                         0.52932                                 0.19888             
1984    0.52015                 0.46381                         0.48638                         0.50065                         0.51142                         0.51293                         0.51401                         0.52015                         0.51976                         0.50772                         0.48052                         0.43877                         0.50753                                 0.21338             
1985    0.64231                 0.57458                         0.59112                         0.60077                         0.61280                         0.61730                         0.62145                         0.63363                         0.64231                         0.63830                         0.62237                         0.55371                         0.60547                                 0.25024             
1986    0.60264                 0.57896                         0.59515                         0.60263                         0.60264                         0.58525                         0.55415                         0.53151                         0.51398                         0.49448                         0.46884                         0.47985                         0.60264                                 0.20012             
1987    0.66939                 0.52280                         0.54865                         0.56852                         0.61220                         0.64990                         0.66748                         0.66939                         0.65573                         0.63324                         0.60926                         0.54265                         0.56708                                 0.26027             
1988    0.62980                 0.55110                         0.57400                         0.59262                         0.61932                         0.62980                         0.62771                         0.62410                         0.62760                         0.62756                         0.61859                         0.55296                         0.61932                                 0.27021             
1989    0.67814                 0.56015                         0.58534                         0.60547                         0.63295                         0.64425                         0.64917                         0.66294                         0.67814                         0.67103                         0.64101                         0.56405                         0.63295                                 0.23479             
1990    0.67104                 0.59004                         0.62192                         0.64567                         0.67104                         0.67007                         0.65623                         0.64718                         0.64136                         0.62393                         0.59405                         0.55447                         0.67104                                 0.24460             
