year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -0.49115                -0.47383                        -0.46562                        -0.45430                        -0.42622                        -0.39395                        -0.36649                        -0.34876                        -0.33576                        -0.32953                        -0.32061                        -0.34548                        -0.44453                                -0.21090            
1980    -0.48353                -0.46726                        -0.44970                        -0.42964                        -0.39369                        -0.36501                        -0.33608                        -0.31161                        -0.29443                        -0.29026                        -0.28233                        -0.33192                        -0.46489                                -0.19023            
1981    -0.58937                -0.58171                        -0.56845                        -0.55296                        -0.53066                        -0.50693                        -0.47997                        -0.45834                        -0.45987                        -0.47483                        -0.48759                        -0.48526                        -0.58937                                -0.25285            
1982    -0.58487                -0.58460                        -0.58487                        -0.58057                        -0.56549                        -0.54450                        -0.51537                        -0.47895                        -0.44590                        -0.43121                        -0.41533                        -0.46812                        -0.57775                                -0.27440            
1983    -0.48197                -0.47994                        -0.48197                        -0.48042                        -0.47112                        -0.45732                        -0.44030                        -0.41534                        -0.38955                        -0.36573                        -0.35558                        -0.39818                        -0.46414                                -0.19879            
1984    -0.61758                -0.45263                        -0.45282                        -0.44759                        -0.43899                        -0.43086                        -0.42236                        -0.41629                        -0.42018                        -0.43673                        -0.45670                        -0.41760                        -0.38399                                -0.21460            
1985    -0.69139                -0.35903                        -0.36357                        -0.36635                        -0.37135                        -0.37351                        -0.36660                        -0.34761                        -0.32529                        -0.31027                        -0.29786                        -0.31122                        -0.32762                                -0.16609            
1986    -0.60912                -0.57638                        -0.56572                        -0.54982                        -0.51502                        -0.48216                        -0.45250                        -0.43066                        -0.42211                        -0.42839                        -0.44110                        -0.46188                        -0.53698                                -0.24333            
1987    -0.58690                -0.57210                        -0.57296                        -0.57100                        -0.56367                        -0.55091                        -0.53046                        -0.50937                        -0.49523                        -0.48815                        -0.48823                        -0.49461                        -0.56656                                -0.25323            
1988    -0.65488                -0.42768                        -0.41950                        -0.41249                        -0.40741                        -0.40244                        -0.39314                        -0.37884                        -0.36847                        -0.36966                        -0.36975                        -0.35842                        -0.39611                                -0.19523            
1989    -0.57468                -0.49268                        -0.48505                        -0.47452                        -0.45081                        -0.43118                        -0.42138                        -0.42708                        -0.43679                        -0.44504                        -0.45540                        -0.43399                        -0.43172                                -0.21615            
1990    -0.57351                -0.48691                        -0.48278                        -0.47482                        -0.45630                        -0.44096                        -0.43410                        -0.43556                        -0.43810                        -0.43918                        -0.44399                        -0.42666                        -0.47362                                -0.20887            
1991    -0.62597                -0.28820                        -0.27069                        -0.25601                        -0.22244                        -0.19039                        -0.17671                        -0.17261                        -0.17006                        -0.18316                        -0.19610                        -0.23646                        -0.28905                                -0.13417            
1992    -0.42182                -0.41469                        -0.41004                        -0.40701                        -0.40022                        -0.39014                        -0.37558                        -0.36554                        -0.36917                        -0.38108                        -0.39289                        -0.38220                        -0.42182                                -0.19026            
1993    -0.67778                -0.61197                        -0.61054                        -0.60781                        -0.60045                        -0.59065                        -0.58128                        -0.57335                        -0.56636                        -0.55963                        -0.55432                        -0.55346                        -0.58818                                -0.26557            
1994    -0.49410                -0.48619                        -0.47755                        -0.46704                        -0.44893                        -0.43155                        -0.42233                        -0.40867                        -0.39803                        -0.40187                        -0.41710                        -0.42726                        -0.47853                                -0.23372            
1995    -0.41832                -0.24852                        -0.23168                        -0.21591                        -0.19822                        -0.20110                        -0.20481                        -0.20245                        -0.19356                        -0.18487                        -0.17385                        -0.19994                        -0.23762                                -0.10904            
1996    -0.49814                -0.42986                        -0.41990                        -0.41078                        -0.39737                        -0.37681                        -0.35522                        -0.34114                        -0.34056                        -0.36375                        -0.39578                        -0.37898                        -0.43559                                -0.18759            
1997    -0.68283                -0.68283                        -0.68220                        -0.67891                        -0.67012                        -0.66443                        -0.64701                        -0.62164                        -0.60023                        -0.58582                        -0.58046                        -0.58456                        -0.68074                                -0.31143            
1998    -0.68231                -0.37784                        -0.36351                        -0.34781                        -0.32196                        -0.30988                        -0.30685                        -0.31045                        -0.31752                        -0.33182                        -0.35423                        -0.32843                        -0.38890                                -0.17724            
1999    -0.68256                -0.38151                        -0.36510                        -0.34664                        -0.31285                        -0.29133                        -0.28515                        -0.29309                        -0.30222                        -0.30225                        -0.29029                        -0.29071                        -0.38341                                -0.16667            
2000    -0.55206                -0.36020                        -0.34853                        -0.33442                        -0.31877                        -0.31656                        -0.31839                        -0.32078                        -0.32245                        -0.32309                        -0.33125                        -0.30746                        -0.31636                                -0.16011            
2001    -0.40950                -0.36884                        -0.35941                        -0.34484                        -0.31329                        -0.28842                        -0.27902                        -0.29823                        -0.32490                        -0.34606                        -0.36392                        -0.32331                        -0.36957                                -0.17364            
2002    -0.53430                -0.47807                        -0.48767                        -0.49405                        -0.50383                        -0.51362                        -0.52169                        -0.52973                        -0.53430                        -0.53251                        -0.53309                        -0.48458                        -0.45145                                -0.24502            
2003    -0.53661                -0.53661                        -0.52921                        -0.51928                        -0.49020                        -0.45736                        -0.42513                        -0.39790                        -0.37942                        -0.37515                        -0.37337                        -0.40275                        -0.53603                                -0.23170            
2004    -0.52147                -0.48519                        -0.48422                        -0.47840                        -0.46231                        -0.44646                        -0.43338                        -0.42872                        -0.43901                        -0.46339                        -0.49028                        -0.44204                        -0.47267                                -0.23568            
2005    -0.55278                -0.43761                        -0.43172                        -0.42271                        -0.39909                        -0.38786                        -0.39576                        -0.41368                        -0.42966                        -0.44219                        -0.45931                        -0.40378                        -0.41874                                -0.20770            
2006    -0.61487                -0.58716                        -0.57460                        -0.55986                        -0.53432                        -0.51829                        -0.50904                        -0.50077                        -0.49926                        -0.50849                        -0.51419                        -0.50214                        -0.59661                                -0.27100            
2007    -0.51017                -0.46305                        -0.45144                        -0.43979                        -0.43238                        -0.42929                        -0.42811                        -0.43016                        -0.43810                        -0.45130                        -0.45878                        -0.40893                        -0.44515                                -0.21224            
2008    -0.50372                -0.27563                        -0.26581                        -0.26775                        -0.28860                        -0.31858                        -0.34011                        -0.35293                        -0.35724                        -0.35318                        -0.36251                        -0.31952                        -0.26313                                -0.17082            
2009    -0.50613                -0.50288                        -0.49644                        -0.48579                        -0.46211                        -0.44052                        -0.42252                        -0.40979                        -0.40627                        -0.41444                        -0.42303                        -0.41437                        -0.50613                                -0.21044            
2010    -0.50521                -0.31103                        -0.31023                        -0.30855                        -0.30753                        -0.31326                        -0.32626                        -0.34992                        -0.38174                        -0.41027                        -0.43405                        -0.36422                        -0.31140                                -0.18009            
2011    -0.68229                -0.33255                        -0.31857                        -0.30535                        -0.28638                        -0.27397                        -0.27203                        -0.26887                        -0.27847                        -0.30118                        -0.32704                        -0.30169                        -0.28672                                -0.17552            
