year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -0.63356                -0.59352                        -0.59114                        -0.58746                        -0.58031                        -0.57490                        -0.57505                        -0.58380                        -0.60124                        -0.62313                        -0.63356                        -0.55714                        -0.63356                                -0.26622            
1980    -0.52649                -0.52284                        -0.51486                        -0.50470                        -0.48551                        -0.46760                        -0.45006                        -0.43594                        -0.43057                        -0.43276                        -0.44337                        -0.44873                        -0.44337                                -0.22943            
1981    -0.65611                -0.63013                        -0.63791                        -0.64771                        -0.65611                        -0.64804                        -0.63465                        -0.62183                        -0.60819                        -0.59663                        -0.58720                        -0.57703                        -0.58720                                -0.30973            
1982    -0.65675                -0.63881                        -0.64760                        -0.65015                        -0.64480                        -0.64888                        -0.65675                        -0.65458                        -0.64270                        -0.63575                        -0.63820                        -0.59760                        -0.63820                                -0.31056            
1983    -0.72978                -0.70029                        -0.70740                        -0.71326                        -0.72141                        -0.72978                        -0.72304                        -0.70458                        -0.67924                        -0.65073                        -0.62576                        -0.64280                        -0.60905                                -0.30603            
1984    -0.55742                -0.55431                        -0.54734                        -0.54010                        -0.53143                        -0.51727                        -0.51770                        -0.51535                        -0.50313                        -0.48736                        -0.47482                        -0.47774                        -0.47427                                -0.26782            
1985    -0.62526                -0.56827                        -0.58329                        -0.59460                        -0.61147                        -0.62254                        -0.62526                        -0.61951                        -0.61183                        -0.60374                        -0.59584                        -0.55329                        -0.59584                                -0.28337            
1986    -0.50594                -0.49688                        -0.50167                        -0.50521                        -0.50594                        -0.49402                        -0.47554                        -0.45678                        -0.44027                        -0.42875                        -0.42035                        -0.43026                        -0.41469                                -0.21913            
1987    -0.67773                -0.65470                        -0.66704                        -0.67544                        -0.67773                        -0.67133                        -0.66685                        -0.65443                        -0.63843                        -0.62568                        -0.61368                        -0.60037                        -0.61334                                -0.30511            
1988    -0.64384                -0.63184                        -0.63962                        -0.64384                        -0.64327                        -0.63309                        -0.61948                        -0.60941                        -0.61219                        -0.62510                        -0.63201                        -0.58662                        -0.63201                                -0.28803            
1989    -0.43806                -0.42639                        -0.43367                        -0.43806                        -0.43717                        -0.42566                        -0.42013                        -0.41949                        -0.41014                        -0.39420                        -0.38023                        -0.38538                        -0.38023                                -0.19978            
1990    -0.52615                -0.50945                        -0.50683                        -0.50064                        -0.48639                        -0.46895                        -0.44375                        -0.41836                        -0.40037                        -0.40494                        -0.40933                        -0.43114                        -0.40835                                -0.20551            
1991    -0.60141                -0.56266                        -0.57556                        -0.58747                        -0.60141                        -0.59853                        -0.58407                        -0.56457                        -0.55065                        -0.55561                        -0.56575                        -0.53156                        -0.54934                                -0.25945            
1992    -0.71180                -0.61670                        -0.62411                        -0.63291                        -0.64518                        -0.65158                        -0.65826                        -0.66895                        -0.68170                        -0.69734                        -0.71036                        -0.63731                        -0.67012                                -0.30383            
