year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -2.78330                -2.38090                        -2.50031                        -2.58682                        -2.70665                        -2.67914                        -2.57599                        -2.47457                        -2.38269                        -2.28975                        -2.22852                        -2.18402                        -2.67914                                -0.91577            
1980    -2.75556                -2.22135                        -2.32172                        -2.39789                        -2.48326                        -2.48555                        -2.42570                        -2.38642                        -2.35335                        -2.30100                        -2.22738                        -2.12865                        -2.48555                                -0.89309            
1981    -2.72612                -1.97573                        -2.06552                        -2.13340                        -2.23977                        -2.23787                        -2.17987                        -2.11876                        -2.05779                        -1.98311                        -1.94854                        -1.91232                        -2.23787                                -0.84371            
1982    -2.62184                -1.98919                        -2.08567                        -2.18983                        -2.30194                        -2.26927                        -2.15828                        -2.05156                        -1.96206                        -1.88662                        -1.88911                        -1.87962                        -2.21524                                -0.80112            
1983    -2.63185                -2.00511                        -2.09415                        -2.15466                        -2.21284                        -2.18803                        -2.11149                        -2.04285                        -1.99442                        -1.92132                        -1.82331                        -1.82875                        -2.13978                                -0.73126            
1984    -2.53780                -2.04363                        -2.15167                        -2.22768                        -2.30286                        -2.31104                        -2.25866                        -2.17920                        -2.08552                        -1.97763                        -1.91876                        -1.91599                        -2.30868                                -0.81042            
1985    -2.58153                -1.84580                        -1.96163                        -2.08528                        -2.23522                        -2.21186                        -2.09845                        -2.00117                        -1.94524                        -1.90023                        -1.86958                        -1.81636                        -2.15591                                -0.79842            
1986    -2.55299                -2.07331                        -2.19132                        -2.27435                        -2.38307                        -2.36897                        -2.28360                        -2.19946                        -2.13065                        -2.07154                        -2.02685                        -1.97129                        -2.36453                                -0.82370            
1987    -2.57248                -2.04064                        -2.14958                        -2.22571                        -2.32049                        -2.33009                        -2.25304                        -2.14582                        -2.03361                        -1.94098                        -1.87950                        -1.89039                        -2.33009                                -0.82059            
1988    -2.66789                -1.91933                        -2.00690                        -2.07618                        -2.16260                        -2.18288                        -2.14937                        -2.09505                        -2.03716                        -1.97575                        -1.90596                        -1.81439                        -2.18150                                -0.84336            
1989    -2.53286                -1.82667                        -1.95053                        -2.05575                        -2.15327                        -2.12459                        -2.03410                        -1.94732                        -1.88691                        -1.84196                        -1.84032                        -1.78340                        -2.10560                                -0.80442            
1990    -2.50929                -2.02237                        -2.13654                        -2.22394                        -2.35389                        -2.35507                        -2.25846                        -2.15352                        -2.07592                        -2.02347                        -2.02504                        -1.95788                        -2.34730                                -0.86083            
1991    -2.73687                -1.77161                        -1.89888                        -2.00723                        -2.14519                        -2.17738                        -2.15510                        -2.12167                        -2.06462                        -1.99155                        -1.95225                        -1.82194                        -2.13383                                -0.75731            
1992    -2.60752                -1.99146                        -2.09879                        -2.17462                        -2.24905                        -2.23340                        -2.15450                        -2.08888                        -2.04338                        -1.98286                        -1.94791                        -1.89838                        -2.20548                                -0.79508            
1993    -2.49961                -2.02525                        -2.13917                        -2.23757                        -2.34964                        -2.36729                        -2.29604                        -2.20560                        -2.13296                        -2.05158                        -1.94639                        -1.88808                        -2.33134                                -0.81559            
1994    -2.57055                -1.94789                        -2.05956                        -2.14655                        -2.25064                        -2.27037                        -2.20683                        -2.11228                        -2.00430                        -1.88054                        -1.81069                        -1.83272                        -2.27037                                -0.79587            
1995    -2.52096                -1.95512                        -2.06234                        -2.13551                        -2.22356                        -2.22367                        -2.15955                        -2.07088                        -1.98522                        -1.92880                        -1.94397                        -1.85346                        -2.22367                                -0.81621            
1996    -2.62980                -2.13410                        -2.26400                        -2.35713                        -2.48938                        -2.48949                        -2.40024                        -2.29730                        -2.21701                        -2.17426                        -2.18438                        -2.02024                        -2.48949                                -0.82798            
1997    -3.19498                -2.00435                        -2.14032                        -2.24463                        -2.35372                        -2.35057                        -2.28068                        -2.21018                        -2.16560                        -2.16073                        -2.22282                        -2.01299                        -2.30304                                -0.84821            
1998    -2.57354                -2.07213                        -2.17209                        -2.25204                        -2.31290                        -2.28014                        -2.19570                        -2.09101                        -1.99798                        -1.92869                        -1.87728                        -1.86024                        -2.22946                                -0.81736            
1999    -2.92069                -1.94751                        -2.08078                        -2.19476                        -2.36095                        -2.39267                        -2.31987                        -2.22101                        -2.14878                        -2.12244                        -2.15227                        -1.93527                        -2.39267                                -0.81568            
2000    -2.55346                -2.08101                        -2.18829                        -2.27336                        -2.35396                        -2.35211                        -2.26489                        -2.16159                        -2.09296                        -2.06734                        -2.07591                        -1.92162                        -2.35211                                -0.83088            
2001    -2.69676                -2.02746                        -2.11196                        -2.17583                        -2.25941                        -2.29394                        -2.25893                        -2.18379                        -2.06686                        -1.94984                        -1.92711                        -1.90019                        -2.29394                                -0.83377            
2002    -2.68085                -2.29413                        -2.43501                        -2.55168                        -2.71197                        -2.75411                        -2.67290                        -2.55614                        -2.43588                        -2.32732                        -2.26462                        -2.19395                        -2.73428                                -0.94271            
2003    -3.01638                -1.85289                        -2.00064                        -2.12807                        -2.30361                        -2.36622                        -2.34053                        -2.27448                        -2.21420                        -2.19448                        -2.21721                        -1.98298                        -2.26348                                -0.82484            
2004    -2.45789                -2.32968                        -2.46406                        -2.55609                        -2.64600                        -2.64778                        -2.54305                        -2.41816                        -2.33393                        -2.27094                        -2.20992                        -2.15582                        -2.64480                                -0.95779            
2005    -2.80075                -1.98439                        -2.09568                        -2.22067                        -2.40178                        -2.45216                        -2.40533                        -2.33253                        -2.27072                        -2.22051                        -2.17125                        -2.02647                        -2.42957                                -0.80933            
2006    -2.87670                -2.29343                        -2.40607                        -2.48274                        -2.55081                        -2.55874                        -2.51710                        -2.44592                        -2.35656                        -2.25565                        -2.15927                        -2.09308                        -2.55454                                -0.93159            
2007    -2.62470                -1.97812                        -2.08818                        -2.19262                        -2.33587                        -2.34887                        -2.27828                        -2.17395                        -2.06150                        -1.97021                        -1.94876                        -1.90630                        -2.34887                                -0.80381            
2008    -2.95863                -2.34068                        -2.49129                        -2.60625                        -2.74593                        -2.72281                        -2.61592                        -2.50341                        -2.39153                        -2.27965                        -2.21811                        -2.18253                        -2.72281                                -0.87642            
2009    -2.99341                -1.89881                        -1.99450                        -2.06972                        -2.18346                        -2.20376                        -2.16734                        -2.11722                        -2.07226                        -2.02188                        -1.98518                        -1.87600                        -2.20376                                -0.77640            
2010    -2.74865                -2.10869                        -2.21142                        -2.29490                        -2.40654                        -2.42907                        -2.36334                        -2.27235                        -2.16820                        -2.10005                        -2.09229                        -1.98988                        -2.37933                                -0.85083            
2011    -2.84639                -2.14672                        -2.24800                        -2.33469                        -2.44255                        -2.44613                        -2.34324                        -2.22066                        -2.13586                        -2.07945                        -2.05511                        -2.01440                        -2.44613                                -0.78922            
2012    -2.63654                -1.88019                        -1.96781                        -2.02969                        -2.13429                        -2.15808                        -2.10283                        -2.02679                        -1.95080                        -1.89706                        -1.93101                        -1.81883                        -2.15808                                -0.74281            
2013    -2.40895                -1.88087                        -1.95378                        -1.99781                        -2.08463                        -2.09481                        -2.01761                        -1.91019                        -1.83195                        -1.81756                        -1.88342                        -1.80356                        -2.04768                                -0.82475            
2014    -3.00015                -2.29558                        -2.41144                        -2.50101                        -2.63005                        -2.63309                        -2.51339                        -2.36515                        -2.25423                        -2.19782                        -2.16813                        -2.11524                        -2.63309                                -0.85810            
2015    -2.91417                -2.26397                        -2.38262                        -2.47905                        -2.61442                        -2.65500                        -2.58961                        -2.49682                        -2.41250                        -2.29781                        -2.16697                        -2.15259                        -2.65500                                -0.88961            
2016    -2.50898                -1.79195                        -1.89663                        -1.97122                        -2.04180                        -2.06097                        -2.02132                        -1.96196                        -1.90172                        -1.83412                        -1.84964                        -1.74729                        -2.06097                                -0.77980            
2017    -3.05813                -2.10320                        -2.21869                        -2.31323                        -2.42288                        -2.45663                        -2.40730                        -2.32779                        -2.22430                        -2.09371                        -2.01419                        -2.01111                        -2.45663                                -0.83897            
2018    -3.11752                -2.23876                        -2.42256                        -2.58474                        -2.79186                        -2.82151                        -2.72654                        -2.59290                        -2.47183                        -2.37536                        -2.34925                        -2.27949                        -2.74759                                -0.93259            
