year    psi^min [10^11 kg/s]    psi^min(800 hPa) [10^11 kg/s]   psi^min(775 hPa) [10^11 kg/s]   psi^min(750 hPa) [10^11 kg/s]   psi^min(700 hPa) [10^11 kg/s]   psi^min(650 hPa) [10^11 kg/s]   psi^min(600 hPa) [10^11 kg/s]   psi^min(550 hPa) [10^11 kg/s]   psi^min(500 hPa) [10^11 kg/s]   psi^min(450 hPa) [10^11 kg/s]   psi^min(400 hPa) [10^11 kg/s]   <psi^min>_p [10^11 kg/s]        psi(phi^min, p^min) [10^11 kg/s]        psi_SHC [10^11 kg/s]
1979    -0.69838                -0.66947                        -0.67524                        -0.68093                        -0.69838                        -0.69741                        -0.68103                        -0.66283                        -0.64917                        -0.64441                        -0.63284                        -0.61066                        -0.67899                                -0.31128            
1980    -0.73158                -0.67988                        -0.68088                        -0.68310                        -0.69578                        -0.71266                        -0.72772                        -0.73158                        -0.72112                        -0.70575                        -0.69398                        -0.65627                        -0.72772                                -0.32705            
1981    -0.64273                -0.58498                        -0.59819                        -0.61335                        -0.63443                        -0.64273                        -0.63982                        -0.62771                        -0.61417                        -0.60883                        -0.61010                        -0.58562                        -0.63982                                -0.27529            
1982    -0.70444                -0.68604                        -0.70135                        -0.70444                        -0.69796                        -0.68732                        -0.67129                        -0.65497                        -0.63700                        -0.63463                        -0.62603                        -0.61913                        -0.64828                                -0.33173            
1983    -0.90565                -0.89639                        -0.90511                        -0.90565                        -0.89945                        -0.89619                        -0.89434                        -0.88682                        -0.86303                        -0.82561                        -0.78708                        -0.79666                        -0.85769                                -0.37079            
1984    -0.76063                -0.68639                        -0.70437                        -0.71589                        -0.73116                        -0.74411                        -0.75454                        -0.76063                        -0.75594                        -0.74003                        -0.71852                        -0.66676                        -0.75415                                -0.32825            
1985    -0.65188                -0.62017                        -0.63014                        -0.63837                        -0.65188                        -0.64716                        -0.63622                        -0.63093                        -0.61649                        -0.59995                        -0.58143                        -0.57221                        -0.62637                                -0.28105            
1986    -0.84322                -0.76541                        -0.78421                        -0.79740                        -0.82654                        -0.84322                        -0.84175                        -0.82270                        -0.78738                        -0.75410                        -0.72029                        -0.70560                        -0.83739                                -0.35132            
1987    -0.63844                -0.57744                        -0.57680                        -0.57634                        -0.61549                        -0.63844                        -0.63829                        -0.62422                        -0.60712                        -0.59351                        -0.58335                        -0.57437                        -0.60028                                -0.27898            
1988    -0.67696                -0.66433                        -0.67244                        -0.67651                        -0.67696                        -0.67201                        -0.66578                        -0.65832                        -0.64401                        -0.62209                        -0.60089                        -0.59282                        -0.61600                                -0.28797            
1989    -0.79719                -0.72042                        -0.73761                        -0.74803                        -0.76407                        -0.77677                        -0.78912                        -0.79670                        -0.79719                        -0.79274                        -0.77909                        -0.71012                        -0.78912                                -0.31416            
1990    -0.77251                -0.68378                        -0.69457                        -0.70187                        -0.71212                        -0.72867                        -0.74705                        -0.76045                        -0.76781                        -0.77251                        -0.77186                        -0.69249                        -0.74705                                -0.31662            
1991    -0.52687                -0.52681                        -0.52334                        -0.51864                        -0.50392                        -0.48334                        -0.46140                        -0.44891                        -0.44840                        -0.44985                        -0.45963                        -0.46020                        -0.44791                                -0.22766            
1992    -0.74514                -0.69920                        -0.70563                        -0.70614                        -0.73670                        -0.74509                        -0.74514                        -0.73611                        -0.72433                        -0.71182                        -0.70329                        -0.68688                        -0.71976                                -0.34398            
1993    -0.68042                -0.54387                        -0.56161                        -0.57544                        -0.61298                        -0.63808                        -0.65702                        -0.67240                        -0.68042                        -0.67862                        -0.67076                        -0.59820                        -0.63116                                -0.27326            
1994    -0.71971                -0.63694                        -0.65633                        -0.67497                        -0.70324                        -0.71843                        -0.71971                        -0.71310                        -0.70328                        -0.68661                        -0.66551                        -0.63567                        -0.70986                                -0.29591            
